 	n	g	a	n	g	a	á	t	ώ	i	d	z	ó	á	m	í	k	ώ	ω	l	ó	k	ω	n	í	</S>
le	0.0280841	0.0679004	0.061503	0.0544306	0.0455579	0.0392192	0.0631667	0.0539096	0.0515784	0.0421162	0.0233208	0.026974	0.0214627	0.0185839	0.0195258	0.026948	0.0698246	0.0570456	0.0684113	0.0624168	0.0174366	0.0168571	0.0119604	0.0165793	0.0148213	0.0203656
guérisseur	0.0487685	0.0626126	0.0975946	0.222824	0.0767396	0.0619693	0.0779277	0.106373	0.09605	0.0515954	0.0194522	0.0205249	0.00593224	0.00610791	0.00515802	0.00841532	0.00395065	0.00473835	0.00290246	0.00564715	0.00400195	0.00517595	0.00277766	0.00139568	0.000840574	0.000523941
a	0.00801945	0.00917305	0.0104181	0.0144717	0.0238229	0.0333747	0.0491509	0.0615094	0.0388966	0.072128	0.0647582	0.0673972	0.0612216	0.0826149	0.104449	0.0557098	0.0382977	0.0427327	0.0436803	0.0291443	0.0198601	0.0189364	0.0160776	0.0106936	0.0133853	0.010076
cueilli	0.0453922	0.0166907	0.0150419	0.0249561	0.0289788	0.0307354	0.0277624	0.0248214	0.0227127	0.0275732	0.038616	0.0245206	0.0550543	0.047188	0.0698853	0.0713194	0.0477358	0.0819523	0.0843943	0.0499511	0.0411435	0.0268662	0.0239241	0.0176747	0.0246667	0.0304429
du	0.122655	0.0350086	0.0193214	0.0282993	0.0269171	0.0370855	0.0402874	0.0411987	0.0221169	0.0253467	0.0225623	0.0209513	0.0380577	0.0218358	0.0162119	0.0197397	0.0131693	0.0128904	0.0112994	0.012085	0.0249704	0.0322627	0.0551022	0.0662103	0.0831268	0.151288
dzoa	0.0350961	0.0149307	0.0130416	0.0146326	0.0155459	0.0168376	0.0232852	0.0194732	0.0197562	0.0260917	0.0255792	0.0294022	0.0226611	0.023036	0.0262602	0.0413772	0.030658	0.0419355	0.0471626	0.0496289	0.0659582	0.0737801	0.0816111	0.0694795	0.0674267	0.105353
pour	0.0428535	0.0334634	0.0258772	0.021937	0.0184523	0.0218335	0.0194102	0.0163082	0.0181991	0.0203487	0.0273916	0.0244152	0.0231084	0.0239854	0.0307172	0.0271332	0.0304197	0.0409912	0.0467877	0.0489028	0.0902944	0.0742474	0.0714642	0.0626803	0.0583424	0.0804359
soigner	0.0448356	0.0333301	0.0301346	0.0260472	0.0207749	0.0249017	0.0261442	0.0183243	0.0223158	0.0172923	0.0215416	0.0201788	0.0211815	0.0252862	0.0330857	0.0277572	0.0191823	0.0265518	0.028559	0.033986	0.0484812	0.0678211	0.0642448	0.0850758	0.0825257	0.13044
le	0.0518163	0.037021	0.0412093	0.0421109	0.0303073	0.0400614	0.0398777	0.0239123	0.0249716	0.0172539	0.0190113	0.0171966	0.0196359	0.0182553	0.0147964	0.0172387	0.0115508	0.0150212	0.0137334	0.0126727	0.0320307	0.0400645	0.0714038	0.0863369	0.095667	0.166843
malade	0.0669556	0.0359389	0.0394344	0.0381153	0.0227236	0.0195488	0.0156589	0.0146723	0.013167	0.0110823	0.0187403	0.0138678	0.0156152	0.0145539	0.0167354	0.01237	0.0116295	0.0150779	0.0170981	0.0189317	0.0335362	0.038401	0.0669754	0.104378	0.121499	0.203292
</S>	0.0787818	0.029091	0.036825	0.0498144	0.033752	0.0391787	0.045189	0.0308014	0.0211649	0.00895069	0.0135031	0.00789903	0.0126683	0.00330736	0.00372697	0.00387895	0.0050094	0.00535582	0.00767258	0.0101646	0.0189991	0.0459741	0.0849224	0.107138	0.114874	0.181357
