 	m	w	á	n	a	á	m	i	b	é	b	h	í	s	á	o	k	á	n	d	á	m	ó	m	á	a	m	á	l	e	t	s	w	í	i	</S>
l'	0.00522267	0.00933069	0.00606238	0.00374437	0.00296929	0.00225789	0.00558108	0.00695189	0.015497	0.0241043	0.0408544	0.0709672	0.0793439	0.0854153	0.106302	0.0917405	0.0438844	0.0246841	0.0231102	0.0161831	0.0211937	0.0149903	0.0107739	0.00901933	0.0105868	0.0101822	0.0144764	0.0149465	0.0199444	0.0210184	0.0277378	0.0285562	0.0330186	0.0324527	0.0394282	0.027468
enfant	0.0769849	0.0532464	0.0632128	0.101544	0.171655	0.254393	0.110267	0.051824	0.0163139	0.0108826	0.00757559	0.00543849	0.0039195	0.000444717	0.000992924	0.00115929	0.00217701	0.00173673	0.00245941	0.00194849	0.00268311	0.00392455	0.00353801	0.00425778	0.00586123	0.0068326	0.00602975	0.00603382	0.00328966	0.00361641	0.00327597	0.00341003	0.00237719	0.0041909	0.00204774	0.000454805
a	0.0186323	0.0482627	0.0547444	0.0319853	0.0189901	0.0394925	0.0335379	0.0337167	0.0156648	0.0114483	0.02064	0.031772	0.0402908	0.0581555	0.0644214	0.048284	0.0318573	0.0339609	0.0585111	0.0663847	0.0638426	0.0338142	0.0148717	0.00943812	0.00912624	0.00639357	0.0101918	0.00676857	0.01259	0.00915514	0.00856323	0.0141703	0.01387	0.00947377	0.0112887	0.0056891
sali	0.0126647	0.00586667	0.00515277	0.00298933	0.00466274	0.00462642	0.00530335	0.00431658	0.00788549	0.00685309	0.0112152	0.0151026	0.0164716	0.0239143	0.0299361	0.0390102	0.0388824	0.0486146	0.0490166	0.0923259	0.0557298	0.0491209	0.0759905	0.0491236	0.0563905	0.0353076	0.0293822	0.0284349	0.0301452	0.030226	0.0260588	0.0216582	0.0219275	0.0154987	0.0262708	0.0239245
l'	0.0487539	0.0157825	0.0166659	0.00976466	0.00868489	0.011571	0.0110442	0.0142664	0.0115149	0.0101694	0.0114694	0.0144441	0.0155059	0.0199234	0.0194986	0.0156873	0.0165794	0.0415347	0.0388536	0.0471792	0.039171	0.0511347	0.0628771	0.0788461	0.0479824	0.0523514	0.0312394	0.029495	0.024615	0.025012	0.0208278	0.0228931	0.0183365	0.0194442	0.0269869	0.0498941
habit	0.0302869	0.0105884	0.00748612	0.00503316	0.00534024	0.00499552	0.00435715	0.00906809	0.0122455	0.0119525	0.015807	0.017293	0.0184155	0.0200809	0.0236033	0.0188911	0.0189807	0.0324441	0.0370339	0.0423682	0.0382597	0.0557337	0.0493609	0.0549778	0.048136	0.0495262	0.0479032	0.053382	0.0442275	0.051221	0.0359864	0.0266488	0.00952601	0.021397	0.0209502	0.0464922
avec	0.0319902	0.0187824	0.018557	0.0146788	0.0134533	0.0111958	0.00788589	0.0153016	0.0138008	0.0136978	0.0161795	0.014911	0.0181025	0.0246483	0.0180731	0.0334617	0.0324258	0.0305837	0.0288016	0.0277846	0.0271505	0.036513	0.0359939	0.0384299	0.0398296	0.0375167	0.060043	0.0370237	0.0579439	0.0592568	0.0286703	0.0229693	0.00428539	0.0125602	0.037508	0.0599905
le	0.0393888	0.0134892	0.0148469	0.00919858	0.00656574	0.00720049	0.00909544	0.0124042	0.00844598	0.0110536	0.0130369	0.0137843	0.0145066	0.0189472	0.0188294	0.0363291	0.0336954	0.0377259	0.0256556	0.0265803	0.0250477	0.0495325	0.0616884	0.0555053	0.0363283	0.0400024	0.0292273	0.0346159	0.0288184	0.0370374	0.0316975	0.0248506	0.0369444	0.0318744	0.0337853	0.0722648
jus	0.0420907	0.0230467	0.0174303	0.00965179	0.00493656	0.00651203	0.0066301	0.00952492	0.0123925	0.0138886	0.0225448	0.0212691	0.0320346	0.0455091	0.0352797	0.0785555	0.0795184	0.0851273	0.0555077	0.0281234	0.0362513	0.0267653	0.0267562	0.01922	0.00857731	0.00634172	0.00887352	0.0095083	0.00701578	0.0140219	0.0202412	0.0152174	0.0100931	0.010222	0.0374374	0.113884
de	0.106038	0.0476906	0.0483208	0.0428175	0.0301476	0.039487	0.0257822	0.0200469	0.0165744	0.011939	0.0128966	0.0136827	0.013344	0.0240064	0.012524	0.0185209	0.02318	0.0244388	0.0281303	0.0262931	0.0290567	0.0296697	0.0260254	0.0164277	0.0119343	0.00986628	0.0167285	0.0101407	0.0216353	0.0269641	0.0186089	0.0246836	0.0161645	0.0158744	0.0497046	0.0906551
