 	w	a	l	á	a	p	έ	a	n	y	a	m	a	p	ó	s	á	ω	y	a	a	m	ó	b	ó	y	a	m	ó	ω	n	g	a	n	g	a	</S>
il	0.0702345	0.203268	0.150108	0.280859	0.189093	0.0489427	0.00884088	0.00400864	0.00169089	0.00129871	0.00146021	0.00116898	0.00134738	0.00120555	0.000788344	0.00176899	0.00130135	0.00162626	0.00144326	0.00165	0.00167209	0.00180475	0.00255145	0.0015012	0.00312086	0.00237574	0.00189312	0.00163258	0.0013216	0.00118357	0.00130439	0.00137933	0.0013099	0.00137575	0.00129389	0.00108773	0.0010879
attire	0.00688973	0.00424956	0.00633714	0.00380293	0.00356599	0.00910499	0.0171414	0.0328471	0.0422762	0.0430498	0.050818	0.0412672	0.0444724	0.0430112	0.0409092	0.050898	0.0488342	0.0547924	0.0648245	0.0390655	0.0385376	0.0461732	0.0511866	0.061345	0.0484599	0.028812	0.01051	0.00858871	0.00550013	0.00897512	0.00889163	0.0060559	0.00508119	0.00350536	0.00366956	0.00692546	0.00962485
les	0.0041899	0.00969686	0.00846221	0.0112547	0.0143465	0.0124122	0.0124833	0.00905544	0.0119857	0.0124161	0.0179755	0.0238025	0.0364204	0.0181707	0.0313627	0.0295893	0.0694787	0.0630519	0.0796014	0.0611035	0.0521493	0.0415599	0.03742	0.0364344	0.0329006	0.04449	0.0442852	0.0266291	0.022394	0.0176579	0.0110648	0.0136247	0.0127781	0.0127485	0.0167498	0.0296991	0.0105551
animaux	0.00989545	0.0127875	0.0112405	0.0145169	0.0128684	0.0108057	0.0155706	0.0128479	0.0122005	0.015317	0.0165716	0.0202669	0.0197461	0.0201775	0.0238486	0.0236333	0.02322	0.0273121	0.0357857	0.0358972	0.0414553	0.0390615	0.0369725	0.0404345	0.0256878	0.0275571	0.0251136	0.0402713	0.0461634	0.0375662	0.0290211	0.0287113	0.0315478	0.0362138	0.0359405	0.0421093	0.0616635
au	0.00456457	0.0042495	0.00575898	0.00255257	0.00301099	0.00337021	0.00644822	0.0116637	0.0132677	0.0124226	0.0131379	0.0129493	0.0142643	0.0142881	0.0155633	0.0143493	0.0142123	0.0142244	0.0209637	0.0187663	0.0279263	0.0439372	0.0432701	0.0658783	0.0636551	0.0643347	0.0792359	0.0579833	0.0540195	0.0365335	0.0263246	0.0299792	0.0249924	0.0260256	0.0405792	0.0397377	0.0555594
piège	0.0102739	0.00738482	0.00775151	0.00715617	0.00637212	0.00748541	0.0135126	0.0137164	0.0127104	0.0149304	0.0152088	0.0175189	0.0200061	0.0253314	0.0290531	0.0378688	0.0234409	0.0376771	0.0689993	0.0518603	0.0579297	0.0472366	0.0562316	0.0548366	0.0482922	0.0438254	0.0259837	0.0245021	0.0169089	0.00964225	0.0108583	0.010586	0.019037	0.0281897	0.0141582	0.0209546	0.0825684
avec	0.00787685	0.00600712	0.0087842	0.00651541	0.00674872	0.00726824	0.009815	0.0162283	0.0158169	0.0119014	0.012905	0.0115917	0.0154406	0.0146585	0.0149853	0.012955	0.0129927	0.0119534	0.0207975	0.0150865	0.0217702	0.020228	0.0219917	0.0346068	0.0251922	0.0499567	0.0460015	0.0493612	0.0544541	0.0629906	0.0541401	0.044592	0.0467281	0.0486464	0.0557859	0.052986	0.0702401
un	0.0201282	0.0209178	0.0284899	0.0189646	0.0191889	0.0150027	0.0226958	0.0270272	0.0205737	0.0204644	0.0222889	0.0241879	0.0212078	0.0180214	0.0179905	0.016777	0.0177443	0.0195397	0.0215272	0.0201318	0.0230837	0.0212066	0.0229172	0.0221262	0.0221676	0.0249802	0.0287176	0.0311768	0.02827	0.0256101	0.0281476	0.0239501	0.041827	0.0565042	0.0314283	0.0659218	0.0890953
remède	0.00928114	0.0104888	0.0117167	0.0115804	0.00769742	0.00801775	0.00638407	0.00583351	0.0061179	0.00789014	0.00811087	0.006592	0.00642828	0.00674546	0.00807982	0.00865678	0.00850682	0.0109176	0.0163406	0.0142522	0.0176387	0.0215374	0.0213858	0.030265	0.034999	0.0351732	0.0404064	0.0357359	0.0302169	0.0348856	0.0486192	0.0541998	0.0582448	0.0629062	0.085113	0.0815726	0.127462
</S>	0.0165619	0.0141414	0.0155543	0.0194845	0.0173305	0.0182729	0.023612	0.0199226	0.0146927	0.0143695	0.017028	0.0142273	0.0132477	0.0127152	0.0128727	0.0136039	0.0142319	0.0166403	0.0211585	0.0183284	0.0239239	0.0192789	0.0140696	0.0154002	0.0159876	0.022111	0.0453433	0.0445713	0.0297446	0.0401904	0.0261442	0.0200672	0.0313106	0.0322	0.068322	0.057467	0.165872
