 	n	g	a	n	g	a	l	á	a	t	á	á	i	k	ó	m	á	á	s	í	b	v	á	a	l	á	k	ω	n	í	</S>
le	0.0762058	0.112571	0.12291	0.0764283	0.0410988	0.0268152	0.0263298	0.0330023	0.0176164	0.034072	0.0330477	0.0355137	0.0302532	0.0202442	0.0275301	0.0281259	0.0301928	0.0156517	0.020485	0.0218629	0.0120678	0.0171631	0.011691	0.0151867	0.0150193	0.0175794	0.0124369	0.0181776	0.0160761	0.0172551	0.0173896
guérisseur	0.184449	0.123646	0.0828399	0.0823131	0.106518	0.111952	0.0298277	0.0170419	0.00658252	0.0135005	0.00309149	0.00385462	0.00347657	0.00257669	0.00391945	0.00401251	0.0152173	0.0274841	0.0236386	0.0424794	0.0229538	0.0116076	0.020815	0.016728	0.015667	0.0105098	0.00452663	0.00413632	0.00231032	0.00134067	0.000983396
rencontre	0.00625374	0.0088503	0.0221208	0.031233	0.0411481	0.054074	0.0536917	0.0475187	0.0425616	0.0857997	0.0987425	0.110197	0.0728189	0.0534261	0.033846	0.0307403	0.0197402	0.0187666	0.0177135	0.0168307	0.0105305	0.0206529	0.0178144	0.0183857	0.01433	0.0117607	0.00856345	0.00687687	0.0089386	0.00932488	0.00674853
des	0.00835059	0.00775763	0.00808235	0.011834	0.0117978	0.0148575	0.0121241	0.0209457	0.0240691	0.0267552	0.0285097	0.0285339	0.0337882	0.0516857	0.049939	0.0576023	0.0571383	0.0648063	0.070077	0.0534013	0.0652336	0.0391124	0.0232833	0.0251273	0.0258662	0.0266943	0.0245832	0.027531	0.0293092	0.0318736	0.0393302
cas	0.0233584	0.011598	0.0154952	0.0139261	0.01263	0.0108129	0.0142852	0.014726	0.0231969	0.0250687	0.0299459	0.0291711	0.035849	0.0772921	0.0561033	0.0515221	0.0502519	0.0487492	0.0600085	0.0770139	0.0798921	0.0308245	0.0241886	0.0204413	0.0240176	0.0218932	0.0204861	0.0215542	0.0207228	0.0196593	0.0353157
difficiles	0.0110764	0.00916779	0.0090812	0.00926988	0.00959958	0.0108288	0.0120134	0.0178006	0.0317226	0.0323075	0.0418654	0.0428361	0.0355191	0.0615585	0.04736	0.037713	0.0311737	0.028848	0.0274682	0.0198349	0.0328823	0.0315675	0.0246408	0.0273061	0.0335605	0.0362035	0.0489055	0.0460215	0.0570989	0.0616368	0.0731318
dans	0.0131777	0.00923145	0.00830948	0.0118445	0.0117126	0.0146832	0.014643	0.0179694	0.019549	0.0199196	0.0316517	0.0339121	0.0432181	0.0587974	0.0430252	0.0404505	0.0445717	0.0477622	0.0441843	0.039649	0.0427771	0.0282572	0.0238092	0.0267368	0.030524	0.0264849	0.0300675	0.024697	0.0430609	0.0571027	0.0982206
le	0.0225161	0.0129604	0.0172688	0.0156339	0.0122152	0.0200827	0.0151054	0.019313	0.0165868	0.0187293	0.0219149	0.0251667	0.033206	0.056432	0.0437372	0.0435042	0.0402892	0.0457663	0.0471126	0.0367234	0.0350367	0.0257851	0.026719	0.0288373	0.032392	0.0313476	0.0349797	0.0329628	0.0489878	0.0589417	0.0797465
traitement	0.034193	0.0265798	0.0301269	0.0298647	0.0265191	0.0228618	0.0131309	0.0152036	0.0176709	0.0184639	0.0219986	0.0226916	0.02688	0.0321982	0.0182903	0.0135277	0.0149857	0.0228091	0.031619	0.0277332	0.0289464	0.0214801	0.034303	0.0184494	0.0215019	0.036316	0.033925	0.0381211	0.0407661	0.057438	0.201405
des	0.0315968	0.0156084	0.0206835	0.0234939	0.0167551	0.0199309	0.0138766	0.0178217	0.0274505	0.0253431	0.0305815	0.030694	0.0373084	0.0564461	0.0383927	0.032946	0.0328458	0.0230885	0.0265369	0.0141056	0.0200632	0.0263285	0.0267172	0.0188366	0.019979	0.0187983	0.0469992	0.0266791	0.0542199	0.0446384	0.161235
malades	0.0379807	0.0252021	0.029737	0.0266947	0.0227796	0.013127	0.0104084	0.0107453	0.0151098	0.0168706	0.0145385	0.0161919	0.0173158	0.0313493	0.0260912	0.0275722	0.0280788	0.030627	0.0420477	0.0375336	0.0332704	0.025725	0.0219235	0.0228808	0.0259584	0.0370706	0.0468353	0.0689504	0.0680152	0.0721379	0.0972313
</S>	0.0507129	0.0198277	0.0220854	0.0188542	0.018809	0.0274586	0.0161233	0.0187394	0.022455	0.0310488	0.0234256	0.0158284	0.0204051	0.0318265	0.0221971	0.0243069	0.0245297	0.0215512	0.0337735	0.0252941	0.0299561	0.0274353	0.0233424	0.0229674	0.0285143	0.0355823	0.0497981	0.0466362	0.0746087	0.0629213	0.108985
