 	s	a	b	o	k	á	y	e	é	k	a	b	h	í	b	á	a	n	g	á	á	m	i	l	ω	r	ω	</S>
l'	0.0128249	0.0232823	0.016997	0.0103602	0.0127974	0.0192948	0.0315075	0.0488623	0.0865092	0.0789311	0.103059	0.0475155	0.0563531	0.0170502	0.0309959	0.0338657	0.0411321	0.046498	0.0364393	0.0301558	0.0370266	0.0261998	0.0403031	0.0266539	0.0266671	0.0201591	0.0185501	0.020009
avocat	0.0375022	0.0353757	0.0739818	0.180577	0.13316	0.0811504	0.0552308	0.0783596	0.081599	0.0407004	0.0519494	0.046129	0.0154534	0.0222087	0.00617461	0.00470989	0.00318423	0.00618263	0.00637391	0.00550263	0.00434169	0.00866254	0.00815243	0.00423949	0.00426295	0.00250822	0.00149313	0.000834287
qu'	0.0532996	0.0286965	0.0405159	0.0421128	0.035074	0.0314364	0.0409861	0.0492636	0.0521039	0.02714	0.0263898	0.0292342	0.0202585	0.0381899	0.0207185	0.0183114	0.044148	0.0856397	0.0947985	0.0815074	0.0374395	0.0229872	0.0174555	0.014967	0.0128603	0.0117203	0.0148929	0.00785245
on	0.0366539	0.0224815	0.0202749	0.0174839	0.0129152	0.0114273	0.0147287	0.0220259	0.0480069	0.0762123	0.0738167	0.0769314	0.0844395	0.0675693	0.041724	0.0624831	0.0762433	0.046421	0.0428168	0.0297979	0.012199	0.00739917	0.0135894	0.012418	0.0122379	0.011711	0.0152275	0.0307645
m'	0.0795456	0.0547822	0.0713256	0.0580095	0.0456829	0.0405828	0.0357331	0.0256559	0.0188231	0.0229594	0.0206495	0.0203943	0.0141792	0.0201838	0.0121012	0.0167235	0.0213047	0.0462987	0.0645783	0.0723581	0.043097	0.0203827	0.022963	0.0237739	0.0258069	0.0190348	0.0293017	0.0537684
a	0.0952093	0.0577227	0.0583079	0.0396466	0.0292822	0.0251425	0.0221043	0.0115991	0.00920427	0.00979696	0.0136908	0.0126657	0.0110541	0.0134564	0.00775773	0.00719558	0.0232213	0.0415753	0.0610494	0.0781198	0.0539449	0.0416764	0.0342845	0.0454236	0.0333658	0.0401901	0.0422984	0.0810143
donné	0.0780192	0.0753179	0.0606478	0.0347633	0.0273285	0.0253744	0.0175241	0.00524738	0.00397045	0.00483374	0.00637234	0.00494934	0.00674946	0.00501916	0.00598201	0.00705189	0.0174174	0.0258595	0.0373885	0.0562012	0.0725742	0.0624174	0.0391474	0.0528468	0.0430154	0.049286	0.0558463	0.118849
est	0.0941838	0.0555083	0.0430772	0.0388808	0.0374223	0.0400235	0.0441558	0.0280776	0.0192055	0.0213679	0.0218584	0.0158091	0.0175636	0.0140904	0.0119841	0.00829329	0.0133136	0.00810408	0.0191984	0.0344239	0.0250779	0.0284623	0.025388	0.0347511	0.0327025	0.0464373	0.0483747	0.172265
devenu	0.0504703	0.0420125	0.0392811	0.0439402	0.0336229	0.0295668	0.026647	0.016947	0.0136258	0.0131522	0.0135536	0.0102141	0.0100917	0.0104756	0.00746484	0.00392498	0.00605868	0.00778133	0.0113706	0.0246048	0.0255863	0.0443853	0.0452548	0.0470758	0.0557475	0.0784525	0.0890732	0.199619
mou	0.0600092	0.0390846	0.0357531	0.0364064	0.0301646	0.027438	0.0195733	0.0119037	0.0111007	0.0115364	0.0117546	0.0112173	0.0115358	0.0107876	0.0100878	0.00582635	0.00686874	0.0111363	0.0160992	0.0259458	0.0300908	0.0344749	0.0366035	0.0376476	0.0493555	0.0997936	0.110413	0.197392
</S>	0.0919555	0.0640593	0.0529557	0.033531	0.0221219	0.0259479	0.0221463	0.0132052	0.0103783	0.0125832	0.0157415	0.0140532	0.0133169	0.0106219	0.0160391	0.00826198	0.0120375	0.0129357	0.00798323	0.0113205	0.0248228	0.0289748	0.0258134	0.0431329	0.0413931	0.0675106	0.106357	0.1908
