 	m	w	á	n	a	i	b	a	a	w	ó	a	d	í	l	a	l	e	n	ú	ώ	d	í	a	b	v	ú	u	i	b	ó	r	o	í	t	s	ω	b	í	i	t	i	á	m	ó	w	a	o	b	é	</S>
ce	0.00650824	0.00397234	0.0110442	0.0145436	0.00535379	0.00386809	0.00448712	0.0045499	0.00676237	0.0124174	0.00723751	0.0157916	0.0215956	0.0208122	0.0336734	0.0370828	0.0474994	0.0443868	0.0441482	0.0523988	0.0326093	0.0328998	0.0418509	0.0453898	0.0284073	0.0445227	0.0260431	0.0179268	0.0161367	0.0131812	0.0158492	0.0147575	0.0177336	0.010443	0.0139891	0.0142446	0.0100891	0.00632251	0.0101731	0.0116698	0.0153164	0.0134634	0.0128811	0.0163687	0.00835697	0.0196003	0.0196529	0.0174717	0.0184982	0.0186155	0.0174028
jeune	0.0497347	0.055269	0.0626778	0.0678845	0.0868477	0.118832	0.104356	0.150591	0.0898819	0.0334785	0.0188963	0.0156404	0.0109697	0.0113563	0.00425911	0.00408865	0.00499318	0.00082653	0.000978389	0.000657055	0.000388721	0.00064149	0.000575683	0.000828002	0.00034485	0.00051507	0.000930366	0.000362859	0.000215373	0.000542449	0.00105698	0.00151143	0.000978617	0.00518233	0.00330937	0.00479572	0.00554816	0.0105164	0.00636702	0.0113633	0.0111094	0.00848315	0.00435509	0.00273396	0.00505706	0.00721392	0.00628248	0.00272863	0.00190011	0.00112977	0.000812954
garçon	0.0382526	0.0357073	0.0272107	0.0394188	0.060569	0.0497134	0.0192692	0.0204873	0.0291301	0.0286752	0.0365662	0.0116324	0.0135025	0.0208337	0.0153682	0.0187589	0.0167933	0.0149882	0.0285288	0.015362	0.0134039	0.0148948	0.0124586	0.0168234	0.027059	0.015888	0.0177667	0.0101938	0.00685526	0.00966688	0.013566	0.0178524	0.0112697	0.0214189	0.0158689	0.0159981	0.0236754	0.0266221	0.0207604	0.0172848	0.0126674	0.00973531	0.00951332	0.00900774	0.00947392	0.0244961	0.0142171	0.00828355	0.0087379	0.0107234	0.0130497
est	0.0412318	0.066728	0.0471275	0.0138024	0.0444089	0.0180898	0.0315056	0.016668	0.037719	0.0126031	0.0233762	0.0220747	0.0174261	0.0195422	0.0157988	0.0169447	0.0153668	0.02551	0.0206818	0.0219377	0.0158888	0.0126371	0.0153154	0.0145951	0.0105532	0.0103699	0.01758	0.0104032	0.00903629	0.00804833	0.00945353	0.0157931	0.0149348	0.025274	0.0196128	0.0178747	0.023478	0.0186475	0.0124546	0.0145264	0.0148157	0.0178203	0.0137945	0.0160208	0.0187181	0.0184287	0.0162429	0.0142524	0.0115219	0.0112841	0.022081
avare	0.0148293	0.0256352	0.0347287	0.0304517	0.0252169	0.0225861	0.0221297	0.0170655	0.018925	0.0274755	0.0150579	0.019848	0.0154416	0.0178481	0.0147728	0.0131857	0.0158639	0.0166171	0.0222865	0.0250988	0.0182528	0.0209186	0.0127895	0.014056	0.0140028	0.0144666	0.0129137	0.00612486	0.00639896	0.00881368	0.0120391	0.0139844	0.00810549	0.0114856	0.0143961	0.0229832	0.0191308	0.0219557	0.0401529	0.0284374	0.0331215	0.0228026	0.0197663	0.0237942	0.0245267	0.0408926	0.0284469	0.0237868	0.0162434	0.0122466	0.0179
si	0.0148022	0.010409	0.00497577	0.00776747	0.0082839	0.00974428	0.0049777	0.00481854	0.00377218	0.00287893	0.00434404	0.00317431	0.00381774	0.00495521	0.00484173	0.00335048	0.00273933	0.00325072	0.00410107	0.00334132	0.00898957	0.00704703	0.0104206	0.0102791	0.0317789	0.0201348	0.0252342	0.0421466	0.037103	0.0440516	0.0371765	0.0604943	0.0534923	0.0411101	0.0486465	0.0516845	0.0637988	0.0503624	0.0399202	0.0474704	0.0206606	0.0269018	0.0127644	0.0129629	0.00897193	0.00381005	0.00686028	0.0131227	0.0109825	0.0145581	0.0267173
bien	0.00867239	0.00727332	0.00470005	0.00767338	0.00713727	0.0140988	0.00639977	0.00827468	0.00608555	0.00731147	0.00812382	0.00687722	0.0102027	0.0116833	0.00927761	0.00804473	0.00684736	0.00714424	0.0116249	0.0102266	0.0211083	0.0233667	0.0234361	0.0240406	0.0656322	0.0426735	0.0257954	0.022848	0.016504	0.017716	0.0240789	0.0370075	0.020434	0.0185212	0.032394	0.04028	0.049232	0.034764	0.0771673	0.0600532	0.0387803	0.0284376	0.0138107	0.0211791	0.0129114	0.00646269	0.00635542	0.00957314	0.00552522	0.00423285	0.00799962
que	0.0150333	0.00856291	0.00623616	0.00651662	0.00634044	0.00840274	0.00834175	0.00954514	0.00667449	0.00792581	0.00548027	0.0054094	0.00555551	0.00698923	0.00516563	0.00556022	0.00759798	0.0102315	0.0154198	0.0163992	0.0151595	0.0228585	0.0240157	0.0238224	0.0250741	0.0203319	0.0276398	0.0181117	0.0211073	0.0249583	0.0227365	0.0156589	0.0176544	0.0155831	0.0183633	0.0228	0.0202848	0.0229856	0.0266731	0.0196556	0.0278002	0.0256264	0.0290322	0.026699	0.0360881	0.0379999	0.0293837	0.0340111	0.0415571	0.0433202	0.0756194
tous	0.016329	0.0076096	0.00593421	0.00743178	0.00582674	0.00600682	0.00336546	0.00372665	0.00363116	0.00501103	0.00541861	0.00388456	0.00418263	0.00421755	0.00495716	0.00312845	0.0026527	0.00489538	0.00772688	0.00804584	0.0176138	0.0157397	0.0182148	0.0161718	0.0454072	0.0222106	0.0292302	0.0286932	0.03079	0.038381	0.0293446	0.0485903	0.0480933	0.0426665	0.0484156	0.0479519	0.0563907	0.0356654	0.0379783	0.0333411	0.0269861	0.0264717	0.0232208	0.0278106	0.0192188	0.00750898	0.00759014	0.0124217	0.0108302	0.0109751	0.022094
ses	0.0470177	0.0211659	0.0141919	0.00762741	0.0108952	0.00645432	0.00614167	0.00706301	0.00636785	0.00625402	0.00582529	0.0063773	0.00570643	0.00609027	0.00536307	0.00553244	0.00594679	0.00766338	0.00956416	0.0110664	0.00921647	0.0111798	0.00808321	0.0166806	0.021157	0.0169795	0.0280341	0.0227786	0.0189443	0.0189749	0.0205908	0.0301812	0.0249549	0.0291178	0.0216726	0.0254311	0.0320036	0.0261121	0.0269072	0.0145748	0.0192836	0.0169924	0.013556	0.0194431	0.0185785	0.0258899	0.0237291	0.04252	0.0452805	0.0445699	0.104268
