 	m	o	r	o	w	á	b	ó	l	á	a	p	á	s	á	á	i	b	í	a	</S>
cet	0.00425989	0.00431646	0.00775543	0.0124719	0.0270683	0.0407854	0.0371104	0.0318625	0.0321129	0.0292682	0.0267764	0.0238216	0.036342	0.0851916	0.109096	0.102763	0.0942651	0.126457	0.090286	0.0284696	0.0495203
homme	0.406693	0.230052	0.0594159	0.0744588	0.0437777	0.0417434	0.0260084	0.0271154	0.0273514	0.0287729	0.00975376	0.0042465	0.0016641	0.00262912	0.00386844	0.00296575	0.00156817	0.00369857	0.00222231	0.000939927	0.0010542
est	0.0840806	0.0508716	0.0886663	0.0758842	0.0476534	0.0707665	0.0631816	0.0659984	0.048572	0.0445251	0.0452554	0.0708607	0.0536515	0.0389162	0.0277468	0.0310281	0.0315882	0.0251163	0.0172887	0.00654876	0.0117998
en	0.054999	0.0381707	0.0373882	0.0365113	0.037162	0.0413505	0.043297	0.0475434	0.0396565	0.0656465	0.0482383	0.0641902	0.0633151	0.0468996	0.0508155	0.0328398	0.0326318	0.0534696	0.0603254	0.028394	0.0771556
train	0.081663	0.0578437	0.0338066	0.0233148	0.023218	0.0239521	0.0234937	0.030546	0.052704	0.0639302	0.0351798	0.0430814	0.0509811	0.0814388	0.0760036	0.0696684	0.0546688	0.0449197	0.0341434	0.0539838	0.041459
de	0.0408458	0.0383186	0.030215	0.0248572	0.0287994	0.0299426	0.0302281	0.039117	0.0497745	0.0811201	0.0495507	0.0283304	0.0178792	0.0172799	0.023256	0.0272242	0.0471005	0.0431042	0.0444938	0.0982656	0.210297
percer	0.123006	0.0675259	0.0483389	0.0465311	0.0269472	0.042386	0.0384803	0.0593258	0.0542145	0.084315	0.0692982	0.0405404	0.0359794	0.0268154	0.0370353	0.0295694	0.0249525	0.0342228	0.0258898	0.0400612	0.0445648
le	0.085499	0.0575263	0.0546678	0.0516984	0.0322289	0.0253636	0.0152571	0.0182196	0.0168319	0.0276563	0.0252494	0.0356392	0.0405971	0.0461466	0.0534698	0.033121	0.0364251	0.05027	0.0397521	0.0849116	0.169469
noyau	0.0635268	0.0508152	0.0501004	0.0477483	0.035583	0.0371019	0.0224993	0.0267344	0.0323657	0.0262316	0.0142548	0.0165668	0.0196586	0.0197841	0.0207394	0.0177259	0.0187736	0.0515651	0.0251747	0.0746861	0.328364
du	0.133024	0.0919044	0.0936175	0.0618582	0.0204679	0.0228846	0.0282679	0.0251746	0.0223231	0.012471	0.0159367	0.0157749	0.0206506	0.0334082	0.0474105	0.0527455	0.050522	0.042769	0.0369855	0.0585013	0.113302
palmier	0.102057	0.0591385	0.0655721	0.043907	0.0218633	0.0178351	0.0173099	0.018245	0.0174869	0.034981	0.0279369	0.0367897	0.0561656	0.06183	0.0654963	0.0417046	0.0466696	0.0458612	0.0499404	0.0756265	0.0935835
pour	0.180557	0.0981414	0.122688	0.0893363	0.0285158	0.0250637	0.0237189	0.0144192	0.0157287	0.0152396	0.0093953	0.0110057	0.0160702	0.0194356	0.028603	0.0315528	0.0345866	0.0394691	0.0385184	0.0605523	0.0974032
y	0.160339	0.0875164	0.0602822	0.0449773	0.0367089	0.0250782	0.0293353	0.0201371	0.01775	0.0225739	0.0175222	0.0222229	0.0229639	0.0287241	0.0409909	0.0445475	0.0497073	0.0489248	0.0480811	0.0734565	0.0981606
extraire	0.132919	0.0837116	0.0827857	0.0571065	0.0444371	0.0148891	0.0248877	0.0116583	0.0126825	0.0221813	0.0104879	0.0126123	0.0202405	0.0302797	0.0439538	0.0458641	0.0378366	0.0471062	0.0603831	0.0976804	0.106297
du	0.0982658	0.106797	0.10762	0.0913534	0.0837669	0.0404399	0.0507519	0.0275891	0.024624	0.0201749	0.0119552	0.0104465	0.0118056	0.0165727	0.0229139	0.0240738	0.0287146	0.04013	0.0361846	0.0615526	0.0842676
vin	0.142653	0.108597	0.0938427	0.0706487	0.0590715	0.0274424	0.030829	0.013613	0.0151058	0.0140041	0.00920796	0.00903963	0.010503	0.0129288	0.0179359	0.0206053	0.0373068	0.045327	0.0497729	0.0944845	0.117081
</S>	0.12281	0.116661	0.135372	0.118553	0.0791482	0.0726152	0.0542518	0.0401865	0.0323409	0.0107104	0.008898	0.00571295	0.00483644	0.00662481	0.00765237	0.00804587	0.0087151	0.0103944	0.00940307	0.0406208	0.106448
