 	b	e	a	í	t	s	ω	b	í	í	l	é	m	b	á	s	á	p	o	o	y	é	á	b	h	e	á	b	á	a	y	í	n	d	z	á	m	ó	m	w	á	n	a	y	a	n	g	á	</S>
mon	0.0227616	0.0178776	0.0360561	0.0225482	0.016188	0.0182575	0.0183693	0.0283792	0.0389754	0.0589779	0.092588	0.0716331	0.0283801	0.0222685	0.021918	0.0148036	0.00985277	0.00692907	0.00614177	0.00378055	0.00587958	0.00572709	0.00555333	0.00632053	0.00462697	0.00606895	0.00579012	0.00734289	0.00706671	0.00803025	0.00908428	0.00884765	0.0105397	0.00777336	0.00725246	0.00757662	0.0120548	0.0124483	0.0183643	0.0117464	0.0143635	0.0260109	0.0320524	0.0426296	0.0378371	0.0354587	0.038868	0.0256621	0.0223373
fils	0.0704284	0.068587	0.120577	0.183425	0.187487	0.0923281	0.042445	0.0605488	0.0251313	0.0193212	0.0116291	0.00335854	0.00187556	0.00192197	0.00221138	0.00136397	0.0010308	0.00133192	0.00140677	0.00107949	0.00124256	0.000751264	0.00103015	0.00103356	0.00146236	0.00255212	0.00117153	0.00180519	0.000755736	0.00261602	0.00223702	0.00278645	0.00832795	0.00838878	0.00838608	0.00536481	0.00827512	0.00278431	0.00487865	0.00239794	0.00525602	0.00453376	0.00460103	0.00199851	0.00762128	0.0049109	0.00407547	0.000619621	0.000647219
est	0.040039	0.0395422	0.0502404	0.0423486	0.0580142	0.0407573	0.0523248	0.047999	0.0269535	0.014633	0.0055134	0.00267621	0.00335999	0.0115462	0.00943911	0.00943346	0.00981892	0.00986743	0.00615081	0.00566713	0.00575401	0.00584213	0.00668913	0.0058147	0.00790291	0.00840057	0.00790259	0.0087283	0.00992694	0.0108343	0.0108847	0.0157612	0.0131223	0.014605	0.0175521	0.0364522	0.0265485	0.0432527	0.0341043	0.0298028	0.0383198	0.0323429	0.0442242	0.0213862	0.0236486	0.00800215	0.00915456	0.00914912	0.00756654
tenu	0.0172476	0.0244762	0.0194113	0.0209739	0.0240238	0.0238892	0.0191922	0.0223405	0.0148486	0.0131368	0.00601669	0.00409806	0.0109358	0.0125214	0.0173759	0.0198805	0.0285462	0.0284305	0.0252469	0.0276791	0.0205208	0.023783	0.0251407	0.0198705	0.0243303	0.0203706	0.0171458	0.0170129	0.0227072	0.0213098	0.0222902	0.019796	0.0156072	0.0166587	0.0238812	0.0214228	0.0279418	0.0403871	0.0236686	0.0102707	0.0155701	0.0237402	0.0238502	0.0233276	0.0172408	0.0125843	0.0188421	0.0221908	0.0282666
responsable	0.014468	0.0118733	0.0144198	0.0122959	0.0139253	0.0101267	0.0116676	0.0130555	0.0142087	0.0118538	0.0103436	0.00826794	0.0182601	0.0137143	0.0213828	0.0224594	0.028769	0.0281403	0.0359735	0.0355499	0.0227357	0.0241413	0.0243298	0.0280514	0.0431104	0.0310935	0.0266099	0.0317126	0.0401168	0.0433704	0.0416031	0.0417993	0.0238523	0.018067	0.0311205	0.0132866	0.0281003	0.0161972	0.00786061	0.0051385	0.00888174	0.0118528	0.0091358	0.00546062	0.0126506	0.00933714	0.0124635	0.0130375	0.0241278
pour	0.019148	0.0168738	0.0285146	0.0160259	0.0104847	0.0104549	0.0138722	0.0130981	0.0253948	0.0185141	0.0437329	0.0279607	0.0193227	0.0309726	0.0091006	0.0184918	0.0332892	0.0460437	0.0463413	0.0556532	0.0524742	0.0338293	0.0363901	0.0287898	0.0476123	0.0294759	0.0360185	0.0185894	0.0257661	0.0166087	0.0144591	0.0179497	0.00909496	0.00599354	0.00834646	0.00764071	0.0101783	0.0125858	0.0154425	0.012619	0.00768358	0.00568786	0.00422815	0.0027502	0.0048939	0.0054451	0.0058238	0.00778495	0.0125482
tout	0.0573109	0.0422946	0.0499616	0.0322188	0.0257681	0.0211747	0.021514	0.0207751	0.011028	0.009451	0.00694606	0.0053241	0.00668988	0.00934019	0.00674693	0.0144728	0.0157295	0.016268	0.0194647	0.0198326	0.0276742	0.0354111	0.0351488	0.029892	0.0520874	0.0325311	0.0526516	0.0559459	0.0476442	0.0264163	0.0194422	0.0106376	0.0130181	0.00980703	0.00874061	0.00386672	0.00446223	0.00888099	0.0064834	0.00174964	0.00288102	0.00937528	0.00259162	0.00177002	0.00698106	0.0191657	0.00460433	0.0233645	0.0344635
ce	0.0356724	0.0277799	0.02271	0.024454	0.0232023	0.00827155	0.0108481	0.00826713	0.0156942	0.0160001	0.0124305	0.0130695	0.0211669	0.0175185	0.0248451	0.0260432	0.0256164	0.0181613	0.0206566	0.0177077	0.0202822	0.0231933	0.0343688	0.0218553	0.0398053	0.0224126	0.0243535	0.0313986	0.0271309	0.0205182	0.0205098	0.00969096	0.0120064	0.00616318	0.00406704	0.00220131	0.00203045	0.00267146	0.00366131	0.00344589	0.00354683	0.0142826	0.00608031	0.0048899	0.0149414	0.0377833	0.0202167	0.0538635	0.122513
qui	0.0460345	0.0382338	0.0321521	0.0238763	0.0128873	0.00346324	0.00444011	0.00438551	0.0108237	0.0127432	0.0193434	0.0220303	0.0300189	0.0153858	0.0326383	0.0254571	0.019064	0.0299915	0.031598	0.0470531	0.0414314	0.0400486	0.0414948	0.0405599	0.0812873	0.0341378	0.0212084	0.0148341	0.0207112	0.0188551	0.02431	0.012806	0.0142285	0.00705096	0.00669814	0.00426678	0.00695221	0.00471863	0.00560203	0.00512465	0.00453164	0.00781385	0.00726748	0.00847371	0.00678566	0.00971294	0.00968734	0.00989335	0.0278876
se	0.0707525	0.0481255	0.0314302	0.0160722	0.0141177	0.00918664	0.00714866	0.0040884	0.00356546	0.00245138	0.00267791	0.00352862	0.00459729	0.00894162	0.00571816	0.0110248	0.0180698	0.0267326	0.0293024	0.0321526	0.0256069	0.0277208	0.0288931	0.0232253	0.0382644	0.0271746	0.0445905	0.0471183	0.0437344	0.0308337	0.0420518	0.0208295	0.0329819	0.0179959	0.0194217	0.00616009	0.00756082	0.00769218	0.0060935	0.00285547	0.00400086	0.00986635	0.00266621	0.00368263	0.00544451	0.0200929	0.00931331	0.026668	0.067776
