 	o	y	ú	r	u	e	y	ε	l	ε	n	ω	o	w	é	m	ó	n	d	é	</S>
femme	0.0353444	0.0193766	0.0194436	0.0197512	0.0169667	0.0151647	0.0175722	0.0206285	0.0234384	0.0225844	0.0191114	0.0187773	0.0322637	0.0574316	0.101876	0.051284	0.074935	0.0870055	0.0756166	0.101507	0.169922
de	0.247932	0.128216	0.0808681	0.0577733	0.0926316	0.0701884	0.0687588	0.0699133	0.0489651	0.0424093	0.0141637	0.00844156	0.00960658	0.00778995	0.00790884	0.0100843	0.0107938	0.00756284	0.00619968	0.00465234	0.0051403
petite	0.0652168	0.061891	0.0323711	0.0426676	0.0501398	0.0528759	0.0542285	0.0808879	0.0651179	0.0465321	0.0440816	0.0283768	0.0427155	0.0483812	0.0363056	0.0321932	0.0460716	0.0378926	0.0279593	0.0362655	0.0678286
taille	0.0202867	0.0241407	0.0273918	0.0320559	0.0453357	0.0599893	0.0470696	0.0755571	0.075953	0.0492297	0.0444495	0.0401808	0.0567206	0.0762965	0.08943	0.0648879	0.0497302	0.0252783	0.0222258	0.0338169	0.039974
et	0.0999067	0.0844885	0.043633	0.0435798	0.0582144	0.0346459	0.0352691	0.042511	0.0279755	0.0195409	0.0216862	0.0227022	0.0101771	0.00943124	0.0145252	0.02742	0.0355643	0.0452778	0.0609848	0.0720162	0.19045
trapue	0.0476945	0.0576116	0.0531335	0.0460028	0.0667176	0.0441269	0.0376092	0.0436218	0.0328325	0.0290598	0.0361171	0.0284406	0.0154204	0.014683	0.0325263	0.0432837	0.0582803	0.0661949	0.0608263	0.0574837	0.128334
de	0.0755804	0.081747	0.0620522	0.0456859	0.0467523	0.0292441	0.0265747	0.0216037	0.0133345	0.0101864	0.00885487	0.0109634	0.00717369	0.0102371	0.0180431	0.0337373	0.07573	0.0726517	0.104841	0.0840943	0.160912
quoi	0.111143	0.0830915	0.0471584	0.0188801	0.0222514	0.0122042	0.0147902	0.0198506	0.0132901	0.007337	0.00675533	0.00748311	0.0061749	0.0118983	0.0142656	0.0340715	0.0601451	0.0997915	0.122444	0.11353	0.173444
es-tu	0.114318	0.0751261	0.067467	0.0304517	0.0240965	0.0121041	0.0108961	0.0213006	0.0186873	0.0136689	0.0259506	0.0382314	0.0292286	0.0287193	0.0161178	0.0294172	0.0443562	0.0648266	0.0847118	0.097438	0.152886
morte	0.116234	0.0798072	0.0576294	0.0288071	0.015913	0.0126222	0.0134658	0.0207632	0.0253064	0.0109513	0.00847485	0.00709459	0.0037394	0.00434463	0.00439034	0.020809	0.025165	0.0659176	0.105613	0.130755	0.242196
</S>	0.0771324	0.0754883	0.0640984	0.0514892	0.0317002	0.026985	0.0367734	0.0368867	0.036186	0.0168494	0.0153156	0.0126338	0.00729382	0.00926177	0.00986516	0.0262289	0.0417583	0.0542661	0.0858812	0.0901154	0.193791
