 	o	y	ú	r	u	w	ó	á	s	u	u	s	u	m	ú	a	m	í	k	ώ	ώ	s	á	k	ú	k	u	</S>
cette	0.057171	0.0318604	0.0218414	0.0226441	0.014322	0.0158881	0.0102782	0.0104663	0.0278324	0.0189187	0.0310952	0.0203158	0.0180789	0.0409092	0.0372261	0.0593415	0.0384964	0.0405219	0.048643	0.0356617	0.0330764	0.0390696	0.0649252	0.0483059	0.0458579	0.0464899	0.0607898	0.059973
femme	0.0582108	0.114995	0.0809034	0.0598532	0.0546347	0.0745449	0.111887	0.0472266	0.0349951	0.025995	0.193844	0.0534432	0.02792	0.0222094	0.00450852	0.00471486	0.00513091	0.00290997	0.00528392	0.00228583	0.0023229	0.00301829	0.00171089	0.00447791	0.00165361	0.000826088	0.000253082	0.000240221
a	0.011874	0.00561831	0.00755281	0.0105086	0.049467	0.0351351	0.0838997	0.0661317	0.0984545	0.0999715	0.0915655	0.060835	0.0389969	0.0359268	0.0229254	0.029365	0.0389824	0.0290395	0.0293443	0.0493727	0.0205589	0.0227019	0.0164522	0.0118204	0.00782856	0.0080362	0.0122585	0.00537662
laissé	0.0243786	0.0298326	0.0642265	0.0540864	0.111708	0.0234984	0.0493047	0.0124879	0.0156117	0.00956696	0.0174702	0.0279451	0.034566	0.0590027	0.0744765	0.0773639	0.0400165	0.0230777	0.0162374	0.0161639	0.0128817	0.00985466	0.017296	0.0206238	0.0169359	0.039811	0.0364994	0.0650759
son	0.0674418	0.0501133	0.0471492	0.0361947	0.0370156	0.0203417	0.0188095	0.0122198	0.0218439	0.0205223	0.0265716	0.0247228	0.0335487	0.0327067	0.0389909	0.0295911	0.0227439	0.0223301	0.0168542	0.0206694	0.0253503	0.0225202	0.0247384	0.0363388	0.0449792	0.0622661	0.0585975	0.124828
panier	0.0215901	0.0191711	0.0192601	0.0194062	0.0155316	0.011445	0.00706807	0.0091353	0.00774537	0.0104648	0.0119425	0.0127201	0.0140496	0.0233613	0.0263287	0.0392447	0.0494215	0.0579825	0.0405569	0.0434249	0.0637553	0.0562538	0.063852	0.0708452	0.0647072	0.0790178	0.0600659	0.0816525
de	0.0483342	0.0285203	0.0227972	0.0279703	0.0233425	0.0235244	0.0108731	0.00480248	0.00896912	0.00980089	0.0269292	0.0265974	0.0328034	0.0378539	0.0626896	0.0437902	0.0440713	0.0404792	0.0374423	0.0224572	0.037901	0.0377701	0.0448865	0.0524099	0.0584794	0.0640405	0.0425816	0.0778828
manioc	0.0607483	0.0403001	0.0341335	0.0258476	0.0251167	0.0184501	0.0106596	0.00292827	0.00462236	0.00391309	0.015612	0.0139664	0.0254183	0.0376028	0.0487093	0.0492748	0.0340123	0.0321002	0.0377732	0.0253756	0.0294171	0.0460261	0.0519222	0.0458549	0.0589238	0.0658172	0.0707298	0.0847443
dans	0.0879817	0.0602349	0.0477114	0.0244292	0.0172939	0.00604944	0.0050909	0.00310453	0.00283651	0.00389724	0.00614363	0.0096279	0.0216415	0.032482	0.0439242	0.0422755	0.0279237	0.0254498	0.0298706	0.0178117	0.034034	0.036384	0.0409323	0.0453795	0.0723167	0.0755921	0.0586037	0.120977
la	0.128945	0.0745863	0.0354813	0.017787	0.0101464	0.00640694	0.00659559	0.00480349	0.00697147	0.00520452	0.0188805	0.0122017	0.0362299	0.0393842	0.0678982	0.0345742	0.0352401	0.0307109	0.0275976	0.0262257	0.0350876	0.0315943	0.0272017	0.0342619	0.0418927	0.056559	0.0595181	0.088014
cuisine	0.0380327	0.0382601	0.039467	0.0281739	0.0206413	0.00862889	0.00798856	0.00299169	0.00585965	0.0040073	0.00756226	0.0102897	0.0126546	0.0226483	0.0261218	0.0281043	0.0266589	0.0299645	0.0265995	0.0270515	0.033242	0.0410715	0.0409264	0.058891	0.0940308	0.0952748	0.104747	0.120111
</S>	0.0990627	0.100742	0.0908209	0.0563291	0.0349795	0.0103257	0.0148736	0.00383231	0.0035284	0.00252161	0.00593275	0.00961453	0.0216217	0.027821	0.0336333	0.0231358	0.01621	0.0146363	0.0179372	0.0193662	0.0286958	0.0300777	0.0245126	0.028953	0.0497199	0.0583245	0.0750795	0.0977125
