 	n	g	á	l	í	i	s	á	l	á	s	á	n	g	o	n	d	a	y	á	b	í	s	í	y	í	k	o	ó	</S>
je	0.0422491	0.214914	0.328816	0.270374	0.0427272	0.0131512	0.00510387	0.0039985	0.00248662	0.00541726	0.00161244	0.00187306	0.00191602	0.00233736	0.00350999	0.00256973	0.00185064	0.00187731	0.00225759	0.00220011	0.00465291	0.00428375	0.00666983	0.00508111	0.00853771	0.00890053	0.00263242	0.00276298	0.00258903	0.00264774
travaille	0.0306976	0.00801352	0.00453243	0.00597578	0.0131366	0.0206463	0.0658623	0.0918737	0.0820552	0.0786009	0.108634	0.104873	0.098867	0.0648865	0.0334927	0.0327444	0.0407572	0.0301763	0.013229	0.0204708	0.0051108	0.00365305	0.00349058	0.00432496	0.00417173	0.00274329	0.00293128	0.00337187	0.0078752	0.0128019
dans	0.0215674	0.041985	0.0454547	0.0434805	0.0427919	0.0451596	0.0269407	0.0265172	0.0291206	0.0554134	0.0359088	0.0318983	0.0240375	0.0294687	0.0287333	0.0383798	0.0331571	0.0293995	0.0289595	0.0290223	0.0313174	0.0279376	0.0274827	0.024581	0.0282281	0.0263085	0.0354155	0.0315641	0.0293717	0.0503974
notre	0.0227158	0.0213099	0.0212906	0.0240499	0.017531	0.00790106	0.0122431	0.0156663	0.0209508	0.0177282	0.0457799	0.0215326	0.0632327	0.0493427	0.0622647	0.055065	0.0348475	0.0293483	0.0321615	0.0179914	0.0408224	0.0511991	0.0746549	0.0356391	0.0393479	0.0266002	0.0246352	0.0213527	0.0360941	0.0567016
champ	0.00971521	0.0189042	0.020858	0.0211376	0.0125834	0.0103869	0.0113558	0.0174738	0.0194844	0.0226873	0.0600689	0.0457277	0.0658914	0.0666761	0.0723819	0.0624873	0.0369558	0.0339133	0.0340483	0.0319686	0.0317691	0.0264433	0.0291483	0.033716	0.032438	0.0267226	0.0265082	0.0259464	0.033187	0.0594154
de	0.00767891	0.0114765	0.0188679	0.0139885	0.00802208	0.0061499	0.00631084	0.0123549	0.0159752	0.012925	0.0322413	0.0231057	0.0381228	0.038629	0.0342527	0.0305803	0.025631	0.0272522	0.036288	0.0264975	0.0313092	0.0414991	0.0366995	0.049892	0.0395665	0.0401667	0.0750179	0.0813984	0.0769527	0.101148
canne	0.031211	0.0145974	0.0143144	0.0149069	0.0123728	0.0122797	0.0191767	0.0144765	0.0143569	0.0158073	0.0237289	0.0224527	0.0213647	0.0219472	0.0270938	0.0338299	0.0343117	0.043126	0.0665707	0.0547113	0.064247	0.0397328	0.0523992	0.0465269	0.0412156	0.035911	0.0365895	0.0345843	0.046881	0.0892761
à	0.0377679	0.0355809	0.0703811	0.0630485	0.0363724	0.0100875	0.00896481	0.0067064	0.00733196	0.0117249	0.0155399	0.0115415	0.017813	0.0241776	0.0256901	0.0205469	0.0142538	0.0178194	0.0282602	0.0206583	0.0283105	0.0231077	0.0369246	0.0298915	0.0396374	0.0447403	0.0709663	0.0725234	0.0747042	0.094927
sucre	0.0629725	0.0343076	0.0369653	0.0399308	0.0295712	0.0122143	0.0103782	0.0105919	0.0105049	0.0136369	0.0134648	0.0113402	0.0194279	0.0222569	0.0193703	0.0177682	0.0140472	0.0172305	0.017546	0.018555	0.0151668	0.0141556	0.0222978	0.0259625	0.0292857	0.0570418	0.0786997	0.0853087	0.113958	0.126043
</S>	0.0363431	0.0215682	0.0172991	0.0211358	0.0147915	0.00954083	0.0101922	0.00628371	0.00607078	0.00863722	0.010187	0.00932686	0.0103443	0.0151793	0.0164257	0.0151714	0.0154284	0.0209612	0.0324342	0.0374854	0.028631	0.0170333	0.0335172	0.0219889	0.0452445	0.0611605	0.0952517	0.10072	0.122422	0.139224
