 	m	í	i	k	á	n	d	á	m	í	k	i	r	a	m	í	i	m	í	l	á	r	a	b	í	n	í	l	a	d	i	m	í	</S>
ceux-ci	0.00776463	0.0211665	0.0166612	0.0169528	0.0157969	0.0182924	0.0164432	0.0197622	0.0215222	0.02713	0.0356445	0.0432143	0.0461185	0.0376323	0.0657226	0.038464	0.0290694	0.031198	0.0332272	0.030642	0.0326459	0.0320757	0.0274807	0.0241244	0.0257731	0.026292	0.0346283	0.0358356	0.0323849	0.0374443	0.0266083	0.0278969	0.0322698	0.0321153
sont	0.130879	0.16975	0.0879205	0.0492758	0.0225593	0.0288393	0.0413205	0.0162834	0.0230047	0.0130993	0.0238527	0.0382852	0.0504557	0.0421629	0.0364079	0.0204859	0.016387	0.00608081	0.0118305	0.011053	0.009692	0.00881708	0.0190239	0.0190197	0.0114644	0.0133807	0.014725	0.0116504	0.0126094	0.0123078	0.00508438	0.00443471	0.00591654	0.0119407
des	0.111227	0.0662313	0.0571007	0.0419038	0.0353795	0.0507227	0.0626778	0.0617249	0.0743723	0.0635529	0.0744345	0.112949	0.0628304	0.0226449	0.0121621	0.00315778	0.00428032	0.00242912	0.00247212	0.00223574	0.00250199	0.00288312	0.00597206	0.00404026	0.00393944	0.00761503	0.0105382	0.007751	0.00632478	0.00670755	0.00266119	0.00291595	0.00319834	0.00846156
habits	0.0502664	0.104945	0.059121	0.0635349	0.0444998	0.0475204	0.0416749	0.0171317	0.0635916	0.028195	0.0265689	0.0299757	0.0138145	0.00858378	0.0123889	0.0136602	0.0110331	0.0123258	0.0117492	0.018721	0.0229558	0.0234724	0.0232109	0.0262895	0.0189737	0.01733	0.0181603	0.0170085	0.0151086	0.0204604	0.0145562	0.0135399	0.0191824	0.0704495
à	0.0696581	0.0397744	0.0750498	0.0344833	0.0164714	0.0184863	0.0284631	0.0119008	0.0325591	0.0147484	0.00993913	0.00990044	0.00844478	0.00774476	0.00936913	0.0167956	0.0170586	0.0203904	0.0283781	0.0269839	0.0335974	0.0589891	0.0542206	0.0533502	0.051183	0.0366058	0.0285164	0.0210726	0.0238652	0.0200405	0.0155767	0.0339717	0.031005	0.0414063
vendre	0.043315	0.0310785	0.045012	0.0441401	0.0528769	0.055416	0.0377757	0.0382253	0.0256079	0.0226814	0.0121516	0.0158286	0.0212254	0.0188197	0.0185298	0.0275612	0.0234868	0.0361001	0.0429389	0.0361317	0.0474338	0.0636386	0.0435031	0.0399376	0.0300241	0.0170441	0.0141458	0.0100974	0.00957014	0.0103855	0.00845267	0.0109477	0.0161685	0.0297478
ceux-là	0.0187856	0.016508	0.0234816	0.0209301	0.0237134	0.0254376	0.0362586	0.0303835	0.0282969	0.0343163	0.0198235	0.0188974	0.0193713	0.0142529	0.0151795	0.0254287	0.0208812	0.0325398	0.0396677	0.0316792	0.0434273	0.0562036	0.0451188	0.0544399	0.0455986	0.0285874	0.0229519	0.0236815	0.0259091	0.0251005	0.0198265	0.0263133	0.0309805	0.0560279
sont	0.0352546	0.0340629	0.022819	0.0223031	0.0234984	0.0214574	0.026809	0.0283593	0.0205862	0.0180638	0.0113354	0.0109174	0.0153224	0.0197587	0.0136275	0.0284451	0.0220719	0.0262462	0.0192983	0.0175039	0.0286354	0.0322525	0.02939	0.0441682	0.035955	0.0326249	0.0389798	0.0430616	0.0451188	0.0429527	0.0399389	0.0445713	0.0434218	0.0611886
à	0.0699243	0.0561358	0.0450211	0.0349932	0.0186375	0.0106589	0.0106238	0.00586111	0.00413672	0.00563081	0.00500337	0.00768631	0.0132176	0.0199427	0.0177088	0.0340742	0.0262396	0.0245062	0.0122941	0.0147757	0.0191617	0.0134773	0.0113257	0.0198829	0.0147183	0.0162386	0.0302367	0.0442443	0.0385558	0.0534585	0.0536532	0.0767109	0.064846	0.106418
porter	0.0697696	0.0420854	0.0316544	0.0257	0.0148059	0.00929153	0.0110837	0.00956257	0.00730129	0.00605256	0.00523822	0.00680137	0.00975135	0.0139795	0.0122778	0.0275516	0.0239817	0.0215481	0.010973	0.0144637	0.018558	0.015405	0.0128333	0.0293429	0.0211368	0.0238167	0.0392178	0.0499714	0.0451868	0.056405	0.0612973	0.0808813	0.0674324	0.104642
pour	0.0623862	0.0282332	0.0206645	0.0139904	0.0088972	0.00740712	0.00807104	0.00935174	0.00813321	0.00923641	0.00711988	0.00645288	0.00543082	0.00507454	0.00750836	0.0139909	0.0128461	0.0202627	0.0166847	0.026639	0.0321694	0.0337607	0.0364994	0.0504274	0.0350315	0.0317095	0.036768	0.0493987	0.0417537	0.0634743	0.0660423	0.0742522	0.0766966	0.0736356
tes	0.195722	0.0844095	0.0283	0.0151819	0.0099453	0.00951932	0.00916422	0.007391	0.00435077	0.00630969	0.00640571	0.00505409	0.00432534	0.00453509	0.00580819	0.0101443	0.0124042	0.0141353	0.0204948	0.0204786	0.0197662	0.0223243	0.021218	0.027923	0.023574	0.0217738	0.0267799	0.0416249	0.0365806	0.0507895	0.0406779	0.0524505	0.0662146	0.0742236
cadets	0.171755	0.102636	0.0435511	0.0203783	0.00901191	0.0064808	0.0050901	0.00461372	0.00389128	0.00542945	0.00554869	0.00636845	0.00873028	0.00875895	0.0101622	0.0156114	0.0228767	0.0194064	0.0257995	0.0248344	0.0250509	0.0260481	0.0234363	0.0250971	0.0225847	0.0182272	0.0172777	0.026803	0.0174083	0.0353338	0.027004	0.0413729	0.051264	0.122158
toi	0.0786817	0.0453164	0.0264605	0.0170279	0.00794132	0.00593642	0.00562837	0.00427817	0.00737349	0.0055725	0.00828304	0.0067	0.00635241	0.00691535	0.00830706	0.0129411	0.017484	0.0112179	0.0121137	0.0168593	0.0179989	0.0164459	0.0170643	0.0237372	0.0155811	0.0178903	0.0228956	0.0538772	0.0353187	0.0799604	0.0595081	0.0838153	0.0910841	0.153432
</S>	0.0297342	0.0238385	0.0209448	0.0151539	0.0101692	0.00915328	0.00997085	0.00920959	0.00795034	0.00513605	0.00490052	0.00633031	0.00694589	0.00588164	0.00748168	0.00645789	0.00489351	0.00355098	0.00377388	0.00482677	0.0056859	0.00887694	0.0106592	0.0135299	0.0106346	0.0150619	0.0253576	0.0537365	0.0501588	0.0891405	0.103352	0.117504	0.113231	0.186768
