 	s	á	p	o	o	b	h	á	o	d	z	a	e	y	o	ó	ó	d	z	a	e	n	a	n	g	a	b	á	a	k	u	n	d	á	m	ó	m	b	e	n	d	z	a	</S>
dans	0.0340833	0.0266671	0.0206798	0.0274227	0.0264034	0.0306612	0.0175674	0.0236922	0.0177956	0.0257651	0.0243958	0.0289844	0.020568	0.034371	0.0144546	0.00943328	0.00688384	0.00513903	0.00451699	0.00556857	0.00466996	0.00840754	0.00611418	0.00869306	0.00694724	0.0132082	0.0136561	0.0151064	0.0240654	0.0336391	0.0360001	0.0423919	0.0366128	0.040689	0.0337716	0.0240592	0.0321289	0.0278108	0.0234864	0.0396286	0.0372832	0.0336749	0.0323884	0.0205137
ce	0.147106	0.110315	0.0555771	0.0278509	0.0267318	0.022679	0.0118863	0.0330195	0.0117935	0.0111198	0.0169958	0.0132551	0.0203458	0.0221746	0.0154899	0.0112095	0.0125692	0.0130737	0.0101589	0.0100479	0.00980927	0.0127405	0.0114282	0.0130985	0.0249169	0.0187802	0.0234106	0.017295	0.0162685	0.0139575	0.0166303	0.0162991	0.0236263	0.0229799	0.0187509	0.0157369	0.00702576	0.00510125	0.00996615	0.0143356	0.0196706	0.0151538	0.0191229	0.0304968
village	0.0172868	0.0136459	0.0193588	0.0232937	0.022154	0.02094	0.0214952	0.0247929	0.0330098	0.04569	0.0244091	0.0355456	0.035913	0.0326454	0.0296084	0.0182188	0.0176725	0.018208	0.0152142	0.0100063	0.0135164	0.0143082	0.0165776	0.027205	0.0159939	0.0265763	0.0156134	0.0139112	0.0178639	0.0221689	0.0213424	0.0304206	0.0254506	0.0275407	0.0321029	0.0422533	0.0268477	0.0252697	0.0327853	0.0209582	0.014549	0.016567	0.0122005	0.00886906
que	0.0152763	0.0150232	0.0139331	0.0133298	0.0156072	0.0153829	0.0141567	0.0129612	0.0142397	0.0167552	0.0150546	0.014549	0.0191403	0.0123155	0.0203557	0.018686	0.0212948	0.0179798	0.0241332	0.02296	0.0243802	0.0215446	0.0246574	0.0199705	0.0219707	0.0220515	0.023631	0.0215836	0.0207418	0.0241951	0.0291193	0.0308766	0.0317222	0.0273594	0.022586	0.0329233	0.0551195	0.0399289	0.0329514	0.0461195	0.0285928	0.0149937	0.0204193	0.0294273
tu	0.0163857	0.0221411	0.0248275	0.0246578	0.0365571	0.0420307	0.0312461	0.0286602	0.0272441	0.0322697	0.0291893	0.0286421	0.029154	0.0369472	0.0293719	0.0239335	0.0245197	0.014648	0.00842605	0.00919081	0.0130816	0.0129761	0.0139709	0.0254153	0.0164506	0.0230231	0.0165336	0.0170075	0.0138216	0.0168984	0.0195823	0.0150114	0.0158553	0.0156924	0.0169991	0.0215334	0.0174306	0.026531	0.0244027	0.0210584	0.0219548	0.0186779	0.0357802	0.0402696
sois	0.0134926	0.0115274	0.0119149	0.0138269	0.0139036	0.0123833	0.012913	0.0117845	0.00979671	0.0129558	0.0125336	0.011471	0.0146053	0.0091437	0.0120644	0.014243	0.0191216	0.0157341	0.0162399	0.0178408	0.0186692	0.0256193	0.0313201	0.0317412	0.0326559	0.0352134	0.0351937	0.0273884	0.0252233	0.0237212	0.0266486	0.02384	0.0229812	0.0226672	0.0142034	0.0193713	0.0323701	0.0384385	0.0402283	0.0488313	0.0414772	0.034516	0.0451713	0.0350138
pauvre	0.0318519	0.0273816	0.0232633	0.0303418	0.033943	0.0254692	0.0216036	0.0252299	0.0248645	0.0279324	0.0339199	0.0312211	0.0314792	0.0183001	0.023611	0.0212926	0.017911	0.025395	0.0261194	0.0295985	0.020051	0.0324676	0.0320181	0.0328123	0.0231929	0.0226879	0.0206746	0.0192973	0.0187658	0.0142065	0.0114925	0.00692965	0.00994699	0.00768937	0.00375443	0.00532355	0.00994519	0.0135192	0.0123585	0.0160799	0.0150729	0.0186774	0.0332312	0.0690761
ou	0.0354291	0.0277178	0.0129766	0.0173067	0.0194714	0.0175452	0.0172816	0.0162063	0.0176245	0.019707	0.0191619	0.021964	0.0266489	0.0153362	0.0196406	0.0253466	0.0279982	0.0290795	0.0314538	0.0239455	0.0237564	0.0261219	0.0261416	0.0273054	0.028146	0.0334731	0.0339403	0.0266774	0.0316074	0.0381961	0.0325717	0.0278159	0.0198504	0.0217975	0.00870811	0.0084892	0.00987402	0.00774744	0.0127408	0.0146057	0.0169345	0.0200631	0.0235371	0.0380574
riche	0.0260873	0.0213502	0.0160811	0.0197859	0.0191101	0.013164	0.0165149	0.0125626	0.0125461	0.0142762	0.015229	0.0164336	0.0230563	0.0155825	0.0201631	0.0329156	0.0486443	0.0362876	0.0365355	0.0251199	0.0208061	0.0246559	0.019558	0.0312615	0.0212521	0.0261141	0.0243629	0.0209568	0.024594	0.0209735	0.0177246	0.0109134	0.0139553	0.0123778	0.0115196	0.0122828	0.0177652	0.0186406	0.0174061	0.0191477	0.0184531	0.0259796	0.041085	0.0867685
on	0.0277299	0.0255125	0.0232759	0.0250222	0.0226042	0.0171835	0.015666	0.00926265	0.00883995	0.00900335	0.00855866	0.0102269	0.0135654	0.0100976	0.0130611	0.0181221	0.0220604	0.0189154	0.0229626	0.0198362	0.0204538	0.0225846	0.0210836	0.0222553	0.0227205	0.0228528	0.0243683	0.0201681	0.0182061	0.0204732	0.0206333	0.0135508	0.0197339	0.0170425	0.0162938	0.0167279	0.0186592	0.0221333	0.0215683	0.0308473	0.0375097	0.0648467	0.0518572	0.0919231
t'	0.0471414	0.0304303	0.0244653	0.0300587	0.0215021	0.0119	0.0108146	0.010484	0.0103013	0.0107771	0.0134462	0.0138964	0.0182696	0.0167689	0.0193325	0.0221319	0.0272808	0.0239019	0.0271036	0.0200816	0.0263087	0.0186967	0.0186795	0.0197116	0.0225085	0.0193344	0.0194581	0.0157182	0.0165688	0.0134818	0.0135267	0.010845	0.0152997	0.0147757	0.0113255	0.0146051	0.0257409	0.0236265	0.0233747	0.03476	0.0381577	0.0480787	0.0455961	0.0797329
enterre	0.0868438	0.0659109	0.0432494	0.055947	0.0314402	0.0184673	0.0135704	0.0147556	0.0116101	0.00928019	0.0135319	0.0132464	0.0158814	0.0175025	0.0186116	0.0192983	0.022081	0.0214025	0.0232465	0.0166025	0.0239938	0.0159432	0.0179041	0.0177836	0.0210047	0.0163288	0.0170738	0.0146443	0.0137803	0.0106758	0.0114236	0.00995857	0.0154895	0.0143091	0.0152673	0.0155599	0.0161179	0.0157286	0.0152501	0.0211477	0.0238525	0.0297295	0.0308967	0.0636575
avec	0.0566209	0.0338628	0.023515	0.025363	0.0187091	0.0192033	0.0169627	0.0189743	0.0125762	0.0102884	0.0136834	0.0117153	0.0151587	0.0125538	0.0155604	0.0190694	0.0248031	0.0247031	0.0253072	0.0166487	0.0257553	0.0270651	0.0352619	0.0350454	0.0457484	0.0417381	0.0477452	0.0404183	0.0272636	0.0188867	0.017414	0.0116866	0.0173548	0.0162714	0.0193133	0.0202023	0.0165903	0.0159544	0.0154085	0.0148529	0.0144004	0.0149897	0.0189184	0.0264362
un	0.0465598	0.0399184	0.0342104	0.026292	0.0196519	0.0232381	0.0159847	0.0176639	0.00986795	0.0101468	0.0162827	0.0128534	0.0206573	0.0150157	0.017249	0.0168617	0.021945	0.0144493	0.00970488	0.00709959	0.0100807	0.014356	0.01224	0.0208583	0.0194894	0.0267825	0.0257868	0.0194704	0.0247832	0.0187194	0.0171044	0.0125365	0.0171784	0.0175	0.0206995	0.0222517	0.0290406	0.0295942	0.0313588	0.0357793	0.034148	0.0382178	0.043038	0.0633333
drap	0.0211293	0.0144491	0.0133239	0.0118318	0.0096269	0.00802627	0.00464205	0.00810944	0.00478381	0.00575986	0.0134957	0.012054	0.0172349	0.0156924	0.0159086	0.0137327	0.0176963	0.0190892	0.0214952	0.0173926	0.0249689	0.0210725	0.0227181	0.0281207	0.031013	0.0290699	0.0288171	0.0264269	0.0289911	0.0217315	0.0220597	0.0182072	0.0289818	0.0268957	0.0201184	0.0209024	0.0317558	0.0320317	0.026655	0.0319506	0.0342628	0.0414853	0.0536013	0.0826885
blanc	0.0175632	0.012023	0.00797662	0.00644403	0.00575472	0.00629447	0.00510317	0.00684289	0.00370514	0.00439703	0.00687961	0.00651286	0.00981373	0.00870545	0.0126255	0.0192487	0.0343382	0.0262672	0.0249605	0.0196149	0.026156	0.0360534	0.0316234	0.0528087	0.0490993	0.0644759	0.0593088	0.0588799	0.0553108	0.0393752	0.0305919	0.0136678	0.0203799	0.0172695	0.0153228	0.0107733	0.013033	0.0133617	0.0107854	0.0139394	0.0161582	0.0225133	0.0332089	0.0508327
</S>	0.0165706	0.0138917	0.0126301	0.0139527	0.0107468	0.00891986	0.00508269	0.00642104	0.00443492	0.00518962	0.00829612	0.00839882	0.0106765	0.0102377	0.0103084	0.0126703	0.0190098	0.014948	0.0124546	0.00888771	0.0174944	0.0136713	0.013603	0.017904	0.0244239	0.0288509	0.0322492	0.0321337	0.02676	0.0251149	0.0246884	0.017683	0.0295907	0.0286248	0.0239385	0.0219492	0.030946	0.0322325	0.0272891	0.0382275	0.0437736	0.0572149	0.0673714	0.110537
