 	m	b	a	l	é	y	o	n	d	z	ε	l	ε	é	k	o	i	b	a	r	e	p	e	r	e	p	e	r	e	</S>
le	0.0123562	0.0272743	0.0194613	0.0135331	0.0162097	0.0182776	0.0236956	0.03037	0.0335434	0.0294206	0.0407095	0.078434	0.0993349	0.0933566	0.0862717	0.0562996	0.0289896	0.0175108	0.0250244	0.0340436	0.0305761	0.0229773	0.0260678	0.022951	0.0237525	0.0145463	0.0144878	0.0150366	0.0161537	0.0293341
concert	0.0138408	0.0443462	0.0535976	0.0505146	0.157568	0.167051	0.0670365	0.0632021	0.061522	0.0908928	0.062802	0.0671191	0.0413888	0.0236608	0.00697612	0.00260301	0.00200827	0.00118531	0.00117249	0.00161884	0.00119584	0.0018178	0.00148102	0.00323767	0.00327219	0.0032046	0.002398	0.00226709	0.000481977	0.000537464
d'	0.0535841	0.0334598	0.0307037	0.0253801	0.0347815	0.043367	0.0555151	0.0482886	0.0455178	0.0341028	0.0307546	0.0306642	0.0308029	0.0532421	0.0457876	0.0376983	0.0704725	0.0369031	0.036349	0.0243771	0.0400612	0.0255797	0.0165658	0.0335874	0.0232808	0.0175679	0.0147814	0.00962763	0.00763212	0.00956405
onzele	0.106673	0.135129	0.132503	0.0605944	0.0598449	0.0627288	0.0667653	0.0597833	0.0516858	0.0422792	0.0395932	0.0298293	0.0228952	0.0122245	0.0100981	0.00910954	0.0162156	0.0106002	0.00710507	0.00385547	0.00658054	0.00391628	0.00223404	0.00602593	0.00483683	0.00470885	0.00414612	0.00442667	0.00368987	0.0199224
s'	0.109687	0.134305	0.137136	0.0490496	0.0423833	0.0260417	0.019245	0.0187287	0.0180781	0.0178674	0.0139657	0.012126	0.0114842	0.006294	0.0109363	0.0158869	0.0265937	0.0135486	0.016303	0.0167725	0.0168633	0.0196515	0.0200581	0.019799	0.0171893	0.0220411	0.0245628	0.0256433	0.0327137	0.0850454
est	0.114316	0.0561334	0.0457844	0.031572	0.0618607	0.0575816	0.0513937	0.0449581	0.0371427	0.0303062	0.0251457	0.0294734	0.0298709	0.0263611	0.0251266	0.0255611	0.0325448	0.032548	0.0228682	0.0127095	0.0150024	0.0164827	0.00777844	0.0139695	0.0109594	0.0094615	0.0143588	0.0104697	0.0116507	0.0966091
produit	0.0433698	0.0374226	0.0312348	0.0166164	0.00698742	0.00483979	0.0042971	0.00366558	0.00337499	0.00223194	0.0028872	0.00448088	0.00303135	0.00446269	0.0286456	0.0399523	0.0581723	0.0415189	0.0504046	0.0406332	0.0544007	0.0671552	0.0609993	0.0590599	0.0661741	0.0532261	0.0579812	0.040322	0.040334	0.0721179
devant	0.0895179	0.0504151	0.038499	0.0209584	0.0109113	0.00859832	0.00792799	0.00761716	0.0076223	0.00460351	0.0046427	0.00570768	0.00456175	0.00470891	0.0146793	0.026085	0.0430791	0.0337983	0.0382173	0.026721	0.0388672	0.048359	0.0369272	0.0399986	0.0352978	0.0425222	0.0412172	0.0421215	0.062963	0.162854
un	0.07789	0.0394422	0.0298492	0.0253064	0.0192716	0.0246037	0.0260273	0.0220445	0.0175161	0.0101024	0.00744729	0.0129358	0.0104794	0.00954211	0.014224	0.0210845	0.0281412	0.0159209	0.0133294	0.0113294	0.0123965	0.0161591	0.0146754	0.0170195	0.0276397	0.0413856	0.0631413	0.0726953	0.0838852	0.214515
public	0.0352909	0.0425036	0.0686318	0.0588976	0.0672382	0.0410595	0.0123532	0.00972225	0.00913914	0.0142067	0.0164262	0.0121194	0.0132811	0.0173218	0.0174965	0.0149622	0.0206548	0.0166444	0.00942128	0.0112809	0.00912479	0.0119778	0.013766	0.0247368	0.0513576	0.0317164	0.042675	0.0437306	0.0292021	0.233061
nombreux	0.0608756	0.0463561	0.0411181	0.0389277	0.0367681	0.0286298	0.0219632	0.0182872	0.0158041	0.00740458	0.00735487	0.008446	0.00764775	0.00606404	0.0161121	0.0148881	0.0182156	0.0185476	0.0225595	0.0228541	0.0239956	0.0338068	0.0276975	0.029327	0.0400565	0.0461158	0.0502145	0.0480591	0.0822427	0.15966
</S>	0.0587751	0.0454172	0.046275	0.0390898	0.0256478	0.0188618	0.0159717	0.0104272	0.00895985	0.00697766	0.00653391	0.0075472	0.00592782	0.00608406	0.00945715	0.00958632	0.0132134	0.0102348	0.0138614	0.0111766	0.0132131	0.017473	0.0185299	0.0189619	0.0346528	0.0472502	0.0698883	0.0699068	0.074783	0.265315
