 	o	b	e	n	g	i	á	y	í	i	l	e	m	b	v	ú	n	y	u	ó	k	ó	ó	y	e	e	p	ώ	r	í	w	a	</S>
le	0.00690068	0.0093829	0.00995207	0.0119808	0.0194568	0.0211331	0.0206689	0.0284392	0.0274865	0.0370355	0.0435794	0.125594	0.129863	0.102565	0.0876161	0.0548227	0.0472924	0.0247545	0.0164111	0.00685622	0.00892266	0.00662354	0.0110511	0.0100427	0.00843969	0.00944351	0.00949235	0.0135136	0.0159321	0.0124861	0.0226327	0.0260666	0.013561
chasseur	0.0367155	0.0815966	0.108232	0.05951	0.040375	0.0706483	0.082055	0.0604362	0.0481406	0.0760543	0.0812394	0.0605375	0.0335841	0.0163276	0.0199269	0.0118192	0.011535	0.00537706	0.00633541	0.00289481	0.0144929	0.00789887	0.00501533	0.00755451	0.00469371	0.00592846	0.00898565	0.00730557	0.0140787	0.00435978	0.00380269	0.00161318	0.00092935
a	0.044621	0.0269407	0.0229022	0.0286997	0.0329163	0.0371362	0.0387728	0.0348602	0.0299085	0.0246341	0.0158826	0.0143632	0.0150126	0.0149057	0.0371656	0.0739903	0.060755	0.0711958	0.0611394	0.0435704	0.0583564	0.0484943	0.0358609	0.021037	0.0156374	0.0222611	0.00804734	0.0135928	0.01142	0.00889379	0.0102485	0.0111316	0.0056465
laissé	0.0224006	0.0323915	0.04393	0.0475235	0.0571237	0.0423177	0.0425299	0.0433837	0.0274479	0.0232255	0.0161941	0.0118513	0.00869418	0.00846031	0.0148905	0.015641	0.0207969	0.0372977	0.0458172	0.0610604	0.0524611	0.0459429	0.0455682	0.0278224	0.0353747	0.0172979	0.0244406	0.0204108	0.0162188	0.020026	0.0154137	0.0192274	0.0368181
un	0.029924	0.0320798	0.033733	0.0361333	0.0392868	0.0411361	0.045929	0.0458056	0.0341265	0.027244	0.0221022	0.015557	0.0194297	0.0252488	0.0271386	0.017675	0.0191765	0.0208791	0.0237118	0.0313867	0.0249616	0.0306724	0.0297808	0.0332221	0.0370277	0.0359873	0.0341335	0.0347859	0.0295919	0.0252525	0.0263188	0.027524	0.0430383
signe	0.0124591	0.0154654	0.0136523	0.0201278	0.0200384	0.0300775	0.0308489	0.0377488	0.040237	0.031237	0.0226413	0.0124054	0.0174139	0.0191966	0.0372675	0.0252903	0.0418051	0.0341437	0.0391977	0.0442403	0.0476967	0.0370669	0.0429435	0.0519647	0.0475628	0.0571888	0.0362105	0.0285971	0.0273999	0.0171432	0.0119725	0.0152394	0.0335197
sur	0.0222131	0.0224908	0.0187962	0.024492	0.0222706	0.0296591	0.0265018	0.0299127	0.03713	0.034198	0.0337941	0.0180275	0.0156547	0.00988076	0.0209496	0.027006	0.0338226	0.049944	0.0424664	0.07111	0.0501126	0.0370178	0.0408425	0.0336356	0.0384785	0.0335503	0.0313723	0.0210864	0.0266706	0.0118737	0.00890221	0.0185238	0.0576136
le	0.0357594	0.0322998	0.0316605	0.0329245	0.0309088	0.0354654	0.0330414	0.0293036	0.0251335	0.0220831	0.0229034	0.0179036	0.0285733	0.0251737	0.0223539	0.0178155	0.0200604	0.0160786	0.0150608	0.0149655	0.0106018	0.0159886	0.0206092	0.0311187	0.0250003	0.0366512	0.0356529	0.0305613	0.0587692	0.0380283	0.0532412	0.0573955	0.076913
chemin	0.0562346	0.0420735	0.0355107	0.0315934	0.020974	0.0130983	0.00905712	0.00924279	0.0116028	0.0107827	0.014295	0.0154063	0.0297674	0.0221661	0.0278226	0.0203285	0.0368901	0.0308162	0.0281475	0.0337645	0.0284832	0.0268578	0.0264742	0.0316127	0.0222405	0.0224262	0.0222488	0.0170995	0.035199	0.0126472	0.0379352	0.040054	0.177148
qu'	0.0532018	0.0447418	0.0442393	0.0438442	0.0409922	0.031894	0.0235267	0.0202602	0.0157009	0.0114546	0.0102209	0.00517766	0.00721929	0.00526376	0.00717106	0.00731189	0.0145776	0.0224973	0.0319438	0.0418162	0.0285609	0.0250264	0.0331968	0.0289678	0.0292992	0.0227854	0.0268409	0.0219344	0.0457606	0.0259027	0.0534598	0.0502106	0.124999
