 	n	g	á	í	b	v	έ	ε	a	t	u	m	b	ú	m	í	k	á	n	d	á	m	á	n	g	á	s	á	d	z	a	l	a	l	a	</S>
j'	0.148043	0.250857	0.190812	0.150475	0.0247554	0.00681262	0.00959527	0.0155143	0.00496068	0.00932932	0.01051	0.0135389	0.00955976	0.0064732	0.00704409	0.00683621	0.00533959	0.00632716	0.00480534	0.00538971	0.00587671	0.00524532	0.00730607	0.00790123	0.00549398	0.0073795	0.00676296	0.00667825	0.00750174	0.00712869	0.0068351	0.0065369	0.00763545	0.00803551	0.00835706	0.00834575
ai	0.0281212	0.0128322	0.0183881	0.0252042	0.026121	0.0312795	0.0327486	0.0660728	0.0643201	0.0587049	0.0730479	0.046838	0.0261058	0.022226	0.0187264	0.0187983	0.0272285	0.0269665	0.0205596	0.0165345	0.0194057	0.0131765	0.0102612	0.0189902	0.0182958	0.0538911	0.0259775	0.0499764	0.0325298	0.0120358	0.015868	0.0101132	0.00867337	0.0070283	0.0149759	0.0279772
jeté	0.0355302	0.0147672	0.0124302	0.0148734	0.040924	0.0254166	0.03006	0.0137195	0.018455	0.0177648	0.0109884	0.0144084	0.0196692	0.0321472	0.0513195	0.0476779	0.0657895	0.0568718	0.0531257	0.0432108	0.0582973	0.0402278	0.0297598	0.0247606	0.0267043	0.0171692	0.0114418	0.0190773	0.0132643	0.0173786	0.0170359	0.0251804	0.0214337	0.0202452	0.0234104	0.0154642
mes	0.0432767	0.0217606	0.0131381	0.0187894	0.0358388	0.0217915	0.0234572	0.0213767	0.0212433	0.0203927	0.0210004	0.0229208	0.0291507	0.0346042	0.0417463	0.0432492	0.0385414	0.0409641	0.033699	0.026926	0.030037	0.0249595	0.0295252	0.0239335	0.0296614	0.0182799	0.0283693	0.0165031	0.0165294	0.0181199	0.0163155	0.0298949	0.0227252	0.035563	0.0291259	0.05659
habits	0.00901749	0.00425499	0.00419662	0.00515077	0.00771297	0.0178101	0.0114069	0.0146715	0.0176757	0.0172914	0.0219125	0.0210646	0.0257534	0.0269663	0.0278772	0.0268526	0.0342745	0.0301098	0.0349721	0.03026	0.031656	0.0291479	0.029378	0.0420348	0.0445735	0.0544689	0.0451209	0.0557993	0.0448803	0.0388832	0.0320094	0.0254871	0.0278405	0.0300519	0.0349839	0.044453
usés	0.00354516	0.00452163	0.00378059	0.00465937	0.00659422	0.0148046	0.0181852	0.0190158	0.0175927	0.0207671	0.0178473	0.0171854	0.0173438	0.0196273	0.0232222	0.0289388	0.0369993	0.0389755	0.0373523	0.0390554	0.0366848	0.0381637	0.0395881	0.0428229	0.042696	0.039863	0.0481253	0.0339163	0.0353342	0.0324034	0.0345421	0.0362261	0.0349495	0.0376861	0.0369072	0.0400775
dans	0.0103232	0.00534054	0.00444988	0.00458796	0.00748505	0.0209953	0.0176101	0.0215104	0.0183283	0.0235828	0.0234326	0.0242955	0.0274517	0.0294308	0.0384864	0.0391472	0.0616307	0.0606717	0.0562622	0.0468535	0.0353815	0.0331759	0.0269728	0.0224037	0.0206803	0.030852	0.0328651	0.0241258	0.0252982	0.0196973	0.0221588	0.0209997	0.0241937	0.0337787	0.0294907	0.05605
la	0.0134096	0.0137874	0.0103901	0.013771	0.00983296	0.0182309	0.0156592	0.0182999	0.0116254	0.0157247	0.0124029	0.0123484	0.0138931	0.01587	0.0213488	0.0228201	0.0433974	0.0472447	0.0469736	0.0567162	0.0405238	0.0489444	0.0367575	0.0339357	0.0272792	0.0311612	0.0349214	0.0312823	0.0339674	0.0299787	0.0334505	0.031552	0.034768	0.0382702	0.0365046	0.0429568
poubelle	0.0150185	0.0143969	0.0151834	0.0212478	0.01389	0.00917159	0.00637236	0.00802007	0.00794326	0.0109264	0.0123218	0.0110281	0.0083117	0.00878071	0.0125864	0.0156075	0.0234361	0.0261253	0.0284071	0.0307904	0.0269647	0.0283614	0.0214386	0.0305277	0.0162798	0.0404418	0.0191787	0.0476328	0.0495897	0.0472902	0.0556838	0.0504979	0.0611143	0.0546533	0.0628436	0.0879363
</S>	0.0113919	0.00653695	0.00677138	0.00803692	0.0114073	0.0139027	0.0125004	0.0147966	0.0119454	0.0157416	0.0146677	0.0135698	0.0113832	0.00860863	0.0132737	0.0148937	0.0357452	0.0469321	0.0395506	0.0447358	0.0349979	0.0422237	0.0332293	0.0299958	0.0223664	0.030712	0.0382825	0.0342272	0.044008	0.035055	0.0447205	0.037748	0.0479579	0.0532523	0.0497463	0.0650854
