 	w	a	b	ó	l	á	a	k	w	á	o	y	ú	r	u	s	á	n	d	é	e	</S>
il	0.132793	0.256803	0.297485	0.172603	0.0418953	0.00993366	0.0124429	0.00572253	0.00373563	0.00418728	0.0102705	0.00804222	0.00991068	0.0055228	0.00474433	0.00350462	0.00335899	0.0035562	0.00340162	0.00391411	0.00362627	0.00254667
est	0.028881	0.0175721	0.0157781	0.0150822	0.0197534	0.0277637	0.10836	0.145204	0.158567	0.0920364	0.0403184	0.0439937	0.029046	0.0326542	0.0351185	0.0528739	0.0325714	0.0290228	0.0346233	0.0204159	0.00988143	0.0104832
en	0.0584316	0.0643738	0.0705137	0.065682	0.0707794	0.0473519	0.0239279	0.0405557	0.0816653	0.0711676	0.0269433	0.0357004	0.0366165	0.074473	0.0280529	0.0238663	0.0147429	0.0196955	0.0265441	0.0272694	0.0424469	0.0492
train	0.00726443	0.00927126	0.0108545	0.00856024	0.0110136	0.0125384	0.0254526	0.0358756	0.0496461	0.0914528	0.0742819	0.0739071	0.0406332	0.0928141	0.0644465	0.073162	0.0543751	0.063971	0.0650462	0.0493112	0.0539563	0.0321657
de	0.00606505	0.0122015	0.00811148	0.00920693	0.00551924	0.00649993	0.0169063	0.00626749	0.00649888	0.014635	0.0106703	0.00866479	0.0082954	0.0102347	0.022794	0.0383813	0.0364983	0.0344558	0.046271	0.0787309	0.148003	0.465089
faire	0.0174089	0.0219364	0.0273149	0.0189387	0.0173669	0.0151785	0.0164802	0.0129718	0.0157103	0.0392845	0.0421159	0.0620274	0.0446755	0.0952968	0.0984183	0.0721099	0.0432276	0.0422523	0.0820892	0.0606895	0.0925187	0.0619877
l'	0.0166534	0.0150683	0.0142942	0.0171427	0.0237387	0.0276417	0.0284016	0.0238974	0.0191765	0.0276447	0.0264737	0.0360536	0.0282976	0.0370685	0.067112	0.0679701	0.0644113	0.0687353	0.0927525	0.0929082	0.0937058	0.110852
amour	0.0230023	0.0234678	0.0227166	0.0235665	0.0245641	0.0242443	0.021722	0.0224128	0.0186141	0.024918	0.027698	0.0322199	0.0247874	0.0254701	0.100756	0.0698038	0.0543764	0.0762726	0.0904504	0.0957741	0.0862584	0.0869044
avec	0.0212587	0.0247129	0.0230643	0.0245881	0.0220788	0.0244986	0.0233899	0.0151229	0.0094414	0.0194316	0.0245481	0.0250041	0.022133	0.0207928	0.0324652	0.0731277	0.0748017	0.0776157	0.113008	0.134142	0.0955308	0.0992441
une	0.023717	0.0259319	0.0260914	0.0250493	0.0207803	0.0246029	0.0206908	0.011707	0.00924709	0.0156758	0.0268065	0.0186239	0.0230298	0.031288	0.0469756	0.0465978	0.0547735	0.0761511	0.117576	0.122655	0.147893	0.0841363
femme	0.018325	0.0195954	0.0203748	0.021224	0.0261273	0.0263041	0.0272363	0.0172777	0.0115688	0.0230728	0.0300405	0.0293225	0.027269	0.024645	0.0470486	0.0789241	0.0748901	0.0782286	0.105846	0.0976764	0.0939728	0.10103
dans	0.00770033	0.0119581	0.0119834	0.0145857	0.0158491	0.0192093	0.0225037	0.0134161	0.0105598	0.0191461	0.0263171	0.0269888	0.0275729	0.032571	0.0937546	0.0970549	0.089278	0.0746872	0.0951602	0.0885467	0.0972571	0.1039
la	0.00827739	0.0144576	0.0116522	0.014005	0.0101427	0.0115723	0.0117155	0.00669916	0.00712224	0.0127653	0.0234485	0.0170956	0.0241026	0.0238713	0.0481026	0.0564611	0.0640776	0.0964382	0.149885	0.155179	0.154517	0.0784119
maison	0.00904305	0.0118457	0.00967673	0.0117749	0.0123345	0.0128362	0.0216423	0.0150496	0.0121982	0.0196865	0.0264961	0.02472	0.02035	0.0180759	0.0340448	0.0537823	0.0641986	0.116341	0.124734	0.139188	0.138909	0.103073
</S>	0.00712739	0.0104148	0.0104529	0.011442	0.0145932	0.0143493	0.025557	0.0151539	0.0138068	0.035307	0.0321261	0.0266549	0.0419087	0.0369162	0.0547286	0.0474309	0.05903	0.0980065	0.10516	0.0971498	0.145334	0.0973498
