 	b	e	a	b	í	í	l	á	m	b	í	n	g	á	l	a	p	o	a	í	m	i	s	έ	m	b	ε	</S>
la	0.0154536	0.00920878	0.0111824	0.00539657	0.0107196	0.0394872	0.0306659	0.0652982	0.0380531	0.0631379	0.0565117	0.068517	0.0991516	0.0980588	0.0663051	0.0798181	0.0381137	0.0573125	0.0257507	0.0230127	0.0173434	0.0159856	0.0199883	0.0147234	0.00705823	0.0054788	0.00823341	0.0100337
nourriture	0.0903475	0.165383	0.237525	0.159424	0.114992	0.0381328	0.0222767	0.0131672	0.0124675	0.0104244	0.008782	0.00852678	0.00378114	0.00492713	0.00379204	0.00606865	0.00829609	0.0105767	0.00777047	0.0183733	0.00769928	0.0110458	0.0106441	0.0116484	0.00591769	0.00423088	0.00198356	0.00179566
que	0.0576587	0.0530231	0.0572565	0.0449904	0.0561507	0.027856	0.0325405	0.0389991	0.0327965	0.0283357	0.026192	0.0240723	0.0183241	0.0463771	0.0189287	0.0242463	0.0229455	0.0281457	0.0409525	0.0471566	0.029745	0.0298002	0.0331436	0.0383691	0.0337427	0.0407223	0.0465646	0.0209645
j'	0.0458542	0.0510935	0.0255104	0.0180645	0.0206448	0.0144107	0.00790049	0.0128038	0.016895	0.0434918	0.052455	0.0585118	0.0516928	0.0275325	0.0151274	0.0164962	0.0129909	0.0101941	0.00895155	0.01321	0.0185659	0.0303485	0.0476084	0.0436324	0.0545001	0.0725941	0.0791404	0.129779
ai	0.046424	0.0410557	0.0620907	0.0458922	0.0489122	0.0410772	0.0451473	0.0547272	0.0340113	0.0453847	0.0262109	0.0304538	0.017272	0.0438018	0.0647337	0.0516058	0.0342834	0.0257415	0.0200015	0.0258256	0.024187	0.0256697	0.0189545	0.0245009	0.0204143	0.0190759	0.0213723	0.0411728
préparée	0.0329576	0.0271491	0.0401667	0.0275654	0.0298966	0.0305036	0.0376488	0.0516432	0.0304373	0.0525775	0.0176265	0.0195929	0.0132389	0.023021	0.052868	0.0563827	0.0517273	0.0433965	0.0346908	0.0467616	0.0449527	0.0425739	0.0319595	0.0393554	0.0307254	0.0221393	0.0270403	0.0414017
hier	0.0694938	0.0513924	0.0547767	0.0410747	0.0409299	0.0300051	0.0264309	0.030941	0.021343	0.0180004	0.00931767	0.00928768	0.00674095	0.0125083	0.0250967	0.0164583	0.0134392	0.0113398	0.00886791	0.014688	0.0228394	0.0320695	0.0442181	0.0530839	0.0708778	0.0758352	0.0786169	0.110327
s'	0.0426698	0.0461143	0.047035	0.037466	0.0478825	0.0542322	0.0300515	0.0380767	0.0175435	0.0167786	0.00943958	0.0090448	0.00835346	0.00716719	0.0160169	0.0148073	0.0157784	0.00789539	0.00501834	0.0090687	0.0151386	0.0289058	0.0357968	0.045003	0.0594371	0.0761314	0.0876335	0.171514
est	0.0653888	0.0678583	0.0372842	0.0431641	0.0353724	0.0281013	0.0122405	0.0131621	0.0103736	0.0140225	0.00987833	0.0102081	0.00975449	0.0059424	0.0221815	0.0210456	0.0278266	0.0154865	0.0108353	0.0167437	0.0231244	0.0335298	0.0370573	0.0422967	0.0502814	0.0620796	0.0703002	0.20446
gâtée	0.0673568	0.0585007	0.043577	0.0420229	0.0268142	0.0177361	0.00757771	0.00799649	0.00676892	0.0160812	0.0105587	0.00840186	0.00511813	0.00384144	0.0138074	0.0141943	0.0169466	0.00934214	0.00661389	0.0107197	0.0125764	0.0234412	0.0336191	0.0474673	0.0636331	0.0857068	0.0909258	0.248654
</S>	0.065376	0.0549022	0.0353042	0.0368243	0.0325481	0.0217178	0.0125218	0.0108128	0.00785511	0.0121247	0.00932035	0.00837699	0.0114289	0.00638384	0.0135048	0.011996	0.013532	0.00826451	0.00546128	0.00757054	0.0108374	0.0183421	0.0277805	0.0490089	0.072346	0.101848	0.110668	0.223343
