 	l	é	k	w	ε	r	έ	l	e	n	a	m	á	l	í	í	d	i	m	ó	s	á	á	b	v	ú	b	a	á	b	v	ú	a	ó	n	y	a	a	g	h	a	</S>
coupez	0.0395231	0.0204225	0.0359613	0.0289206	0.0311738	0.0449969	0.0506396	0.049616	0.051938	0.0588136	0.0625208	0.0363045	0.0477262	0.0765128	0.025543	0.0108307	0.00738506	0.00641333	0.00887012	0.00517131	0.00508507	0.00891107	0.00768542	0.00730435	0.00942776	0.00887774	0.00782047	0.00819674	0.0164538	0.0151216	0.0105271	0.012397	0.0121242	0.0146967	0.0191122	0.0221067	0.0245669	0.0159802	0.0263888	0.0140305	0.0176643	0.0162382
cette	0.141154	0.0830216	0.0296266	0.0441785	0.0363372	0.0413198	0.0483252	0.0479633	0.0434607	0.0342857	0.0470515	0.0402386	0.0397839	0.0410607	0.0246175	0.0153949	0.0345505	0.0147136	0.0120537	0.0126359	0.0119631	0.0232859	0.0227502	0.0105008	0.0122813	0.0138861	0.0150836	0.00722125	0.00812985	0.00951689	0.00245002	0.00262702	0.00357891	0.00214521	0.00312964	0.00283902	0.00364682	0.00505843	0.00195257	0.00139322	0.002191	0.00259626
plante	0.00772596	0.0077443	0.00656111	0.00722814	0.00435467	0.00375917	0.0035128	0.00542505	0.00606466	0.0123224	0.0115976	0.00811386	0.0104371	0.00968815	0.00556084	0.00930598	0.0135481	0.00563072	0.012174	0.0207551	0.0387995	0.0663986	0.0555872	0.0385529	0.0496787	0.0440867	0.0343077	0.0440189	0.0455277	0.0475501	0.0458193	0.0451492	0.0510529	0.053274	0.041769	0.0445242	0.033418	0.0148727	0.0120063	0.00352243	0.00897315	0.0096013
parasite	0.0314984	0.0391576	0.0231752	0.0259932	0.0188024	0.0149854	0.0185041	0.0132482	0.0137108	0.0116852	0.0281171	0.0223863	0.0154191	0.021177	0.0127312	0.0164477	0.0221263	0.0150335	0.046529	0.0388124	0.051713	0.0398383	0.0219039	0.0292212	0.0233816	0.0280969	0.0371985	0.0209274	0.0348398	0.019823	0.0208731	0.0206496	0.0233446	0.012482	0.0191761	0.01335	0.016794	0.0216507	0.0145699	0.0175234	0.0275432	0.0355596
qui	0.0216119	0.0321359	0.0353032	0.0648698	0.0383555	0.0473832	0.0505114	0.0340478	0.0192077	0.0198213	0.0103085	0.00568086	0.00647522	0.00442981	0.00385511	0.00605938	0.00611909	0.00576138	0.00903521	0.0140492	0.0259923	0.0417735	0.0166303	0.0428114	0.0526914	0.0632122	0.0445727	0.0590396	0.0419169	0.0275607	0.0307086	0.0167012	0.00901524	0.00350618	0.00229139	0.00410842	0.00311577	0.00416068	0.00813093	0.00199882	0.0107526	0.0542879
pousse	0.0242443	0.0175069	0.0174859	0.0213846	0.0198078	0.0181909	0.0185502	0.0124497	0.00989754	0.00998162	0.00784749	0.00827844	0.0091167	0.00576978	0.0099422	0.0185872	0.0205566	0.0174442	0.0227957	0.0235817	0.0368592	0.0422351	0.0321177	0.0546365	0.0501239	0.0636159	0.0691425	0.0598609	0.0525615	0.0369695	0.0311692	0.0116807	0.0158483	0.00714478	0.00903004	0.00782587	0.00620836	0.00813737	0.0141383	0.00428065	0.0189757	0.0540185
sur	0.0283337	0.0151539	0.0143603	0.017781	0.0214509	0.0196418	0.0153538	0.0112787	0.0125	0.0123122	0.0110681	0.0130382	0.0149026	0.0123584	0.0195947	0.0270266	0.0258038	0.0243619	0.0296751	0.0278447	0.0339627	0.030039	0.0282444	0.036295	0.0318785	0.0370082	0.0471128	0.0457947	0.0419194	0.0383137	0.0369248	0.0183485	0.0189685	0.0142672	0.0111722	0.0133532	0.0106573	0.0155032	0.0243394	0.0063964	0.0288852	0.0567754
le	0.0125704	0.00940067	0.00908069	0.0148722	0.0142309	0.0136375	0.0117379	0.0123738	0.0131133	0.0133114	0.009455	0.00915886	0.0105833	0.00754259	0.0100395	0.0118722	0.01352	0.0186284	0.0233547	0.033155	0.0304674	0.0369782	0.0381342	0.0455621	0.0438335	0.0432019	0.0478478	0.0450948	0.0407504	0.0324622	0.0379162	0.0154288	0.0264867	0.0220506	0.0233021	0.0210509	0.0139584	0.0230589	0.0263267	0.0186367	0.0342255	0.0615875
safoutier	0.0213042	0.0154462	0.0152969	0.014293	0.00988112	0.00734879	0.00490581	0.00378464	0.0049877	0.0063823	0.00641711	0.00534122	0.00559083	0.00831508	0.0108742	0.0107774	0.0159604	0.0229114	0.0320085	0.0328667	0.0351144	0.0293192	0.0263019	0.0378894	0.0363826	0.0394885	0.042638	0.0391853	0.0425153	0.0456686	0.0503082	0.0316984	0.028468	0.0248884	0.019913	0.0168936	0.0172786	0.0254184	0.0359301	0.0136282	0.0395563	0.0668217
pour	0.0676241	0.033523	0.01744	0.0190253	0.00947083	0.0121718	0.00920863	0.00889627	0.0103977	0.00980849	0.0118687	0.00876648	0.00909022	0.0131406	0.0137993	0.0107142	0.0109934	0.0256657	0.0230071	0.0360115	0.0251884	0.0231356	0.0237947	0.0300061	0.0307551	0.0357036	0.0401461	0.0338373	0.042738	0.0323118	0.0366213	0.0297127	0.0327149	0.0132137	0.0156392	0.0105148	0.0119866	0.0137537	0.0210294	0.0180364	0.0296332	0.0889041
que	0.0660456	0.0309416	0.0163191	0.0175698	0.00612243	0.00733864	0.00603962	0.00540981	0.00529366	0.00471345	0.00385617	0.00457145	0.00539628	0.00870967	0.0108541	0.0116366	0.0141514	0.0312223	0.0293259	0.0458228	0.0359687	0.0327583	0.0332725	0.0329171	0.0308937	0.0280068	0.0319902	0.0254226	0.0288532	0.0257476	0.0231947	0.0132062	0.0221492	0.0170131	0.0229652	0.0237207	0.0273481	0.0289421	0.0326396	0.0345473	0.0400343	0.0770683
celui-ci	0.0379609	0.0210647	0.0168478	0.0176952	0.013385	0.0129998	0.00922264	0.00826382	0.00824806	0.00865674	0.00821381	0.00841352	0.00844774	0.00607497	0.00722253	0.00902352	0.0106616	0.0197134	0.0183991	0.0316142	0.0265378	0.0275955	0.0260743	0.0303827	0.0352433	0.0382401	0.044908	0.0376055	0.0386772	0.045047	0.0326313	0.0261593	0.0305615	0.0254055	0.0267402	0.0241768	0.0253269	0.0268134	0.0300871	0.0314124	0.0327184	0.0555263
pousse	0.0297215	0.0184411	0.0175348	0.0167278	0.0153538	0.0155799	0.0152168	0.0130734	0.0123334	0.0114735	0.0088256	0.00863641	0.00830296	0.00720581	0.00894958	0.00722023	0.00837761	0.0194946	0.0155065	0.0316011	0.0231259	0.0289375	0.0285233	0.0401276	0.0362356	0.0326688	0.0321353	0.0278887	0.0306102	0.0293828	0.0339459	0.022575	0.027729	0.023944	0.0254508	0.0240725	0.0262989	0.0271786	0.0361632	0.0362692	0.0406161	0.0765447
bien	0.0146382	0.0110576	0.0110473	0.0105509	0.0122416	0.0126156	0.0128522	0.010342	0.00990535	0.00967937	0.00826109	0.00730764	0.00671041	0.00623387	0.00733756	0.00688387	0.00919204	0.0196582	0.0155812	0.0262806	0.0228292	0.0268133	0.0251474	0.0380655	0.0337148	0.0327565	0.0348834	0.0321317	0.0353064	0.0410372	0.0399032	0.0320173	0.0331214	0.0350185	0.0359642	0.0378468	0.0352855	0.0276409	0.0344315	0.023759	0.0378791	0.0760704
</S>	0.0125755	0.00918921	0.0091845	0.00975479	0.00729856	0.00832053	0.00456162	0.00409586	0.00364436	0.00338633	0.00365768	0.00349378	0.00328167	0.00393763	0.00464719	0.00531212	0.00820025	0.0218701	0.0174036	0.0315939	0.0309883	0.0289962	0.0275094	0.0413741	0.0300662	0.0238296	0.0258769	0.0189311	0.0278641	0.0311508	0.0341801	0.0165389	0.0258295	0.029251	0.0399355	0.0483183	0.0501381	0.0367073	0.054044	0.0391881	0.061379	0.102494
