 	w	a	l	á	a	t	ó	n	g	á	k	i	l	i	</S>
il	0.172072	0.176107	0.159322	0.175246	0.109305	0.062832	0.0176155	0.0268202	0.0529483	0.0152481	0.0100122	0.00781354	0.00555255	0.00507004	0.00403523
construit	0.027018	0.0257235	0.0181773	0.0202707	0.0100783	0.0109007	0.0221007	0.083144	0.168068	0.181087	0.144342	0.0825842	0.0710989	0.0983463	0.0370604
un	0.0354354	0.040666	0.0325353	0.0445694	0.0326381	0.0902145	0.108772	0.112299	0.095101	0.0588861	0.0622716	0.0673544	0.0760968	0.0726485	0.0705117
abri	0.0177502	0.0206837	0.0318441	0.0359706	0.0389508	0.0306036	0.0245481	0.0166195	0.0223773	0.0331079	0.091517	0.129566	0.158361	0.17501	0.17309
en	0.0235842	0.0195742	0.0132644	0.0132117	0.0116234	0.0129177	0.0163566	0.0232544	0.0389432	0.0514933	0.0976544	0.144319	0.165386	0.142256	0.226162
brousse	0.0153004	0.018197	0.0201043	0.0187455	0.020442	0.0234444	0.0349489	0.0471019	0.0665347	0.0700664	0.104518	0.113271	0.11028	0.105279	0.231767
pour	0.0350904	0.0473677	0.054726	0.0469499	0.0368639	0.0592024	0.0612907	0.0541167	0.0489946	0.0470988	0.0755557	0.0913692	0.0992934	0.100981	0.141099
la	0.0462545	0.0482427	0.0445804	0.0455687	0.0380967	0.0448155	0.0496689	0.0549672	0.0545387	0.0459022	0.0568689	0.0795618	0.102971	0.117604	0.170359
récolte	0.0269758	0.0250233	0.0232053	0.0238534	0.0210737	0.0238121	0.0283021	0.0386144	0.0433858	0.0721376	0.0984699	0.134282	0.140634	0.145335	0.154896
du	0.0360111	0.0370493	0.0370945	0.0378417	0.0390007	0.0398426	0.0604296	0.0883503	0.0863128	0.0575124	0.0534702	0.0630368	0.0724914	0.0903179	0.201239
vin	0.0341832	0.03252	0.0316612	0.0322123	0.0350614	0.0378875	0.0415007	0.0473058	0.048453	0.0646081	0.0789533	0.118323	0.12269	0.125028	0.149612
</S>	0.0235972	0.0235883	0.0236998	0.0238252	0.0237525	0.0246121	0.0348627	0.0679684	0.0662962	0.0477315	0.046267	0.090439	0.116818	0.140208	0.246335
