 	e	p	f	u	b	h	á	é	l	ω	b	h	i	s	i	b	v	á	r	e	b	á	b	í	s	í	</S>
la	0.0103622	0.0157599	0.0135538	0.0105199	0.0146547	0.0302717	0.0498172	0.0672567	0.0515212	0.0443208	0.0502296	0.0510969	0.0630334	0.0584669	0.0636961	0.0391046	0.0393186	0.0291821	0.0240796	0.0308628	0.0204281	0.0385081	0.0351685	0.0407774	0.0467199	0.0308353	0.030454
tempête	0.0182265	0.026095	0.030549	0.0158294	0.0155542	0.0263771	0.0373598	0.130708	0.173204	0.0670785	0.0642239	0.0430761	0.0511421	0.0523217	0.0822017	0.0615001	0.0406204	0.022224	0.00936305	0.00444653	0.00316895	0.0100934	0.00412867	0.00332378	0.00378224	0.0016323	0.00176951
a	0.0302305	0.0213364	0.0218024	0.0125338	0.0176717	0.0895421	0.11874	0.112327	0.113114	0.0639111	0.066372	0.0423066	0.0462366	0.0327963	0.0336872	0.0304891	0.0126614	0.00788471	0.00601074	0.0131755	0.011651	0.0184517	0.015358	0.0133222	0.0141665	0.0158253	0.0183973
fait	0.0607811	0.0788298	0.0935672	0.105865	0.0922917	0.0480888	0.0265768	0.0282741	0.0310008	0.03179	0.0288698	0.0191163	0.0168318	0.0146009	0.0128322	0.020232	0.0262269	0.0220291	0.0197999	0.0340287	0.030986	0.0295938	0.0264882	0.0184387	0.0216624	0.0126643	0.0485342
couler	0.061321	0.0468673	0.0353525	0.0145787	0.0108379	0.0203019	0.0196874	0.0317177	0.0423093	0.0343533	0.0339319	0.0284646	0.0402933	0.0374058	0.0343929	0.0566407	0.0559496	0.0500692	0.0460258	0.0339792	0.0391962	0.0396807	0.0289095	0.0338594	0.0394911	0.0207119	0.0636711
notre	0.017699	0.0135949	0.0143225	0.00870071	0.00905803	0.0114445	0.0122451	0.0244931	0.0328816	0.0263861	0.0272602	0.030597	0.0350102	0.0390571	0.0470772	0.0538025	0.0559636	0.0620069	0.0723412	0.0544698	0.0486043	0.0739497	0.0532905	0.0465425	0.0582223	0.0303512	0.0406286
pirogue	0.0263399	0.0253242	0.0220447	0.00900667	0.00683643	0.0166823	0.0143299	0.0206816	0.026616	0.0316392	0.0387645	0.0436152	0.0491052	0.0209113	0.0243831	0.0199632	0.0363942	0.0464106	0.0527017	0.0568431	0.0427021	0.0601941	0.0564119	0.0547836	0.0668321	0.031631	0.098852
à	0.0957299	0.0599764	0.0313674	0.0241972	0.0152218	0.0146059	0.0090419	0.0116203	0.0127899	0.0129217	0.0211929	0.0250355	0.0131132	0.00775372	0.00566101	0.00900274	0.0190479	0.0180411	0.0146836	0.0325676	0.0128285	0.0668176	0.051895	0.0731284	0.0997623	0.0765987	0.165398
pic	0.153459	0.0772285	0.0384439	0.0290806	0.0228275	0.0204845	0.00808652	0.00981559	0.00935186	0.0101654	0.0155245	0.0138828	0.00765175	0.00317907	0.00255669	0.0044142	0.0146214	0.0184823	0.0140898	0.0211607	0.008475	0.0394286	0.0411557	0.0630515	0.106391	0.0658761	0.181116
</S>	0.030866	0.0297204	0.0214472	0.012358	0.00678367	0.00521572	0.00493908	0.00552057	0.00692471	0.00944613	0.0117693	0.011527	0.00491368	0.00317991	0.00273311	0.0046149	0.00644786	0.00887098	0.0107451	0.0139721	0.0100534	0.0408053	0.0629343	0.115347	0.159238	0.123898	0.275729
