 	b	í	s	í	l	a	m	w	á	n	a	i	b	a	a	w	ó	l	e	d	í	l	e	y	i	n	í	í	</S>
ce	0.0440062	0.0600275	0.0492879	0.0447984	0.0499529	0.0244557	0.0122815	0.0312651	0.0240213	0.0242925	0.0259363	0.0309176	0.0286203	0.0617344	0.0952582	0.0674454	0.0503669	0.0318719	0.0370514	0.0174302	0.0205924	0.0322989	0.0263546	0.025257	0.0123803	0.0203073	0.0140019	0.0233407	0.0144451
garçon	0.0823181	0.0926134	0.0817235	0.0753572	0.0820939	0.07132	0.18581	0.0860157	0.0314389	0.0230412	0.0188083	0.0201161	0.01574	0.0239314	0.00793095	0.0156887	0.00264402	0.0035806	0.00540664	0.00435955	0.00973549	0.014219	0.0086212	0.00558219	0.0127331	0.00568291	0.00644703	0.00514587	0.00189538
et	0.123088	0.100838	0.121203	0.0685428	0.0274407	0.0201911	0.0270415	0.0160294	0.0352218	0.0338887	0.0283753	0.0221529	0.0308135	0.0347711	0.0183567	0.046535	0.026748	0.0177899	0.0194012	0.0151799	0.0276469	0.0188994	0.0162879	0.01218	0.0166307	0.0110773	0.0259593	0.0246543	0.0130551
moi	0.0737718	0.0430524	0.0342297	0.0274955	0.0214148	0.0172198	0.015732	0.0106634	0.0147017	0.0139941	0.0113623	0.014756	0.018153	0.0196039	0.030564	0.0489823	0.0441015	0.0577884	0.0486043	0.065808	0.0266128	0.0407006	0.0555868	0.04531	0.0460698	0.040625	0.0355884	0.0289885	0.0485194
nous	0.0639662	0.0335984	0.0214342	0.0186537	0.0213957	0.0228143	0.0214184	0.0179793	0.0273033	0.0221657	0.0194922	0.0172315	0.0201851	0.0173203	0.0199949	0.0105612	0.0168873	0.0285963	0.0203195	0.0584105	0.0583839	0.0370559	0.0606652	0.0589805	0.0485712	0.0578904	0.03513	0.0378143	0.105781
vivons	0.0430076	0.0259402	0.0198235	0.020321	0.0277624	0.0254049	0.0274401	0.02383	0.0246419	0.0207007	0.015407	0.0209226	0.0238839	0.0203072	0.0199873	0.00923807	0.0228331	0.0375446	0.024302	0.0564358	0.0545068	0.0325759	0.0529912	0.0584687	0.0491039	0.061034	0.045426	0.0445055	0.0916538
dans	0.0502302	0.0285247	0.017621	0.0173663	0.0289287	0.0215826	0.0256713	0.0220661	0.0250164	0.0197229	0.0147846	0.0179893	0.0232206	0.0198259	0.0128003	0.0128902	0.0312327	0.0311974	0.03038	0.0328272	0.04806	0.0414648	0.0596394	0.061165	0.0548477	0.0550192	0.0617007	0.0571503	0.0770746
la	0.0159662	0.0128657	0.0100195	0.0127598	0.02072	0.0304489	0.0240694	0.0338901	0.0315724	0.0237293	0.0147287	0.0189661	0.0172959	0.013099	0.00982471	0.00756723	0.0249602	0.0373319	0.03118	0.0632633	0.0438285	0.0372882	0.0577559	0.0509214	0.0377332	0.0734828	0.0722256	0.0621892	0.110317
plus	0.0207858	0.0222174	0.0200489	0.0217784	0.0176545	0.0159307	0.0133142	0.0119924	0.0132927	0.0134994	0.00942877	0.0108979	0.0105003	0.0104441	0.0099172	0.005579	0.0257583	0.0294379	0.0372702	0.0358987	0.0089274	0.0398024	0.0601896	0.0785145	0.0657106	0.081844	0.0597526	0.102813	0.1468
grande	0.0697807	0.0392279	0.0324262	0.0290611	0.0294817	0.0284484	0.0243043	0.0186063	0.0308828	0.0242285	0.0122063	0.0132776	0.0143476	0.00925736	0.00805734	0.0113676	0.0284291	0.0185084	0.0286192	0.0325568	0.020949	0.0308416	0.0390124	0.0498895	0.0379506	0.054669	0.0397564	0.0632772	0.160579
familiarité	0.0421153	0.026537	0.0237905	0.020879	0.0165458	0.0153268	0.0153315	0.0137762	0.0167839	0.0159324	0.0132442	0.0131212	0.0167429	0.0182607	0.0197574	0.00686598	0.0302701	0.0121857	0.0249332	0.0221647	0.00821884	0.04486	0.0475204	0.0717439	0.0662891	0.0607492	0.0551203	0.121032	0.139902
</S>	0.0718294	0.0514495	0.0485418	0.0334436	0.0299838	0.0280472	0.0292869	0.0240398	0.0509927	0.0348115	0.0233829	0.018419	0.0206204	0.0140135	0.0145932	0.0174974	0.0253627	0.0250289	0.0208723	0.0301043	0.0182892	0.0274587	0.0313117	0.0292721	0.0302984	0.033374	0.0414614	0.0445717	0.131642
