 	b	í	s	í	l	é	s	ó	m	b	i	a	y	a	a	a	y	í	í	ó	d	z	á	n	d	e	</S>
nous	0.275333	0.187176	0.0543277	0.095445	0.0282152	0.0114628	0.0128487	0.0121578	0.0162988	0.0250967	0.0283489	0.0268692	0.0243965	0.0306477	0.0222279	0.0219843	0.0260428	0.0146138	0.0147413	0.00861731	0.00697776	0.00765928	0.00598026	0.00505418	0.00857375	0.0111011	0.0178022
avons	0.0522872	0.0813377	0.0303611	0.0209552	0.0326082	0.0448451	0.0520439	0.0619476	0.0656553	0.0626579	0.0784711	0.0724235	0.073089	0.0524369	0.0376124	0.0310553	0.0354373	0.0261366	0.0196702	0.0154215	0.010453	0.0111843	0.0102067	0.00624945	0.00532699	0.00350262	0.00662411
acheté	0.0379354	0.0581462	0.0597224	0.041928	0.0362278	0.0186289	0.0188662	0.0156498	0.0204927	0.0290524	0.0485978	0.0492047	0.0613419	0.0870374	0.088539	0.0777732	0.0634111	0.0467662	0.0232136	0.018471	0.0107287	0.0120443	0.0155028	0.0133876	0.0113748	0.0236065	0.0123496
les	0.0406958	0.0394633	0.0210517	0.0181158	0.0181569	0.0217932	0.0305764	0.0347338	0.0450378	0.0523157	0.056485	0.0499412	0.066082	0.0513419	0.0478941	0.0327282	0.0302252	0.0355994	0.023901	0.0222152	0.016014	0.0236439	0.0248875	0.0306079	0.035946	0.0545626	0.0759843
feuilles	0.0285132	0.0268666	0.0210794	0.0189593	0.018076	0.0214146	0.0238505	0.0306814	0.0315315	0.037947	0.0527288	0.0429809	0.06591	0.0612377	0.0513757	0.040053	0.0342702	0.0382196	0.03866	0.0328634	0.0320015	0.0357923	0.0375795	0.0347613	0.0417833	0.0421462	0.0587173
de	0.0485721	0.0426297	0.0163284	0.0159261	0.0234682	0.0219395	0.0287048	0.0282762	0.0306208	0.0333082	0.0331975	0.0354917	0.0332182	0.0299826	0.0249666	0.0242127	0.0203226	0.034704	0.0408029	0.0384494	0.0406331	0.0449255	0.0443057	0.0483634	0.057904	0.0507135	0.108032
man-	0.0510622	0.0394975	0.0216074	0.0186177	0.0189028	0.0238307	0.0226129	0.0250172	0.025816	0.0304828	0.0360599	0.0321053	0.0460702	0.0455713	0.0317696	0.0293175	0.0217606	0.0307609	0.0320865	0.0314105	0.0340949	0.0402545	0.0494467	0.0497521	0.0625147	0.0597214	0.0898561
ioc	0.0169729	0.0181563	0.011929	0.0152997	0.0165566	0.0122093	0.0162933	0.0143661	0.0158245	0.019149	0.0200034	0.0240432	0.0254246	0.026843	0.0242461	0.0311163	0.0255394	0.0368361	0.0465719	0.0522444	0.0601301	0.0742824	0.0667423	0.0788764	0.0941754	0.068344	0.0878244
au	0.0435099	0.0396529	0.0287874	0.0240375	0.017449	0.0145251	0.0143627	0.0167908	0.021265	0.0221774	0.0240635	0.0188408	0.0221706	0.016778	0.0168092	0.0168503	0.0162848	0.0201925	0.017086	0.0247308	0.0434422	0.0649121	0.0689786	0.0928182	0.0924254	0.0938394	0.10722
marché	0.0198921	0.0152105	0.0147486	0.0153984	0.0141649	0.0125027	0.0113362	0.0134041	0.0150129	0.0154467	0.017508	0.0147456	0.01732	0.0176671	0.0142071	0.0181876	0.0182595	0.0196313	0.028362	0.0579104	0.0570672	0.0607461	0.0798447	0.103979	0.130188	0.103041	0.0942181
</S>	0.0199893	0.0113456	0.0103	0.0130252	0.00912281	0.00845458	0.00692482	0.00815328	0.0104963	0.0156502	0.0218506	0.018235	0.0224703	0.0337734	0.018082	0.0346052	0.0277617	0.0243015	0.0290015	0.0750345	0.0665422	0.0596018	0.0526706	0.0833926	0.10377	0.0997264	0.115718
