 	á	k	a	n	i	w	á	e	b	o	m	i	m	é	b	é	e	y	é	é	t	έ	n	d	z	ώ	w	a	</S>
on	0.400113	0.21044	0.0993416	0.0249397	0.00691905	0.0045591	0.00519579	0.0120551	0.00814288	0.0120959	0.00485514	0.0147524	0.0130566	0.0144712	0.0172063	0.0160266	0.0150839	0.0151209	0.0144513	0.0138094	0.0133221	0.0107667	0.00901321	0.00951916	0.00717141	0.00897987	0.00650643	0.006824	0.00526094
lui	0.0117903	0.00797514	0.0269199	0.042359	0.075811	0.0789591	0.081238	0.112526	0.042649	0.0687608	0.0240261	0.0397407	0.0758386	0.0814805	0.0565409	0.0392338	0.0191371	0.0149848	0.0185634	0.0126403	0.0160068	0.00691267	0.0124447	0.0076805	0.00652116	0.00411743	0.00439888	0.00406799	0.00667549
a	0.00820914	0.0089996	0.0106739	0.00883388	0.0189326	0.0131092	0.0104209	0.0156053	0.0268869	0.0542725	0.122138	0.0802549	0.0693728	0.0661031	0.0524035	0.0684654	0.0641816	0.0821148	0.0461464	0.0275441	0.0230624	0.0185792	0.0162176	0.0178614	0.0190484	0.0166299	0.0142875	0.00852616	0.0111191
administré	0.00811351	0.0145068	0.0199065	0.0102577	0.0194001	0.0107886	0.00670332	0.0158369	0.0230538	0.0396506	0.0407361	0.0255251	0.0391591	0.0477577	0.0806268	0.153089	0.128881	0.081617	0.0440517	0.0270945	0.0277824	0.0195939	0.0258821	0.0171133	0.0228992	0.00644611	0.0107106	0.0104172	0.0223996
la	0.0187795	0.0135128	0.0366823	0.0171133	0.0280647	0.0214765	0.0189441	0.0186379	0.019963	0.0236189	0.0301249	0.0262866	0.0315433	0.0161379	0.016654	0.0171127	0.0226465	0.0277702	0.0276749	0.0384383	0.047786	0.0692308	0.0720431	0.0669207	0.0598201	0.0389726	0.0335861	0.037464	0.102994
poudre	0.0179891	0.0173182	0.0175642	0.0151616	0.011779	0.0176677	0.0107106	0.024897	0.00841756	0.00784537	0.0106743	0.00941597	0.0165472	0.0104346	0.0159655	0.0121152	0.014016	0.0174061	0.0182171	0.0437567	0.0389645	0.0593281	0.0824168	0.0993245	0.065295	0.0682004	0.0588754	0.0745972	0.135099
noire	0.0157371	0.0119053	0.012715	0.0117301	0.0119221	0.0133878	0.0113611	0.0122769	0.0121876	0.0125407	0.0143351	0.0142948	0.0132612	0.0130028	0.0142037	0.0152458	0.022484	0.0251115	0.0342295	0.0505395	0.0575222	0.0774301	0.0912427	0.0858497	0.0860677	0.0634211	0.0592426	0.0557605	0.0809918
là	0.0308703	0.0289774	0.0253838	0.0333613	0.0346494	0.0224683	0.0198378	0.0179954	0.0114205	0.0151997	0.0143124	0.0188032	0.0156358	0.0165865	0.0184761	0.0198074	0.0279705	0.0335466	0.0418544	0.0502699	0.0455381	0.0415032	0.050481	0.0525323	0.055753	0.0276124	0.0633772	0.0523369	0.113439
où	0.0175672	0.0184942	0.0177397	0.0180785	0.0147	0.0190395	0.015919	0.013488	0.0130191	0.0168519	0.0329162	0.0315687	0.0386567	0.0294541	0.020487	0.0149571	0.0242649	0.0336014	0.0361584	0.0500482	0.0493803	0.0492031	0.0484291	0.0419916	0.059894	0.0384774	0.0644522	0.0662587	0.104904
le	0.0259779	0.0262124	0.0261518	0.0268366	0.0219574	0.0220517	0.0154446	0.0145747	0.0100148	0.0124567	0.0240702	0.0146398	0.0135552	0.016536	0.0136302	0.0130085	0.0177201	0.0197161	0.0269166	0.0353061	0.037724	0.0324124	0.0617813	0.0533636	0.0877249	0.0438669	0.0885045	0.0746719	0.123173
serpent	0.0308722	0.0322767	0.0330329	0.0331184	0.0265088	0.0162596	0.0127467	0.0232651	0.0138774	0.0146957	0.0112521	0.00792139	0.010761	0.0160212	0.0334575	0.0294153	0.0289399	0.01908	0.0347591	0.0208877	0.0242934	0.0199882	0.0521464	0.0449689	0.0621677	0.0233859	0.0837754	0.0689312	0.171194
l'	0.0345231	0.0291256	0.0318737	0.0304849	0.0222852	0.0217476	0.0205597	0.023324	0.0170233	0.0185023	0.0215441	0.0119879	0.0335383	0.0278826	0.0448486	0.0304372	0.028139	0.0318721	0.0410601	0.0333256	0.0364087	0.0319311	0.0435695	0.0401575	0.0400461	0.0300758	0.043123	0.0592454	0.121358
a	0.0204485	0.0170314	0.0224736	0.0222444	0.0214316	0.0146594	0.0120147	0.0160745	0.0125559	0.0140974	0.0183007	0.0126457	0.0167824	0.0286867	0.0405867	0.051486	0.0381219	0.0287915	0.0382508	0.0244934	0.0313685	0.0250871	0.0553582	0.0526503	0.0646825	0.0366432	0.082516	0.0733934	0.107124
mordu	0.0257398	0.0278123	0.0272376	0.0254057	0.0258132	0.0213736	0.0180354	0.019714	0.0156248	0.0180839	0.01702	0.0106372	0.0189006	0.0203336	0.0459902	0.0399383	0.0511947	0.0423231	0.0582498	0.0427164	0.0365045	0.0280005	0.0367433	0.032168	0.0395557	0.0307799	0.0407268	0.0448613	0.138516
</S>	0.0278077	0.0247455	0.024566	0.0235648	0.0225423	0.031197	0.0241604	0.0255642	0.023254	0.0318057	0.0412518	0.0228484	0.0262108	0.0367169	0.0422985	0.030449	0.0403915	0.033476	0.0404183	0.0272193	0.0217527	0.0159459	0.0250405	0.0215349	0.0486983	0.031865	0.0489488	0.0515176	0.134208
