 	i	t	i	a	m	á	n	d	z	ó	r	o	m	á	b	i	a	í	d	í	i	s	i	έ	</S>
le	0.0600028	0.0314471	0.0099877	0.00815128	0.00707944	0.0174075	0.0471039	0.0222316	0.0158409	0.0219894	0.0252126	0.0249714	0.0407092	0.0320406	0.0810279	0.0816506	0.0601727	0.0393236	0.056766	0.0650279	0.0710295	0.0608697	0.04755	0.0377267	0.03468
fait	0.185447	0.253094	0.127079	0.068436	0.0770344	0.0478223	0.0216076	0.0273802	0.0215884	0.00319848	0.0381862	0.0125455	0.00960991	0.00852818	0.00464815	0.00394304	0.0139365	0.00602739	0.0105808	0.0153564	0.0173797	0.014355	0.00554302	0.00283127	0.00384243
de	0.085106	0.0640264	0.0430201	0.0246918	0.0218475	0.0216504	0.0309994	0.0569452	0.105046	0.0449393	0.0312053	0.0365372	0.0330694	0.0322777	0.0392044	0.0523079	0.0340887	0.0347041	0.0365199	0.0540744	0.032434	0.0307219	0.0214769	0.02296	0.0101466
mal	0.0483531	0.079455	0.0620752	0.0260586	0.0204233	0.0170987	0.010439	0.0172523	0.0322971	0.0231297	0.0194807	0.0214562	0.0301665	0.0232612	0.0158433	0.0192882	0.0246429	0.0297584	0.0307109	0.0930999	0.0857968	0.104026	0.0709998	0.0463257	0.0485614
parler	0.0075553	0.00750663	0.0114695	0.0154844	0.018444	0.0207559	0.019656	0.0221741	0.0186843	0.0211508	0.0306302	0.0380538	0.0391012	0.0740162	0.082181	0.065016	0.0621915	0.0512007	0.0345811	0.0536394	0.0465212	0.0432944	0.0429203	0.039724	0.134048
des	0.0123046	0.0170606	0.0295919	0.0394192	0.0396825	0.0292322	0.0250692	0.0325289	0.0336664	0.042562	0.0582664	0.0699962	0.0578025	0.0595247	0.0705517	0.0668045	0.0440154	0.0359454	0.034358	0.04005	0.032572	0.0301274	0.0204632	0.0198648	0.0585402
gens	0.0691234	0.0479411	0.0686538	0.0895615	0.0999087	0.0568355	0.0512973	0.0492065	0.0299546	0.0251963	0.0324587	0.0427122	0.0313036	0.0336616	0.0342426	0.0211514	0.0204619	0.025389	0.0173488	0.0206172	0.0416929	0.0178485	0.0138441	0.0170722	0.0425164
c'	0.100727	0.0842512	0.0709696	0.0674251	0.069626	0.0477617	0.0322809	0.0263954	0.0143903	0.0136919	0.0145144	0.0224671	0.0148696	0.0124003	0.00622303	0.00495211	0.00413588	0.00740854	0.00751887	0.0156873	0.0598137	0.0411236	0.0540808	0.0666124	0.140673
est	0.101535	0.0849648	0.0519838	0.0282637	0.0267161	0.0194959	0.0195667	0.0199844	0.0232349	0.0381063	0.0445653	0.0824359	0.0833949	0.0506655	0.0408338	0.0302915	0.00976186	0.00839302	0.00391882	0.0100751	0.0160714	0.0197411	0.0269715	0.0248974	0.134131
le	0.179655	0.0957055	0.117924	0.0596662	0.0376211	0.0136437	0.00617633	0.00813008	0.0059906	0.00410393	0.00872469	0.0131276	0.0297829	0.0223989	0.012126	0.00912478	0.0139341	0.00643674	0.00887496	0.0250607	0.0442824	0.0489706	0.0444151	0.0510773	0.133047
commérage	0.0810473	0.136481	0.073189	0.0634955	0.0607278	0.0292817	0.0213686	0.0192901	0.0158691	0.024041	0.0400108	0.0328099	0.0373584	0.0209674	0.0117286	0.0107172	0.0089925	0.0108573	0.0101987	0.0105982	0.045609	0.0386822	0.0445193	0.0545199	0.0976399
</S>	0.109894	0.102366	0.130702	0.0823399	0.0582974	0.0342396	0.0200163	0.0199207	0.0116236	0.009011	0.00851633	0.00902075	0.0104227	0.0122046	0.0154365	0.0100577	0.0075076	0.00881057	0.00789252	0.0174142	0.0391711	0.0469108	0.0576343	0.0525168	0.118072
