 	m	w	á	n	a	o	y	ú	r	u	w	ó	a	s	á	a	o	l	ó	m	i	o	d	i	a	k	a	á	</S>
cette	0.00533986	0.00466464	0.0104821	0.00906664	0.00819374	0.0040612	0.0048639	0.0070955	0.0124774	0.0151916	0.0278239	0.02861	0.0250491	0.0337043	0.0751511	0.0490534	0.0483735	0.0263518	0.0402936	0.0526973	0.03436	0.0395306	0.0475787	0.0645517	0.0760301	0.0600739	0.0909505	0.0478434	0.0505367
jeune	0.034708	0.0256537	0.0699052	0.0810686	0.27886	0.271918	0.11913	0.059797	0.00954972	0.00710198	0.00605615	0.00350933	0.00233753	0.000882557	0.00148834	0.00159188	0.00135834	0.000379185	0.0010665	0.00124165	0.00189406	0.00419452	0.00550755	0.00233113	0.00274889	0.00274341	0.00228467	0.000510926	0.000182322
fille	0.0284824	0.0665011	0.0853297	0.0805284	0.114199	0.0747599	0.0454932	0.044851	0.0157617	0.0120616	0.0250391	0.0153596	0.0430482	0.0204934	0.0201626	0.0282401	0.0240587	0.0369867	0.055634	0.0329813	0.0123654	0.0231712	0.016014	0.00843501	0.0207157	0.0134384	0.00936215	0.0103593	0.016167
n'	0.054455	0.0304209	0.032598	0.0332021	0.022818	0.0303522	0.0369568	0.0465029	0.0378952	0.0237223	0.0142522	0.0246209	0.0363941	0.0358299	0.0304261	0.050852	0.0519118	0.0984906	0.0659416	0.0519278	0.0359037	0.00871574	0.0155589	0.00866661	0.0138881	0.0138444	0.0172412	0.0246853	0.0519256
a	0.0532872	0.0307774	0.0250892	0.019815	0.0102082	0.0110711	0.0135746	0.0149042	0.00947686	0.0150719	0.016823	0.0153534	0.0351381	0.0286407	0.0340144	0.0826885	0.0556301	0.164462	0.122807	0.0926344	0.0585111	0.0167462	0.00952544	0.00727723	0.00772761	0.00579949	0.00835692	0.0119512	0.0226376
pas	0.0371003	0.0249171	0.0189896	0.0169078	0.0215307	0.0281319	0.0234183	0.0343062	0.0203199	0.0298577	0.0386679	0.0448609	0.0418179	0.0298469	0.03922	0.0331808	0.0452184	0.0769904	0.0735797	0.126046	0.0381022	0.0241017	0.0309036	0.0210287	0.0173149	0.0145025	0.0171248	0.0105817	0.0214319
encore	0.049263	0.0359536	0.036804	0.0478334	0.0276667	0.015991	0.0138182	0.0138609	0.0113648	0.0100103	0.0200462	0.0142024	0.0250205	0.0176195	0.0273463	0.0309518	0.0275094	0.0517394	0.0556931	0.0771815	0.0644598	0.0443769	0.0437858	0.0359975	0.0388517	0.0360031	0.0353783	0.0451296	0.0461414
trouvé	0.0569333	0.0322921	0.0283778	0.0272576	0.0247488	0.0180114	0.0164678	0.0149406	0.0156255	0.0120028	0.0183246	0.0228255	0.0128807	0.0188952	0.026991	0.0211197	0.0271745	0.0427395	0.0360929	0.0570635	0.0655099	0.0304041	0.047813	0.0324494	0.044595	0.0493119	0.0532136	0.0716281	0.07431
un	0.0893731	0.0590341	0.0831201	0.0966803	0.0536381	0.0246179	0.0211668	0.0120178	0.00807648	0.0166984	0.0297957	0.0235376	0.0353679	0.0200721	0.0255418	0.0361499	0.0471367	0.0586416	0.055266	0.0352796	0.0506546	0.0103761	0.0126885	0.00907659	0.00955773	0.0114202	0.00732972	0.0177342	0.0399504
mari	0.0460963	0.0423459	0.033447	0.0339359	0.0180479	0.016067	0.0142685	0.012804	0.0150453	0.018785	0.0331833	0.0308708	0.0458581	0.0363277	0.0670578	0.0736368	0.0498792	0.086111	0.0819188	0.0321881	0.0504612	0.0134357	0.0129265	0.003762	0.00770322	0.0142506	0.0178781	0.0343914	0.0573171
</S>	0.112088	0.0805755	0.107717	0.144669	0.0964889	0.0381412	0.0322537	0.0112681	0.0126022	0.0107353	0.0114345	0.0109381	0.0207055	0.016921	0.014585	0.0252163	0.0187049	0.0256189	0.0227247	0.0110346	0.013727	0.00444031	0.00796582	0.00406899	0.00859803	0.0133266	0.0154282	0.0326556	0.0753672
