 	e	l	e	e	l	í	y	é	é	l	e	á	w	a	s	á	n	d	é	e	y	é	p	e	n	á	t	á	á	á	m	i	w	á	a	</S>
la	0.0117105	0.0156775	0.0181122	0.0126314	0.014688	0.0138474	0.0163251	0.0160598	0.026413	0.0436798	0.0482125	0.06276	0.0645747	0.0596299	0.0559897	0.0650174	0.0467543	0.0327587	0.0252858	0.0167897	0.0114488	0.0101405	0.0078615	0.00785964	0.00612526	0.00839644	0.00951631	0.0119973	0.0148402	0.040546	0.0373786	0.0259343	0.0432838	0.0462537	0.02893	0.0225704
manière	0.0183106	0.0149908	0.0353586	0.0524458	0.0243121	0.0363176	0.0403133	0.0389592	0.0540527	0.0225955	0.0472033	0.0645952	0.0695299	0.0541372	0.0597123	0.0844323	0.0801251	0.0504432	0.022513	0.0129934	0.00506552	0.00714329	0.00665015	0.00646893	0.00770932	0.00957378	0.0070134	0.0065448	0.00349859	0.00637471	0.00329618	0.0136787	0.0187063	0.011531	0.00197776	0.00142654
dont	0.243864	0.0871497	0.0469578	0.0226674	0.0105597	0.0118042	0.0154397	0.022322	0.0138526	0.0101535	0.0100019	0.0108978	0.0199029	0.0116096	0.0190218	0.0179544	0.04557	0.0482059	0.0322262	0.0228465	0.0117066	0.0146271	0.0091894	0.0221466	0.0313927	0.0275013	0.021123	0.0223907	0.0178257	0.00982905	0.015456	0.0148294	0.0186572	0.00903347	0.0164605	0.0148237
il	0.0330408	0.0366625	0.0343066	0.0388137	0.023601	0.0243518	0.0406548	0.019746	0.0240205	0.0258924	0.0341701	0.0292659	0.029565	0.0306777	0.025475	0.037512	0.0941787	0.056689	0.0415896	0.035887	0.0321596	0.0146638	0.0107483	0.0108721	0.0112669	0.0241667	0.0271581	0.0212156	0.0179301	0.0135849	0.00919401	0.0149544	0.00729634	0.00799138	0.0121901	0.0485074
pleure	0.0419737	0.0327571	0.0313316	0.0372394	0.030636	0.0307495	0.0284272	0.0266198	0.017294	0.0203013	0.0159733	0.0203836	0.0087018	0.0194723	0.0276694	0.0288108	0.0655052	0.0515732	0.0558425	0.0640673	0.0426034	0.031902	0.0208407	0.0322126	0.0402767	0.0335201	0.0186702	0.0176887	0.013176	0.0111313	0.0128586	0.0142533	0.0113304	0.00985499	0.0130406	0.0213117
dans	0.0195411	0.0324541	0.0385734	0.0420302	0.0343382	0.0201578	0.016607	0.0158265	0.0127849	0.019679	0.0233274	0.0301997	0.0113763	0.0204306	0.0260849	0.0281162	0.0283396	0.0397561	0.0578891	0.0352996	0.0252568	0.0221589	0.020355	0.0309761	0.0455594	0.0395036	0.032605	0.0294868	0.0117648	0.0258117	0.0223772	0.0165488	0.0117032	0.0158416	0.0219894	0.0752496
la	0.0202013	0.0297255	0.0336803	0.0385123	0.0372102	0.0369973	0.0357469	0.0350271	0.036601	0.0638173	0.0665761	0.0512434	0.0192792	0.0270338	0.0154108	0.0210329	0.00959989	0.0126004	0.0232585	0.0204918	0.0205844	0.0199967	0.0226642	0.0222169	0.0177717	0.0209592	0.0317	0.0252052	0.0105276	0.0164985	0.0146497	0.00786318	0.00939096	0.0168237	0.0163287	0.0927733
maison	0.0371278	0.0436329	0.0461504	0.0453996	0.0270361	0.0115541	0.0121932	0.00952507	0.0140141	0.0227872	0.0308716	0.0305112	0.0214531	0.0182642	0.0121695	0.0190973	0.00855992	0.0168295	0.0236776	0.0207415	0.0233936	0.0274187	0.0307941	0.0193683	0.0128691	0.0226147	0.0395891	0.0289282	0.0112659	0.0154045	0.0114151	0.0157228	0.0159629	0.0305749	0.0346849	0.188397
il	0.0318561	0.0371726	0.0371885	0.0430901	0.0586621	0.0635229	0.0546392	0.0442737	0.0417088	0.0404546	0.0239708	0.0159098	0.0107861	0.0075562	0.0064413	0.0143588	0.0111224	0.0223726	0.0262578	0.0207894	0.0410016	0.0213015	0.0352018	0.0288606	0.0182995	0.0243797	0.0224478	0.0112343	0.00578664	0.00552061	0.00336756	0.006508	0.0111898	0.0194573	0.0271236	0.106186
se	0.0617811	0.0419362	0.0336133	0.024845	0.0171906	0.0116805	0.0124997	0.0119879	0.0105629	0.00975827	0.0063132	0.00457768	0.00416347	0.00365441	0.0032782	0.00520873	0.00648203	0.00851406	0.0198377	0.0248475	0.0432838	0.0389664	0.047465	0.0476797	0.0221061	0.0272222	0.0385252	0.0266557	0.0273905	0.0271619	0.020041	0.0306226	0.0389086	0.045541	0.0754047	0.120293
