 	n	ω	o	d	í	l	a	p	á	m	i	é	d	í	n	ω	t	ó	o	b	h	ó	o	m	ó	n	d	i	e	m	á	p	y	é	b	h	i	</S>
tu	0.00919408	0.00847628	0.0176542	0.0333099	0.0416797	0.0572278	0.0572554	0.045003	0.0427058	0.0294314	0.0323973	0.0309853	0.0398891	0.0593087	0.0337926	0.0308742	0.0180181	0.0146864	0.00845152	0.00916146	0.00821033	0.0087345	0.0142401	0.0146171	0.0163092	0.0262849	0.0263043	0.0284009	0.0235676	0.0224261	0.0310445	0.028659	0.0241931	0.0225757	0.0214427	0.0221585	0.0239085	0.0174207
es	0.0641243	0.0433541	0.0361373	0.0127858	0.00704602	0.0074039	0.00905481	0.046686	0.0772569	0.0572503	0.0713847	0.0591689	0.0599448	0.071626	0.0555563	0.0371243	0.0264191	0.0285805	0.0283764	0.0273055	0.02219	0.0207917	0.0178164	0.014459	0.0137207	0.00800915	0.0092521	0.00526313	0.00447205	0.0059729	0.00674013	0.00668483	0.00661063	0.0116789	0.00436763	0.00418673	0.00344443	0.00775354
résistant	0.0880213	0.0892964	0.0779269	0.0456749	0.0295458	0.0173468	0.032813	0.0341762	0.0366122	0.0530737	0.0589127	0.053433	0.055176	0.0414918	0.024445	0.030872	0.0167311	0.0128146	0.00841164	0.0146647	0.0120023	0.0142131	0.0144615	0.0112646	0.00655071	0.00784498	0.00806665	0.0105304	0.00699376	0.0049155	0.00774732	0.0152498	0.0118873	0.0163182	0.0142759	0.00852589	0.00514325	0.00256915
car	0.0130489	0.0204174	0.0174809	0.0149232	0.0085823	0.00514697	0.00539049	0.0100409	0.00769846	0.0122131	0.0086758	0.00664327	0.00554612	0.00561069	0.00968395	0.0243212	0.0764992	0.11483	0.0900061	0.0567908	0.0544256	0.0551201	0.0582042	0.0444735	0.041138	0.0312619	0.0499189	0.0530242	0.0156479	0.013792	0.0121977	0.00713728	0.00719766	0.0054154	0.00637008	0.00645419	0.00825691	0.0164146
tu	0.0100737	0.0184828	0.0236623	0.0256128	0.0367199	0.0421467	0.0515179	0.0432116	0.0429727	0.0501022	0.0540367	0.0341028	0.0451707	0.0721074	0.0209091	0.0142719	0.0150728	0.0197726	0.01723	0.01695	0.0194546	0.0195679	0.0151618	0.0132667	0.0112403	0.0137944	0.0183605	0.024073	0.0143607	0.00912113	0.0109926	0.0178909	0.0203759	0.0166387	0.0312104	0.0294236	0.030357	0.0305833
restes	0.0255646	0.0289351	0.0254433	0.026032	0.0270839	0.024745	0.0260601	0.0266098	0.0234425	0.0240149	0.0226181	0.0286962	0.0303847	0.0382111	0.0236164	0.0244273	0.0240635	0.0194689	0.0219824	0.0280427	0.0273274	0.0277041	0.0261712	0.0271986	0.0269467	0.0222244	0.0208328	0.0300341	0.0149029	0.0164937	0.0168619	0.0234612	0.0234765	0.0223019	0.0377197	0.0430153	0.044046	0.0298394
torse	0.0496272	0.0281878	0.0209861	0.0111664	0.00909329	0.00839817	0.0106835	0.0220879	0.0217145	0.0110546	0.0124445	0.0171625	0.0166218	0.0171733	0.0159272	0.018984	0.0233861	0.0280605	0.0237178	0.0185096	0.0303782	0.0306712	0.0283946	0.0323322	0.0326802	0.0202862	0.0196688	0.0301146	0.0250407	0.0179457	0.0161184	0.0212922	0.0214434	0.0432529	0.0339698	0.0615061	0.0658274	0.0840906
nu	0.0304831	0.021188	0.02107	0.0251498	0.0276226	0.0306322	0.0361948	0.0365038	0.0269085	0.0139129	0.0140184	0.0166877	0.0160054	0.0191406	0.0242016	0.0225261	0.0233907	0.0169209	0.0191192	0.0201207	0.0220177	0.0198931	0.0184998	0.0214193	0.0147505	0.00789511	0.00972246	0.0100273	0.00981454	0.00622406	0.0116149	0.0213467	0.0219512	0.0408057	0.0445854	0.078473	0.0651288	0.114033
quand	0.0392798	0.0266371	0.0250802	0.0141486	0.00793128	0.00628205	0.0106252	0.0204512	0.0156506	0.00745943	0.00704796	0.00728604	0.00578209	0.00739034	0.0101359	0.0121725	0.0141539	0.0145274	0.0175244	0.0149606	0.0263089	0.0287278	0.0353412	0.0374479	0.0392395	0.0207577	0.0227175	0.0239252	0.0167756	0.00857935	0.0152425	0.0204883	0.0204807	0.0479218	0.0362706	0.077308	0.0580844	0.179856
il	0.0804238	0.0539394	0.0447857	0.0237684	0.0145436	0.00781516	0.00728743	0.00926995	0.00704204	0.00635439	0.00561216	0.00475105	0.00488109	0.00597036	0.00724212	0.0110253	0.0136229	0.0200543	0.0237918	0.0219734	0.026849	0.0195525	0.0190619	0.0216615	0.0201413	0.0229619	0.0157026	0.016249	0.0129459	0.0163574	0.0137818	0.0226538	0.0250408	0.0363265	0.0570821	0.0683612	0.0762515	0.134865
fait	0.119233	0.0549207	0.0285815	0.00857967	0.00638063	0.00328391	0.00292359	0.0031554	0.00245109	0.00207083	0.00216109	0.00312593	0.00336387	0.00392725	0.0066505	0.0156051	0.0217795	0.0421309	0.0362217	0.0261705	0.0405359	0.029234	0.0307856	0.0396654	0.0322989	0.0170677	0.0158532	0.0176153	0.0134719	0.0119333	0.0119533	0.0167435	0.0162591	0.0324957	0.0346954	0.0591661	0.0693183	0.118191
frais	0.181696	0.0871101	0.0353202	0.00844208	0.00624476	0.00329381	0.00291796	0.00297774	0.00227493	0.00202812	0.00272919	0.00369942	0.00427423	0.0048016	0.00757634	0.0134208	0.0184638	0.0382354	0.031583	0.0219401	0.0343522	0.0282065	0.0327034	0.0375195	0.0394222	0.0176197	0.0162594	0.018881	0.0168701	0.0130822	0.0127151	0.0170612	0.016776	0.028607	0.0263291	0.0422535	0.0474362	0.0748756
</S>	0.0797274	0.0417266	0.0311476	0.0194111	0.014381	0.0131106	0.0142088	0.0124368	0.0102304	0.0103095	0.00867811	0.0114855	0.0113957	0.0113631	0.00804647	0.0107269	0.0135995	0.0258092	0.0316695	0.0315609	0.0344537	0.0337171	0.0367334	0.0390643	0.0406136	0.0432135	0.0393841	0.0411943	0.032717	0.0356658	0.0297254	0.0216332	0.0198321	0.0178901	0.0217238	0.0193597	0.0212871	0.0607669
