 	m	b	ó	s	i	y	i	y	a	m	b	a	l	á	a	b	v	ú	ε	a	d	í	o	k	ó	r	á	k	o	r	a	</S>
le	0.0103739	0.0141386	0.0131881	0.0110842	0.0109768	0.0125622	0.0142533	0.0189221	0.0199363	0.0352919	0.0433229	0.0523014	0.0622205	0.0457762	0.0529392	0.0337039	0.0254492	0.0272927	0.0287432	0.0308363	0.0294427	0.036405	0.0366441	0.0365012	0.0454842	0.0389456	0.0471063	0.0494519	0.0384474	0.028781	0.0293917	0.0200858
cabri	0.0218294	0.0373388	0.0783999	0.155448	0.10496	0.104572	0.0574933	0.0458876	0.0276432	0.0270961	0.0218539	0.0167111	0.00760005	0.00606577	0.00436358	0.0128065	0.00639524	0.0169482	0.0101309	0.0246133	0.0275654	0.0142873	0.0239551	0.0337246	0.0325372	0.0219928	0.0113201	0.00986914	0.0161924	0.0138923	0.00391141	0.00259621
qui	0.0978835	0.0423491	0.0204038	0.00776637	0.0057332	0.00420001	0.00347506	0.00573551	0.0107411	0.011429	0.0220201	0.0172324	0.013535	0.0115607	0.00684593	0.020119	0.0121404	0.0498933	0.0744041	0.0566256	0.0480624	0.138623	0.0594261	0.0830362	0.0510842	0.0380968	0.0214001	0.0190367	0.0229918	0.0100775	0.00861673	0.00545554
sera	0.028322	0.0209034	0.0281268	0.0383962	0.0322677	0.0247126	0.0225029	0.0214027	0.0236299	0.0439898	0.0235712	0.0197863	0.0253552	0.025736	0.0175785	0.0347977	0.064973	0.0502933	0.0588424	0.0614377	0.0429393	0.0303587	0.0179809	0.0103186	0.0156966	0.0183909	0.0312588	0.0211441	0.0247358	0.0236131	0.0337111	0.0632266
offert	0.0718507	0.0391227	0.0326365	0.0282759	0.0231402	0.0214295	0.0149939	0.0112329	0.010122	0.00974109	0.0117816	0.0132427	0.0135288	0.0152015	0.0201279	0.0289493	0.0367282	0.0363642	0.0362507	0.0368525	0.0358123	0.0297705	0.0350222	0.0418263	0.0460545	0.0408955	0.044473	0.0360242	0.0455379	0.040274	0.0371825	0.055554
aux	0.0337576	0.0320683	0.0314489	0.03608	0.0369317	0.0403901	0.0389577	0.0315282	0.0310344	0.0232719	0.0303874	0.0426001	0.0344892	0.0308741	0.0204107	0.0316941	0.038615	0.0277134	0.0263452	0.0267983	0.0297655	0.0183318	0.024552	0.0252225	0.0227682	0.0250211	0.0206236	0.0210245	0.0244758	0.0339019	0.0391934	0.0697235
beaux-parents	0.0411928	0.0307261	0.0303965	0.0368865	0.0425602	0.053772	0.0591945	0.0614199	0.04846	0.0370711	0.0261752	0.0180434	0.0108322	0.00702498	0.0102004	0.00832218	0.00670248	0.00731926	0.00684218	0.0130315	0.0165416	0.0111271	0.0349969	0.0294706	0.0502711	0.0379957	0.0302329	0.0346021	0.0609041	0.0390279	0.0378229	0.0608336
est	0.0429402	0.0341171	0.0329861	0.0364581	0.0358118	0.0323916	0.0337703	0.0307885	0.0341382	0.0294976	0.0345444	0.0509571	0.0401166	0.0401967	0.0292594	0.0313206	0.0432531	0.0242826	0.0276856	0.0322014	0.0211793	0.0145845	0.0173842	0.0131973	0.0133436	0.0144691	0.0191956	0.0232294	0.018388	0.0377014	0.0460484	0.064562
attaché	0.187098	0.0921035	0.0587085	0.0416395	0.0232007	0.0115221	0.00705723	0.00488414	0.00336446	0.00286585	0.00223811	0.00232797	0.00395179	0.00856295	0.0107857	0.022762	0.0351258	0.0324501	0.0312815	0.035134	0.0264301	0.0167602	0.0191428	0.0110952	0.0125626	0.0153037	0.0193485	0.0242825	0.0246019	0.0282422	0.0479579	0.137209
</S>	0.0590855	0.0297669	0.0239932	0.0234591	0.0221298	0.0168471	0.0152135	0.0115175	0.0102676	0.00739821	0.0087289	0.0112425	0.0150541	0.0258448	0.0316048	0.0373613	0.0839612	0.053388	0.0604047	0.0561729	0.0307725	0.0176056	0.0261485	0.0176972	0.0160679	0.0164181	0.0211714	0.0262843	0.0249019	0.0389038	0.0542653	0.106322
