 	o	l	ώ	b	h	i	a	d	í	d	z	a	a	m	í	b	y	e	n	g	í	l	á	b	v	á	r	e	</S>
le	0.00882804	0.0135151	0.0127452	0.0135842	0.0113566	0.00891059	0.0107606	0.0158067	0.0205184	0.0289466	0.0368854	0.0632663	0.063961	0.057191	0.0451813	0.053527	0.0468313	0.042096	0.044519	0.0556088	0.0532361	0.0566721	0.0339273	0.0402185	0.0287676	0.0282047	0.028183	0.0296253	0.0471265
pêcheur	0.0417961	0.0200175	0.0210215	0.021932	0.0345616	0.0212068	0.0375025	0.057741	0.136967	0.12801	0.127102	0.0755976	0.11898	0.0818097	0.0281353	0.0135235	0.00287827	0.00264081	0.00387859	0.00227072	0.00211387	0.00215656	0.00437959	0.00431692	0.00382813	0.00254143	0.001379	0.000867798	0.000843666
s'	0.0278708	0.0182655	0.0183233	0.02865	0.0405667	0.0450567	0.042885	0.0222268	0.0151871	0.0188576	0.00951795	0.0130309	0.0168706	0.0240409	0.0230401	0.0289339	0.0239493	0.0464714	0.0601099	0.0754353	0.149194	0.0803697	0.0783728	0.0307308	0.0225342	0.015368	0.00671785	0.00625145	0.0111713
est	0.0423932	0.0645617	0.0873628	0.122908	0.129161	0.0662247	0.0484308	0.0328965	0.0361948	0.0206134	0.0213727	0.0290495	0.0262526	0.0252671	0.0229584	0.0312798	0.0253298	0.0225261	0.0233602	0.0223848	0.0177011	0.023387	0.0129568	0.0102885	0.00773047	0.00698916	0.00400056	0.0043309	0.0120871
assis	0.0283794	0.0109597	0.00978757	0.0112547	0.018708	0.0262705	0.0486229	0.0601602	0.0671623	0.06597	0.0570807	0.0565918	0.0781379	0.0931211	0.0736979	0.0393632	0.0223104	0.0166565	0.0137575	0.00917996	0.0142638	0.0175471	0.0225686	0.03421	0.0269944	0.0207281	0.0164196	0.0164506	0.0236454
sur	0.0325092	0.0463024	0.0377272	0.0382736	0.0378745	0.0353173	0.0440397	0.0583518	0.0632699	0.0673398	0.051766	0.0483734	0.0462734	0.0539397	0.0290233	0.0274443	0.0233248	0.0180832	0.0247751	0.0119447	0.010573	0.00965086	0.0169015	0.017485	0.0253541	0.0215107	0.0218954	0.0263273	0.0543488
le	0.0438033	0.041086	0.0306024	0.0299857	0.0317713	0.0347988	0.0475959	0.0475945	0.0638092	0.050622	0.0375294	0.0347473	0.0389866	0.0478281	0.0265545	0.0203105	0.0194314	0.0178311	0.027609	0.022754	0.0304524	0.031448	0.0362914	0.0343732	0.0283948	0.0261618	0.0198742	0.0240393	0.0537139
bout	0.0364478	0.0333388	0.0255145	0.0239556	0.0135942	0.0121892	0.00761786	0.0131532	0.0129446	0.0104644	0.0120935	0.0117562	0.0140622	0.0310351	0.0412914	0.0192868	0.0139764	0.0108709	0.00603007	0.00879412	0.0501426	0.0310294	0.0385622	0.0663827	0.092664	0.0436668	0.0741152	0.102606	0.142415
de	0.0621699	0.0389888	0.0307589	0.0290418	0.0226783	0.0221672	0.0179624	0.0175655	0.0154439	0.0134255	0.0170247	0.0217363	0.0300164	0.0480852	0.0469082	0.0394285	0.0301599	0.0259268	0.0396091	0.0215139	0.0130843	0.0130929	0.0173295	0.0232426	0.0443506	0.0402129	0.0427699	0.0573139	0.157992
la	0.0421209	0.0290392	0.0214285	0.0153622	0.0106541	0.00789211	0.0071444	0.00571569	0.00736135	0.00606343	0.0047881	0.00530488	0.00488316	0.00714369	0.00989269	0.0184277	0.0209312	0.0226876	0.0593284	0.0392901	0.0401191	0.0447889	0.0455638	0.0589732	0.0883336	0.0829641	0.0844782	0.100803	0.108516
pirogue	0.0207523	0.0139145	0.014538	0.0124472	0.010477	0.0057933	0.00348644	0.00266312	0.0034576	0.00267488	0.00320705	0.00512569	0.00498645	0.00551228	0.0127726	0.0149355	0.0212104	0.0165935	0.0166199	0.024852	0.0340704	0.0358078	0.0377804	0.0607245	0.0966942	0.0880314	0.120607	0.158149	0.152116
</S>	0.0539356	0.0388158	0.0368597	0.0249917	0.0130294	0.00471778	0.00266086	0.00181095	0.00266133	0.00244577	0.00427931	0.00828745	0.00886265	0.00678572	0.0160164	0.0215573	0.0278402	0.0335571	0.050367	0.0370527	0.0359085	0.0354939	0.0355202	0.039139	0.0670227	0.0649305	0.0572549	0.107007	0.161189
