 	w	a	a	d	í	n	d	ε	l	i	k	a	á	y	é	e	t	ω	ώ	l	a	o	d	í	n	g	á	</S>
il	0.176653	0.441524	0.188778	0.0735429	0.0230091	0.0123959	0.00699186	0.00373244	0.00394012	0.0035677	0.00692297	0.00762493	0.00647302	0.00754156	0.0058055	0.00331517	0.002737	0.00265787	0.00250297	0.00227432	0.00233801	0.0024877	0.00222419	0.00247249	0.00246756	0.00252515	0.00247437	0.00102024
a	0.0193921	0.0238938	0.0438435	0.0990739	0.21755	0.0879422	0.0551636	0.0715493	0.0979937	0.0533591	0.0374524	0.0392609	0.0278096	0.017478	0.0166385	0.0177209	0.0153906	0.0120686	0.00602198	0.00353106	0.00345349	0.00290002	0.00478373	0.00376024	0.00341504	0.00435814	0.00571624	0.00847942
une	0.0213713	0.0326503	0.0407654	0.0524626	0.0635866	0.0759743	0.0721625	0.105344	0.0986561	0.0511493	0.0249165	0.0147473	0.0264626	0.0160747	0.0180115	0.0169688	0.026815	0.0157734	0.0195005	0.0218952	0.0182853	0.0211718	0.0354254	0.0229241	0.0229056	0.0247116	0.0243313	0.0149569
barbe	0.0127699	0.0121993	0.00956744	0.0136026	0.0236565	0.0287252	0.0295691	0.0342263	0.0249699	0.0295852	0.0331483	0.0599489	0.0528182	0.0446983	0.0663712	0.0431662	0.0538603	0.0734273	0.0593572	0.0523079	0.0371569	0.0352398	0.055643	0.0219052	0.0210885	0.0214596	0.0228076	0.0267241
rare	0.00683149	0.00708985	0.00791982	0.00676379	0.00651128	0.0078816	0.00930641	0.0147303	0.0196298	0.0214876	0.0204235	0.0285152	0.0315437	0.0605031	0.0729154	0.11895	0.05789	0.0664284	0.0495546	0.0415819	0.0285157	0.0412912	0.0387102	0.0428436	0.0502357	0.0289904	0.0511989	0.0617562
elle	0.0506404	0.0441101	0.0323635	0.0209287	0.0264451	0.0499579	0.0304644	0.0333838	0.0286903	0.0152061	0.0147322	0.0153055	0.0153363	0.0228269	0.0207364	0.0316733	0.0318051	0.047734	0.0470183	0.0478976	0.0422894	0.0437979	0.0430338	0.0440468	0.0463393	0.0490458	0.0467508	0.0574404
ne	0.0391719	0.0378659	0.06272	0.0598194	0.0400679	0.0287712	0.0163385	0.0174202	0.0131571	0.00736605	0.00623022	0.00877652	0.0135211	0.029133	0.0204778	0.0257676	0.0201927	0.0323925	0.0368619	0.0406379	0.0431522	0.0455764	0.0516747	0.0508681	0.0628339	0.0439866	0.0709146	0.0743039
pousse	0.0222258	0.0238527	0.0222818	0.02411	0.0224398	0.0207038	0.0172391	0.0180846	0.0152863	0.0103935	0.00906584	0.0188004	0.0307265	0.0349713	0.0297589	0.0270072	0.0255799	0.0332817	0.0407731	0.0536282	0.0587727	0.0512116	0.0613174	0.0635609	0.0466844	0.0679073	0.0716294	0.0787061
pas	0.0191762	0.0233855	0.0207187	0.020404	0.0235109	0.0223408	0.022717	0.0169887	0.0129612	0.00870678	0.00709615	0.0208805	0.0293902	0.0654606	0.0543241	0.0481881	0.0234782	0.0289777	0.0275405	0.0252133	0.0288762	0.0360909	0.0626193	0.0574151	0.0516796	0.0776009	0.0780158	0.0862429
vite	0.0246231	0.0239781	0.0282617	0.0270578	0.0262093	0.0253126	0.0244832	0.0249188	0.0232516	0.0160859	0.0128152	0.0242067	0.0294316	0.0463631	0.028022	0.021082	0.0229355	0.0255487	0.0305018	0.0341967	0.0383619	0.0416588	0.0421738	0.0491881	0.0495897	0.079912	0.0851661	0.094664
</S>	0.0254307	0.0196502	0.0286308	0.0269504	0.0201783	0.0162353	0.0138004	0.0148351	0.0129615	0.00947882	0.00869711	0.0172377	0.0263326	0.0566674	0.0362531	0.0316018	0.0269024	0.0351486	0.0448134	0.0630095	0.0615018	0.0454818	0.0605626	0.0534914	0.055694	0.0522916	0.0559461	0.0802156
