 	i	b	a	a	d	í	b	ó	l	í	i	b	h	ε	n	g	έ	n	d	ε	l	i	</S>
cet	0.00755691	0.00893546	0.00603793	0.00576356	0.00801929	0.0196051	0.0774654	0.117998	0.119072	0.0843216	0.0673462	0.0741339	0.0653434	0.0668638	0.0505912	0.0549038	0.0472595	0.0303948	0.0289543	0.015422	0.0188984	0.0113367	0.0137773
homme	0.0878053	0.377382	0.293465	0.147602	0.0386926	0.0146641	0.00711497	0.00783005	0.00573606	0.0062076	0.00358351	0.0019728	0.00169935	0.00104556	0.000428364	0.000507021	0.000513769	0.000537046	0.000538384	0.000711139	0.000553461	0.000605019	0.000805067
est	0.0618568	0.0763906	0.0682486	0.0446344	0.0580752	0.0576294	0.0295873	0.051559	0.0433626	0.109834	0.0507026	0.0883397	0.0632675	0.037401	0.0565747	0.0193985	0.0133711	0.012536	0.00989383	0.0170083	0.00949087	0.0119096	0.00892866
en	0.0184488	0.0559289	0.0578125	0.0594521	0.0386249	0.048546	0.0230998	0.0134201	0.0192769	0.0195329	0.0118165	0.0150335	0.0315107	0.0591029	0.0765714	0.091861	0.109094	0.0931839	0.0651144	0.0369166	0.0141266	0.0196874	0.0218382
train	0.0687166	0.038776	0.0264923	0.0148273	0.00980519	0.0169757	0.0253665	0.0251952	0.032213	0.0420121	0.0446733	0.0476887	0.0561382	0.0572466	0.0600293	0.0565763	0.0550283	0.0497929	0.0493808	0.0623083	0.0560303	0.0518062	0.0529211
de	0.0348153	0.04102	0.0404639	0.0220849	0.0220981	0.0151653	0.0115257	0.0288315	0.0133874	0.0150705	0.0220144	0.0121737	0.0128477	0.0144708	0.0180526	0.0102134	0.00873967	0.00992498	0.0154262	0.0289519	0.0524445	0.14658	0.403698
se	0.0673018	0.0680596	0.0625059	0.0569419	0.0487968	0.0460985	0.0412758	0.0418303	0.0662948	0.0418921	0.0312647	0.0247915	0.0249738	0.0315272	0.039956	0.0340728	0.0419682	0.0358455	0.0251119	0.0312086	0.0249602	0.0299384	0.0833839
raser	0.0338539	0.0335441	0.0488626	0.0526525	0.0313598	0.0134428	0.00746515	0.00729351	0.0154545	0.0181487	0.00982793	0.0145917	0.0174638	0.032079	0.0232917	0.0339106	0.0544329	0.0770598	0.0709719	0.0806973	0.080802	0.0996975	0.143096
la	0.16128	0.103717	0.118125	0.0452697	0.0247141	0.00900468	0.005529	0.00345656	0.00735491	0.0100678	0.0050417	0.00491975	0.00835314	0.0230646	0.0120065	0.0173745	0.023786	0.0395826	0.0382148	0.0562765	0.0690145	0.0801695	0.133677
barbe	0.117682	0.0804315	0.138588	0.101382	0.0447375	0.0169637	0.0113268	0.00558024	0.0151592	0.0118536	0.00723062	0.00404973	0.00452957	0.00681116	0.00309567	0.00462529	0.00593914	0.0105571	0.0121864	0.0175906	0.0413532	0.0645633	0.273764
</S>	0.172078	0.0724364	0.0510465	0.0271051	0.015436	0.00681757	0.00364311	0.00302727	0.00217832	0.00284225	0.00236306	0.00175485	0.00298197	0.00823259	0.0139663	0.0167049	0.0241248	0.0299856	0.0341001	0.0443429	0.0783866	0.108934	0.277512
