 	o	b	i	a	y	a	n	g	á	l	á	a	l	a	a	s	á	n	g	á	i	t	ó	n	g	a	l	ó	b	h	í	á	</S>
mon	0.00495564	0.00606871	0.00524135	0.00444586	0.00389916	0.00387235	0.00396548	0.0038414	0.00374709	0.00666239	0.0221206	0.0135495	0.0225748	0.0319476	0.0194182	0.0245411	0.0232731	0.0476706	0.0355013	0.0287986	0.0321773	0.0383258	0.0374022	0.0482308	0.0440065	0.0787886	0.0674129	0.0404488	0.068345	0.073391	0.0743697	0.0547739	0.0262326
ami	0.0224797	0.0259056	0.041486	0.112309	0.0739612	0.0754605	0.0239818	0.0255458	0.0399601	0.0605212	0.0508435	0.0733168	0.0277633	0.0310313	0.0336893	0.0243556	0.0222415	0.019993	0.0103016	0.0137326	0.017145	0.040977	0.0156494	0.0102311	0.00617235	0.0327988	0.00821001	0.0238935	0.005692	0.00658155	0.00835964	0.00909771	0.00631263
m'	0.0372057	0.0178211	0.016779	0.0126202	0.00826514	0.0268453	0.0249756	0.0555593	0.0790663	0.0545179	0.0338879	0.071718	0.0300852	0.0448696	0.0755637	0.0577705	0.0497589	0.0421601	0.0214971	0.0241082	0.035166	0.0243608	0.0174513	0.0187186	0.0142263	0.0178786	0.0167992	0.00751755	0.0186998	0.00927042	0.0175416	0.00745428	0.00984073
apprend	0.0214885	0.0456113	0.0478185	0.0454461	0.0267076	0.0436279	0.0338725	0.0335601	0.0183008	0.018297	0.0249564	0.0290513	0.0436177	0.0319163	0.0779161	0.0340682	0.0500753	0.0278394	0.0333671	0.0313201	0.0162633	0.0160808	0.0201084	0.0186573	0.0310003	0.0101637	0.0204845	0.0179893	0.0264443	0.0236724	0.0153376	0.0220685	0.0428713
à	0.0294515	0.0153236	0.0170321	0.0125869	0.0149065	0.0173873	0.0273049	0.0296883	0.030528	0.0329633	0.0297567	0.0401718	0.0391041	0.0353811	0.0548016	0.0485634	0.0641211	0.0374228	0.0526801	0.0623534	0.0244651	0.0301464	0.0263314	0.0214049	0.0173933	0.0207263	0.0127891	0.015118	0.0170798	0.0227542	0.025052	0.0362071	0.039004
tisser	0.0399298	0.0237295	0.0269464	0.027576	0.0325559	0.0285861	0.0293756	0.0197504	0.0222988	0.0311456	0.0301455	0.0271913	0.0347521	0.0275275	0.0558703	0.0265923	0.0404962	0.0311664	0.0393506	0.0489803	0.0307276	0.0295676	0.0275204	0.0221671	0.0200195	0.0180522	0.019718	0.0205045	0.0287761	0.0248822	0.034758	0.0378351	0.0415047
la	0.0547637	0.0249568	0.0183301	0.0287318	0.0379272	0.0421062	0.0443854	0.0312981	0.0312878	0.040287	0.0292731	0.0312102	0.0219421	0.0195104	0.0246431	0.0130549	0.0168824	0.0120244	0.0167864	0.0212355	0.0215564	0.0221692	0.0173905	0.0163684	0.0182247	0.0178453	0.024406	0.0337688	0.0372489	0.0247589	0.0413265	0.0584302	0.105869
nasse	0.0222863	0.0207219	0.0229756	0.02262	0.0289634	0.0226665	0.0255714	0.0178785	0.0200133	0.0271883	0.0351033	0.0324405	0.0452602	0.0199314	0.0570965	0.029322	0.0332884	0.023388	0.0158739	0.0184819	0.0193772	0.024376	0.0130239	0.0158254	0.00945592	0.00704439	0.0275224	0.0141553	0.0376754	0.0183093	0.0471793	0.0565391	0.168445
=	0.0686251	0.0953077	0.123088	0.11083	0.0938383	0.0500155	0.0406303	0.0244324	0.010394	0.0116524	0.00896264	0.00876507	0.00999762	0.012605	0.00650255	0.00721551	0.0088535	0.00784257	0.0108946	0.0083558	0.00477028	0.00787431	0.00678384	0.00948222	0.0104764	0.0122379	0.00967111	0.0203226	0.0133422	0.0149521	0.019836	0.037836	0.113606
-yésaa	0.0569133	0.0328248	0.0314185	0.0241249	0.0120386	0.0147188	0.01299	0.0187295	0.0172459	0.0182264	0.0155491	0.0286317	0.0167358	0.0189196	0.0171892	0.014963	0.0152102	0.0153967	0.0225961	0.0200536	0.0127339	0.0221441	0.0261673	0.0334692	0.030955	0.0435638	0.0424974	0.0495763	0.0648905	0.0483326	0.0713944	0.0538554	0.0759445
</S>	0.0857962	0.0803854	0.0735973	0.043678	0.0375506	0.0296256	0.0274564	0.0214816	0.0102154	0.0113792	0.00649968	0.0133448	0.00905246	0.00692439	0.0100372	0.00764502	0.00939274	0.00877598	0.0219661	0.0168804	0.0131988	0.015517	0.0142614	0.0166038	0.0324929	0.0222984	0.0254274	0.0447788	0.0425623	0.0598345	0.0359389	0.0566504	0.088751
