 	m	w	á	n	a	y	o	n	d	o	n	g	o	a	d	í	l	i	t	ú	b	h	ú	l	á	t	s	í	n	a	w	a	á	y	í	b	h	i	i	k	á	t	í	</S>
l'	0.00540053	0.0162548	0.0225364	0.0141638	0.00789867	0.00646796	0.00753454	0.0107576	0.0160109	0.0169411	0.0227357	0.0418647	0.0522076	0.084218	0.0941514	0.0919484	0.0413721	0.0305078	0.0198601	0.0191581	0.0158863	0.0173797	0.0144504	0.011273	0.0101041	0.0065637	0.00631624	0.00753356	0.00734484	0.00759178	0.0101682	0.00673448	0.0150877	0.0118696	0.0160796	0.0146413	0.0241286	0.025539	0.0201423	0.0278273	0.030416	0.0275355	0.0231468	0.0202498
enfant	0.0349418	0.0933826	0.0610571	0.0333954	0.116002	0.122976	0.113108	0.11371	0.0696075	0.0359297	0.0160032	0.00605791	0.0133883	0.00382552	0.00527652	0.00301505	0.00339871	0.00549338	0.00711995	0.00546544	0.00278263	0.00397805	0.0039179	0.00288559	0.00658618	0.00646136	0.00315516	0.00338937	0.00243409	0.00177652	0.00103952	0.00129569	0.00258519	0.00162367	0.0116605	0.0176728	0.0131056	0.0134505	0.0189576	0.00797311	0.00408126	0.00285908	0.00234891	0.000825913
d'	0.043172	0.0331379	0.0273473	0.0159809	0.0183582	0.0106712	0.008714	0.00702694	0.00966741	0.00897569	0.0155715	0.0323235	0.0369139	0.043752	0.0347249	0.0324826	0.0448882	0.0430193	0.0395071	0.0186243	0.0149673	0.0183668	0.0157704	0.0118156	0.0188572	0.0112442	0.0182689	0.0113926	0.0140545	0.0246546	0.0116932	0.0204598	0.0197739	0.0453674	0.0193156	0.0417367	0.0330471	0.0220354	0.0225966	0.0202178	0.0192754	0.0097202	0.0199906	0.0105193
ondongo	0.0113188	0.0175761	0.0117971	0.00622193	0.00581654	0.00625582	0.00994731	0.0182539	0.0279035	0.018762	0.0393336	0.0645959	0.0710728	0.0460755	0.0512315	0.0313492	0.0348371	0.0510539	0.0413964	0.0470573	0.0381319	0.0321634	0.0355355	0.0240858	0.0234797	0.0179273	0.0140493	0.0148593	0.0149099	0.0188403	0.00911675	0.0147712	0.0143177	0.0138288	0.0103581	0.0105451	0.0132842	0.00667008	0.00801995	0.00873067	0.00532222	0.00718463	0.0110844	0.0209274
a	0.0499177	0.0122829	0.00743806	0.0063924	0.00434279	0.00421027	0.0056823	0.00454394	0.00608592	0.00521809	0.00896193	0.0166247	0.0163806	0.0150933	0.0169695	0.0241974	0.0257223	0.0325206	0.0408027	0.0422782	0.0462801	0.0524342	0.0557801	0.0688085	0.0547239	0.0486529	0.0677434	0.036118	0.0328378	0.0190912	0.0158847	0.0132963	0.0112193	0.0117185	0.0107553	0.00848308	0.00646943	0.00596934	0.00997163	0.00834686	0.00919371	0.0138414	0.0161313	0.0305833
commis	0.0089912	0.0044557	0.00387592	0.00449054	0.00333418	0.00262703	0.00258931	0.0034367	0.00729951	0.00580364	0.0138628	0.0239147	0.0162389	0.0102889	0.0136855	0.0167948	0.0197584	0.0367516	0.0342526	0.0377528	0.0410929	0.0388397	0.0389677	0.0527293	0.0458183	0.069675	0.0560233	0.0638357	0.060918	0.0459979	0.0407284	0.0264923	0.0202658	0.0192723	0.0185974	0.0107701	0.010736	0.00965916	0.0114899	0.00809217	0.00798806	0.0101905	0.00999985	0.0116156
le	0.0516143	0.0217853	0.0153819	0.0184022	0.0141952	0.0177318	0.0214654	0.0231202	0.0148807	0.0156387	0.0254832	0.0272893	0.0210476	0.0131488	0.0124541	0.0131128	0.013975	0.0139039	0.0148225	0.0124676	0.0143217	0.0190231	0.0221889	0.0340416	0.0357055	0.0286569	0.0337502	0.0281544	0.0249735	0.0162658	0.0236678	0.0137698	0.0233898	0.0160743	0.0206866	0.0209715	0.0182831	0.0181288	0.0259607	0.0300908	0.0299625	0.0289224	0.0386207	0.0524692
délit	0.0545375	0.0167822	0.0125247	0.0124632	0.0143031	0.0194636	0.0169059	0.0222201	0.0258723	0.0223466	0.0354184	0.0443572	0.0397958	0.0261683	0.0239743	0.0239692	0.0302658	0.0266041	0.0230644	0.0186551	0.0200785	0.0217766	0.0211539	0.0274276	0.0306431	0.0252521	0.0261371	0.0234797	0.0208888	0.0104853	0.0171818	0.0105904	0.0107382	0.00600395	0.00974425	0.00699074	0.00674464	0.00693032	0.00981192	0.0182222	0.0184812	0.0250499	0.0324621	0.0840339
de	0.0387116	0.0201227	0.0126651	0.0214417	0.0194919	0.0103968	0.00864092	0.00817342	0.00861484	0.00887866	0.0111298	0.0268698	0.0210835	0.00873564	0.00730522	0.00949412	0.016327	0.0253632	0.0633625	0.0827862	0.0596306	0.0776298	0.0714923	0.0605171	0.0345531	0.0384363	0.0284909	0.027129	0.0330074	0.0130077	0.0246982	0.0131825	0.0141885	0.00460041	0.00445039	0.00243464	0.00251711	0.00423134	0.00563693	0.00564021	0.00608502	0.00733403	0.00774663	0.0237653
voler	0.0726504	0.0338056	0.0191678	0.0143368	0.0122111	0.0114931	0.0118691	0.0129221	0.00773827	0.00763203	0.0178598	0.0285308	0.0194875	0.017584	0.0276602	0.0324151	0.0328768	0.0370342	0.0335269	0.0363615	0.0362331	0.0364098	0.0274776	0.0333113	0.0200581	0.0257698	0.0107926	0.0171421	0.0154985	0.0064032	0.0189172	0.0133353	0.0185036	0.0100764	0.0128119	0.0118448	0.0109575	0.0149878	0.0148814	0.0299563	0.0193006	0.0288177	0.025325	0.0540253
des	0.0442707	0.0330007	0.0194627	0.0154044	0.0186057	0.0143108	0.0127117	0.0103505	0.00783038	0.00938519	0.0187941	0.0259451	0.019128	0.0123644	0.0210171	0.0226986	0.0293713	0.0352716	0.0467547	0.0506097	0.0340345	0.0396824	0.0275043	0.0307239	0.028805	0.0223795	0.0172555	0.018201	0.0162298	0.00556984	0.0151536	0.00883615	0.00927853	0.00420777	0.0067941	0.00656912	0.0064511	0.013172	0.0140769	0.0270393	0.0311734	0.0341353	0.0393142	0.0761253
