 	a	y	ú	r	u	á	d	i	í	s	á	k	i	n	d	a	l	á	k	y	e	b	h	é	k	y	e	b	h	é	o	k	ó	a	k	a	á	</S>
les	0.106319	0.0506655	0.0846449	0.0404386	0.0129356	0.0174772	0.0109022	0.0110955	0.011058	0.0186116	0.0152144	0.0285401	0.0204819	0.0215409	0.0362669	0.0270088	0.0478942	0.0367252	0.035259	0.0209301	0.0200711	0.0161919	0.0163167	0.0140389	0.0167085	0.019181	0.0238422	0.0152285	0.0212647	0.0218011	0.0216386	0.022454	0.0218641	0.0198614	0.022936	0.0191779	0.0179647	0.0154488
femmes	0.039181	0.103556	0.0624316	0.0934258	0.0845405	0.0912552	0.0765971	0.0683314	0.0887417	0.00825684	0.00883232	0.0120638	0.0101747	0.00916062	0.0240511	0.021328	0.0262206	0.0138568	0.0115969	0.0104668	0.0118652	0.00710225	0.00499493	0.00575086	0.0054175	0.00441895	0.00532838	0.00521508	0.00502419	0.00790184	0.0107871	0.0169716	0.0140351	0.00956901	0.00966424	0.00689499	0.00244787	0.0025414
n'	0.0178861	0.0365159	0.0307639	0.039423	0.0224771	0.0156199	0.0195911	0.0424498	0.0367365	0.0363719	0.0284135	0.0333306	0.027335	0.0444237	0.0516387	0.0485983	0.0368331	0.0888309	0.0544506	0.0226464	0.0122954	0.0287145	0.0124397	0.019337	0.0202193	0.0156098	0.0145755	0.0138075	0.00880291	0.00869409	0.0108055	0.0171951	0.0201959	0.0121119	0.013365	0.0126329	0.0111126	0.0137494
entrent	0.0230907	0.041534	0.0483162	0.055109	0.0557206	0.0754952	0.0398858	0.0414278	0.0311889	0.038645	0.0322921	0.0215116	0.017843	0.0270121	0.0134222	0.00946199	0.0133437	0.0196469	0.0115267	0.0129143	0.0136872	0.0236931	0.0144599	0.0201601	0.0155814	0.0171899	0.0165172	0.0192542	0.0273008	0.018421	0.0201835	0.0292805	0.0259514	0.0248326	0.0217429	0.0215403	0.0177113	0.0231052
jamais	0.0161696	0.013897	0.00985923	0.0103998	0.00974381	0.0130268	0.0176745	0.0134698	0.0149149	0.0204736	0.0234822	0.0225771	0.0174826	0.022562	0.0200275	0.021031	0.0244941	0.0302328	0.0545543	0.0490904	0.0480858	0.0324246	0.0350196	0.0287571	0.0460858	0.0283086	0.0262569	0.0271476	0.0317254	0.0362825	0.0353673	0.0336666	0.0358614	0.0314074	0.0264907	0.0311208	0.0143549	0.0264743
dans	0.0206192	0.00736732	0.00803071	0.00514536	0.00530756	0.00619654	0.00552575	0.00371075	0.00577577	0.0113587	0.0180466	0.00913699	0.0145026	0.0124826	0.0120326	0.0127399	0.0186484	0.0181677	0.020779	0.0212972	0.0287436	0.0135561	0.0272361	0.0284468	0.0406841	0.0405734	0.0445497	0.046013	0.0459674	0.0479544	0.0561064	0.056346	0.061107	0.054386	0.0489336	0.0489742	0.0328219	0.0407291
le	0.0467094	0.0203065	0.0356782	0.0132428	0.0113242	0.0113147	0.0103808	0.00896305	0.0128208	0.0125262	0.0157594	0.0130752	0.0096625	0.00974158	0.0097912	0.0103898	0.0105521	0.0160872	0.0167432	0.0142195	0.014545	0.0174182	0.0175572	0.0270961	0.0328621	0.0361341	0.0493195	0.0515728	0.0414064	0.0436718	0.040659	0.0440391	0.0454356	0.0457915	0.0457015	0.0445739	0.04676	0.046168
lieu	0.0117866	0.0106123	0.00745004	0.0074937	0.00883747	0.0115401	0.00990262	0.00557624	0.00573959	0.00918626	0.0116672	0.0118188	0.0160714	0.0166949	0.0146075	0.0181716	0.0182675	0.0280942	0.0384158	0.0360518	0.0269182	0.0245586	0.0316183	0.0282569	0.0273682	0.0283978	0.0302052	0.0241992	0.0284491	0.0307854	0.0379356	0.0346198	0.0505978	0.0405378	0.0514558	0.0549247	0.0646721	0.0865141
initiatique	0.0164753	0.0146051	0.0145109	0.0148314	0.0169594	0.0105113	0.0118539	0.00796536	0.0130466	0.024663	0.0331273	0.0247635	0.0217127	0.0271485	0.0279488	0.0191242	0.0285285	0.0367811	0.0347811	0.0344532	0.0283299	0.0374209	0.0300382	0.0354348	0.033033	0.0282101	0.0215436	0.0207203	0.0222987	0.0132302	0.0151602	0.0105312	0.0175006	0.0224011	0.0238738	0.0325613	0.0397711	0.13415
du	0.0177009	0.020188	0.0263607	0.0267788	0.0265033	0.0190264	0.0106132	0.0087325	0.00656243	0.00809045	0.0103975	0.0108996	0.00809401	0.0114874	0.0118231	0.0121622	0.0131516	0.0140108	0.015485	0.0171708	0.0215	0.0219845	0.0262284	0.0315892	0.0326329	0.0335214	0.0346163	0.020729	0.0223836	0.0231679	0.0247889	0.0225608	0.0268999	0.0332843	0.052834	0.064368	0.0896091	0.122063
