 	m	ú	o	k	á	n	d	á	m	á	t	á	á	y	a	n	g	á	m	ú	u	m	á	n	g	ó	l	ó	m	i	y	a	b	á	a	m	á	b	í	n	í	m	u	</S>
celle-ci	0.0097666	0.0107342	0.00954831	0.0115597	0.0149193	0.0173666	0.0249757	0.0327182	0.0361049	0.0397493	0.054037	0.0597301	0.0667641	0.0559558	0.0538171	0.0545283	0.0322335	0.0260401	0.025578	0.017659	0.0165912	0.0134161	0.0134833	0.0145087	0.0120553	0.0128906	0.01302	0.00942641	0.00848826	0.00688862	0.00933791	0.013353	0.010722	0.016174	0.0175537	0.0140077	0.0186147	0.0132648	0.014204	0.014398	0.020055	0.0242759	0.02069	0.0187951
est	0.0670202	0.0836788	0.0457727	0.050976	0.0490406	0.0639641	0.0544825	0.0596237	0.0524511	0.0394573	0.0446082	0.0451272	0.050352	0.0392563	0.0317934	0.0258009	0.0187031	0.0287443	0.021977	0.0125934	0.0197036	0.0126393	0.00901644	0.00764752	0.0034389	0.00401991	0.00132345	0.00253413	0.00384014	0.00684442	0.00530336	0.00449774	0.00327314	0.00296334	0.00321443	0.00299925	0.00233327	0.0021815	0.00221005	0.00227246	0.00244192	0.00201211	0.00341673	0.00445004
la	0.0590618	0.0490683	0.0358729	0.0585488	0.0479182	0.0340434	0.0359361	0.0171543	0.0159365	0.0172763	0.0272768	0.0220966	0.0204249	0.0134499	0.0195042	0.0158164	0.0273485	0.0270829	0.0330014	0.0672243	0.0404027	0.0408422	0.0152574	0.0236165	0.0277984	0.0306821	0.0383428	0.0120543	0.015811	0.0142623	0.00732957	0.00759165	0.00621984	0.00400824	0.00411109	0.00438004	0.00422549	0.00438375	0.00162194	0.00453002	0.00445024	0.00411376	0.00295833	0.0369641
chemise	0.0314782	0.0783776	0.056195	0.0465673	0.04885	0.0221338	0.030819	0.0097551	0.00516223	0.00415947	0.00382857	0.00778473	0.00795022	0.00663259	0.0082652	0.0106184	0.0205657	0.0119129	0.00761173	0.0139955	0.0147756	0.0126338	0.0157897	0.0145997	0.0216539	0.0147478	0.0102803	0.00825316	0.0188211	0.0145025	0.0353475	0.0258555	0.0130155	0.0265258	0.0242318	0.0194269	0.0270862	0.0240332	0.0347246	0.0346569	0.0462845	0.0296955	0.0151941	0.0652012
de	0.0237153	0.0178683	0.00586948	0.0054279	0.00673411	0.00909388	0.00920323	0.0113014	0.00831187	0.0147479	0.0154879	0.0129938	0.0104963	0.0159077	0.0128514	0.0147894	0.0243082	0.0424586	0.0412905	0.043944	0.0903994	0.101554	0.0647583	0.0646856	0.0560108	0.0504236	0.0242251	0.0314863	0.0193028	0.0138366	0.0164179	0.0103498	0.00818431	0.0116593	0.0116269	0.0111756	0.00658681	0.00539764	0.00406396	0.00471	0.00665416	0.00881025	0.00674462	0.0241347
mon	0.0224266	0.0279272	0.0282373	0.0334155	0.026244	0.0364517	0.0358655	0.0363528	0.0282449	0.0336713	0.0337729	0.0306543	0.0285047	0.0322102	0.0417398	0.0273879	0.0288452	0.0244891	0.0201114	0.0249064	0.0214174	0.0188796	0.0205213	0.0173867	0.0178291	0.0160792	0.011043	0.0105846	0.0138743	0.00896461	0.0136257	0.00912684	0.00774282	0.0175372	0.0249821	0.0158937	0.0159817	0.0126485	0.0180507	0.012665	0.015825	0.0185634	0.01973	0.039589
père	0.0197976	0.0261216	0.0244061	0.0289556	0.0216616	0.0310017	0.0251076	0.0254051	0.0185401	0.0250043	0.0317716	0.0250202	0.0239541	0.030886	0.0277633	0.022805	0.0234666	0.0248523	0.0184373	0.0213303	0.0175201	0.0159455	0.0176652	0.0166464	0.0210078	0.0150006	0.0126657	0.0106577	0.0144424	0.0120545	0.0163577	0.0151075	0.0128	0.0226225	0.0333968	0.0174143	0.028899	0.0237995	0.0307259	0.0218402	0.0275472	0.0188022	0.0222474	0.0585461
celle-là	0.030414	0.0179428	0.0134121	0.0120323	0.00901461	0.0104212	0.00965159	0.00682146	0.00384658	0.0033826	0.00399042	0.00397338	0.00374786	0.00498081	0.00355092	0.00326291	0.00575945	0.0108522	0.0135472	0.0311011	0.0491992	0.0452249	0.0603788	0.0586702	0.0670093	0.0441716	0.0300911	0.0218122	0.0343617	0.0285396	0.0370835	0.0357096	0.0288868	0.0344475	0.0326604	0.0345207	0.0255238	0.0307356	0.0189595	0.0140253	0.0143199	0.00818098	0.0153735	0.0284088
à	0.0468846	0.038886	0.030775	0.0260408	0.0172306	0.00714885	0.00524	0.00532988	0.00519126	0.00515919	0.00585488	0.00550896	0.00607693	0.00711275	0.00621001	0.00666511	0.0108243	0.0116444	0.0111838	0.0262011	0.0338833	0.0397365	0.0480511	0.039512	0.0416921	0.0319314	0.0311797	0.0335558	0.0351028	0.0456723	0.0386576	0.0233175	0.0233093	0.0193332	0.0214727	0.0167821	0.0209814	0.0171067	0.0174587	0.0177002	0.027463	0.0219837	0.0236886	0.0452599
leur	0.0558529	0.024	0.0152962	0.012033	0.00901981	0.00548579	0.00479421	0.0034715	0.00275033	0.00215767	0.00228121	0.00250457	0.0025291	0.00283088	0.00221009	0.00190716	0.00302066	0.0049448	0.00914673	0.0194323	0.0299337	0.0351055	0.0369713	0.0475989	0.0528828	0.0492287	0.0445321	0.0328041	0.0340364	0.0310325	0.0323151	0.0269562	0.0224261	0.0333342	0.036891	0.0303224	0.0341302	0.0348976	0.0230922	0.0221884	0.0236575	0.0230794	0.0352501	0.0416646
oncle	0.0665569	0.0250603	0.0125907	0.0079502	0.00623655	0.00346964	0.00244596	0.00246132	0.00255141	0.00250664	0.00337131	0.00419147	0.00600648	0.00761539	0.00595886	0.00666953	0.010683	0.0166958	0.0135891	0.031851	0.0381435	0.028667	0.0353852	0.0240161	0.0261383	0.0209435	0.0161767	0.015031	0.0202069	0.0279465	0.0349821	0.0314575	0.0228889	0.0281471	0.0416723	0.0207887	0.0463992	0.0321221	0.0336591	0.0244483	0.0387253	0.0282731	0.0584354	0.0668848
quelle	0.0140875	0.0106792	0.0101737	0.0100169	0.0111148	0.0102637	0.0106954	0.0129763	0.0167341	0.0158746	0.0148676	0.0135886	0.00974184	0.0129271	0.0142981	0.00854613	0.0133077	0.00937998	0.0148031	0.0170243	0.0191524	0.0196491	0.0221403	0.0268446	0.0289772	0.0299674	0.0324109	0.0324754	0.0306956	0.0293705	0.0303289	0.0297067	0.0285236	0.0293623	0.0321094	0.0275512	0.0300596	0.0313887	0.0370354	0.0378265	0.0429387	0.0533095	0.0373843	0.0296913
