 	o	l	a	n	g	i	s	i	n	g	á	s	á	o	y	ó	l	o	t	í	n	ω	</S>
c'	0.0179937	0.027571	0.0303247	0.0193795	0.0158973	0.018337	0.0197839	0.0221451	0.0407158	0.0758183	0.0723084	0.085224	0.106696	0.0949636	0.0828642	0.0610486	0.0548788	0.0246668	0.0282526	0.0222174	0.0246547	0.0318904	0.022368
est	0.115666	0.114557	0.0875633	0.0765893	0.0484357	0.0415138	0.0438266	0.064091	0.0368965	0.0298251	0.0351934	0.040155	0.0468664	0.0255791	0.0174324	0.0163911	0.0113562	0.0195804	0.0158508	0.0330303	0.02325	0.0189806	0.037371
toi	0.0530573	0.0376409	0.0298433	0.022985	0.00887143	0.0333101	0.023687	0.0189045	0.0221231	0.0246918	0.0258341	0.0339186	0.0455923	0.0491945	0.0608313	0.0685853	0.0872783	0.13527	0.0694803	0.0520968	0.0566027	0.0175232	0.022678
qui	0.022171	0.02943	0.0412082	0.035557	0.0532111	0.0790491	0.0457516	0.0134969	0.0123743	0.015197	0.0201535	0.0217275	0.0368883	0.0396567	0.06404	0.111388	0.0984759	0.10913	0.0309801	0.0286755	0.0296768	0.0214315	0.0403295
va	0.0688924	0.0710206	0.0779712	0.0666284	0.0729707	0.0958606	0.066793	0.0321283	0.0255307	0.0198253	0.0128972	0.0128338	0.0265546	0.0272565	0.0422794	0.0389119	0.0332858	0.0297191	0.018187	0.0155814	0.0239617	0.0369506	0.0839598
me	0.0901434	0.145475	0.0909242	0.0613949	0.0382242	0.0624911	0.0482969	0.0383024	0.0265422	0.0275584	0.0205424	0.0318513	0.0438405	0.0372988	0.0302646	0.0228404	0.0188003	0.0146728	0.0170786	0.0177893	0.0222655	0.0415385	0.0518645
réveiller	0.183136	0.122512	0.0588429	0.0562834	0.0307855	0.0330336	0.0313087	0.0258731	0.0223622	0.0258961	0.0266348	0.0335816	0.0292055	0.0402242	0.047991	0.0410785	0.0316383	0.0198877	0.0149081	0.0182369	0.0173243	0.0250998	0.0641554
de	0.10122	0.0914941	0.0891788	0.11273	0.083573	0.0590806	0.0347133	0.0184533	0.0132677	0.0109935	0.0098528	0.0138993	0.0198782	0.0142096	0.0265429	0.0349334	0.0319061	0.0347246	0.0311984	0.0331128	0.0295552	0.0353957	0.0700872
bon	0.0789517	0.0528739	0.0358113	0.0294362	0.0161492	0.0114208	0.00638459	0.00506978	0.00357398	0.00387576	0.00645167	0.00858257	0.0104827	0.0180356	0.0324192	0.0426755	0.0401328	0.0663136	0.0793589	0.0917216	0.10269	0.117157	0.140431
matin	0.0864636	0.0469861	0.0306861	0.0184007	0.0129198	0.00855999	0.00503346	0.00590762	0.00335752	0.0033428	0.00487466	0.00536223	0.00610885	0.015412	0.0267286	0.0374226	0.0261704	0.0759751	0.0580983	0.106171	0.117549	0.133337	0.165133
</S>	0.0735302	0.0404244	0.0269922	0.0237832	0.0218824	0.0169857	0.0168608	0.0173712	0.0113448	0.0106869	0.0154784	0.0242692	0.0169389	0.0223648	0.0301454	0.0616603	0.0600717	0.0678869	0.069357	0.0761411	0.0784321	0.0960675	0.121325
