 	m	w	á	n	a	w	ú	u	á	m	i	b	h	á	n	d	á	k	y	e	b	h	é	k	y	e	b	h	é	</S>
cet	0.00959798	0.00922238	0.0095467	0.00850481	0.00604842	0.00800487	0.00686789	0.0118653	0.015475	0.0234126	0.0327797	0.0274297	0.0720481	0.0511722	0.0491825	0.0447521	0.0435878	0.0433163	0.0424152	0.0438499	0.0463791	0.0450494	0.0413094	0.0359034	0.0353556	0.0349105	0.0411286	0.0479436	0.0494726	0.0634683
enfant-là	0.0109851	0.00423345	0.00522032	0.0128174	0.0366328	0.0394003	0.237875	0.107584	0.122071	0.104148	0.127442	0.0843787	0.0346363	0.0298952	0.00938289	0.00753836	0.00213006	0.00180736	0.000775494	0.00102337	0.00205084	0.00133427	0.00357174	0.00272606	0.00431371	0.00430409	0.000731301	0.000286062	0.000344633	0.000359875
s'	0.00910721	0.0104467	0.00987132	0.0112782	0.0276539	0.0681965	0.0407594	0.0316668	0.0461294	0.0150835	0.0362731	0.0344642	0.0184247	0.0319964	0.0618726	0.0574039	0.0593553	0.0457015	0.0469622	0.0713715	0.0415718	0.0545357	0.0465814	0.0411646	0.0366579	0.0243398	0.00489762	0.00592378	0.0066519	0.0036573
initie	0.0423846	0.0278452	0.0212738	0.0108651	0.0107928	0.00643877	0.0124168	0.00846214	0.012366	0.012865	0.0359259	0.0375521	0.0413181	0.0171554	0.0576879	0.0534836	0.0577525	0.0459644	0.0658685	0.0730126	0.063319	0.0416355	0.020048	0.0269244	0.0317748	0.0340673	0.0351624	0.0340682	0.0294606	0.0321088
à	0.0760761	0.0290363	0.0397171	0.0333536	0.0240776	0.0130668	0.0123797	0.012571	0.0112297	0.01045	0.0232677	0.0134467	0.0155607	0.0135663	0.017545	0.0170831	0.0142224	0.0146748	0.0148925	0.0201499	0.0224096	0.0311396	0.0304928	0.0594509	0.0624433	0.0568417	0.0701294	0.0782168	0.0737498	0.088759
la	0.0764062	0.0360762	0.0343533	0.0262491	0.0116016	0.0120689	0.00672673	0.00740324	0.00674588	0.0059611	0.00734172	0.00677178	0.00798306	0.0073944	0.0102974	0.00916755	0.00979277	0.00935966	0.0133684	0.0204582	0.0264719	0.043085	0.0407875	0.0642315	0.0653557	0.0619265	0.0875523	0.0980374	0.0832092	0.103816
pratique	0.0614924	0.0494373	0.0671333	0.0596973	0.0580081	0.0402716	0.0282291	0.0372629	0.037129	0.0197778	0.0445977	0.0214	0.0486074	0.036259	0.0882797	0.0728795	0.0606011	0.0260513	0.0119235	0.00682776	0.00716183	0.00723595	0.00742083	0.00571728	0.00952218	0.012698	0.0121034	0.00887268	0.0119022	0.0414998
du	0.0494252	0.0495474	0.0428418	0.03489	0.0377254	0.041429	0.0184468	0.0183718	0.0120226	0.010648	0.0242449	0.0156361	0.018077	0.0112083	0.0367612	0.0220072	0.0262549	0.028716	0.032914	0.0302905	0.0217784	0.0303253	0.0295027	0.0226899	0.0340973	0.0370065	0.0311737	0.0356617	0.069321	0.126986
kyebé-kyebé	0.0598659	0.0531523	0.0448582	0.0333042	0.0278987	0.017009	0.0121913	0.0117687	0.0108516	0.00511081	0.00713193	0.00614038	0.00914068	0.0111603	0.0194645	0.0221175	0.0164798	0.023769	0.0316089	0.0251639	0.0346196	0.0487127	0.0471005	0.0280672	0.0480728	0.0672216	0.0413538	0.0354996	0.092323	0.108842
</S>	0.0556144	0.0375417	0.0339177	0.0235449	0.0270968	0.0133727	0.0109246	0.0113006	0.00554466	0.00312332	0.00575445	0.00460333	0.00987777	0.00789051	0.0139868	0.0164587	0.0174876	0.0187849	0.02792	0.0238487	0.0342674	0.0504237	0.0443001	0.0427939	0.0693182	0.0963081	0.0521005	0.0510188	0.083112	0.107763
