 	n	g	á	í	m	é	i	n	d	z	ó	r	o	w	á	á	l	í	i	b	h	e	r	á	d	i	n	g	a	l	a	b	i	a	</S>
j'	0.0837111	0.370994	0.238951	0.123851	0.0481908	0.0174621	0.00939634	0.00232049	0.00217616	0.00209049	0.00117098	0.00124202	0.00251998	0.00474118	0.00748371	0.00905218	0.00691832	0.00506262	0.00417707	0.00615282	0.00440016	0.00603169	0.0029699	0.00314218	0.0034675	0.00336597	0.00343227	0.0036282	0.00391729	0.00373641	0.00252805	0.0027528	0.00279822	0.00283097	0.00333391
ai	0.0560408	0.0189123	0.0421667	0.060794	0.0239217	0.0130179	0.0205145	0.0501939	0.107073	0.0716502	0.0512855	0.0270234	0.0296773	0.0614363	0.0494252	0.0204182	0.0569471	0.0293431	0.0317898	0.0245132	0.0129912	0.0110011	0.0150197	0.0127993	0.00826933	0.00668605	0.0173691	0.0141895	0.00970177	0.00866208	0.00667532	0.00774264	0.00341346	0.00374755	0.0155878
tenté	0.0277186	0.0347059	0.0142731	0.0223485	0.0356393	0.0291037	0.0414569	0.0430027	0.0504532	0.057809	0.0603723	0.0726534	0.0873061	0.0461925	0.0370608	0.0502288	0.0247192	0.0217928	0.0237593	0.0166017	0.0210298	0.00765561	0.0105569	0.0115563	0.0094521	0.0106003	0.00770519	0.0109443	0.0140716	0.0133426	0.0179713	0.0252153	0.0128593	0.0144699	0.0153716
ma	0.0554135	0.0437599	0.0414225	0.0295031	0.0592514	0.0674718	0.0928367	0.0572992	0.0553021	0.0411258	0.0570487	0.0419753	0.0553908	0.0106944	0.0135304	0.0170312	0.0189769	0.0119276	0.00842935	0.0084231	0.00888561	0.00699881	0.00778345	0.0123963	0.0160033	0.0116715	0.00881561	0.0150493	0.00953665	0.0159977	0.0116478	0.0208416	0.0102588	0.0145641	0.0427356
chance	0.0168138	0.0155881	0.012688	0.0135609	0.0159371	0.0178142	0.0318222	0.0343313	0.0557788	0.0595126	0.0702434	0.0415764	0.0374746	0.0246589	0.0286996	0.0308157	0.0313251	0.0224448	0.0226252	0.0289906	0.0227239	0.016241	0.0181604	0.0281732	0.0173023	0.0121672	0.0141301	0.0272207	0.0126885	0.0188828	0.0221755	0.0221696	0.0228312	0.0317873	0.100645
si	0.0236504	0.0183734	0.0234119	0.0140201	0.0184426	0.0252153	0.0317256	0.0441343	0.0499846	0.0544867	0.0578511	0.0443244	0.0440102	0.0365563	0.046398	0.0453848	0.0239151	0.0278405	0.0225311	0.021657	0.0194214	0.0161369	0.0181136	0.0192585	0.0150762	0.00696256	0.0132286	0.0146356	0.0111037	0.0150536	0.0151935	0.0178797	0.0277531	0.0321774	0.0840923
je	0.0535566	0.0242973	0.0204692	0.0283534	0.0156959	0.0194095	0.0298155	0.0369801	0.0345931	0.0472067	0.0428826	0.036104	0.0361783	0.0199563	0.0246107	0.025344	0.0167733	0.0216988	0.0218856	0.0241944	0.0196034	0.0132508	0.0149152	0.0147639	0.0134846	0.0117222	0.0187368	0.0264581	0.0286588	0.0329995	0.0204073	0.0382925	0.0294463	0.0368345	0.100421
peut	0.0457246	0.0269296	0.0205841	0.0132285	0.0209184	0.0191904	0.0176814	0.0179666	0.0179368	0.0185929	0.0225339	0.0203627	0.0298309	0.0215395	0.0227805	0.0239255	0.0227639	0.0225859	0.02016	0.0230865	0.0218444	0.015602	0.0178026	0.0183673	0.0188809	0.0179006	0.0331397	0.0513095	0.0344304	0.0490174	0.0392647	0.0538851	0.0457129	0.0605839	0.0739361
jouer	0.0594227	0.0338488	0.0349591	0.0343119	0.0268017	0.0213523	0.0174686	0.0155366	0.0161297	0.0126526	0.0173537	0.0165022	0.0266895	0.0181229	0.0195429	0.0226007	0.0229853	0.0274718	0.0220466	0.0217174	0.0186124	0.0145855	0.0141567	0.0123974	0.0142486	0.0129278	0.0178645	0.029704	0.0188371	0.0327425	0.0405716	0.0591144	0.0425867	0.0556899	0.128444
au	0.0300746	0.0268363	0.0275976	0.0201669	0.0153172	0.015235	0.0149524	0.0140695	0.0149119	0.0122717	0.017575	0.0191797	0.0330715	0.0247154	0.0255196	0.0305539	0.0321222	0.0350572	0.0290006	0.0343583	0.0345171	0.0187675	0.0181407	0.0173972	0.0181419	0.0150357	0.0226131	0.0323611	0.020835	0.0411167	0.0344721	0.0572439	0.0347217	0.0581193	0.10393
foot	0.0338919	0.0449882	0.0327058	0.0271439	0.0169584	0.0177988	0.0178031	0.0117442	0.0132065	0.00745556	0.0124961	0.0107692	0.0256341	0.0187303	0.0170324	0.0265146	0.0282734	0.0365378	0.032444	0.0425462	0.0394346	0.0205778	0.0123464	0.0127425	0.0104676	0.00718848	0.0114273	0.0184187	0.0158565	0.03496	0.0247991	0.0520567	0.0438873	0.086211	0.134952
avec	0.069685	0.0426984	0.0321469	0.0265572	0.0447091	0.0767334	0.0757626	0.0575727	0.0467472	0.0359654	0.039563	0.0425313	0.0585727	0.0160124	0.0171951	0.00831745	0.00841146	0.00782875	0.00827656	0.00892992	0.00927087	0.00937308	0.0128888	0.0126786	0.0128202	0.0119182	0.0183325	0.0303178	0.0168721	0.0268195	0.025157	0.0244739	0.0144681	0.0219293	0.0284634
