 	e	n	d	z	é	m	b	é	é	d	z	e	y	é	e	y	é	m	b	á	o	s	í	á	k	a	á	l	e	k	i	l	í	y	é	é	b	í	l	í	í	b	í	s	í	a	k	o	m	b	ó	</S>
le	0.0112587	0.0212243	0.0377558	0.045538	0.0364202	0.0421081	0.02393	0.0268228	0.0101115	0.0153581	0.0253174	0.0324316	0.0286723	0.0331543	0.0579964	0.0262218	0.0174702	0.0115969	0.00914336	0.0111233	0.00883791	0.00636152	0.00715057	0.00720316	0.00656976	0.00674172	0.00656153	0.0079537	0.00766878	0.00810677	0.00471065	0.0100399	0.0105616	0.0116277	0.00723746	0.0076454	0.00651633	0.00573985	0.0070185	0.0111919	0.0113492	0.0170738	0.0186018	0.03277	0.023308	0.0353716	0.0298138	0.0308034	0.0295621	0.0302782	0.0315137	0.0304548
petit	0.0477187	0.056598	0.0735283	0.0763341	0.0571012	0.0574503	0.0210178	0.0213521	0.0144825	0.0145571	0.0304503	0.0821221	0.0866541	0.122737	0.0850921	0.00776728	0.00511202	0.00331107	0.00177148	0.000959896	0.000515496	0.000645459	0.000680936	0.000641944	0.000436396	0.000500253	0.000411629	0.000612329	0.000426436	0.000582265	0.000588494	0.000473301	0.0011392	0.000983659	0.000980896	0.00174352	0.00282543	0.00296535	0.00227725	0.00286841	0.0054901	0.00438252	0.00307033	0.00671734	0.00851636	0.0242811	0.0143089	0.0217337	0.0133817	0.00441411	0.0027426	0.00254527
oiseau	0.0377191	0.0190906	0.0291487	0.0200791	0.0219757	0.0421957	0.0379696	0.0211838	0.015074	0.013112	0.0119782	0.0135382	0.0144732	0.0177495	0.0203242	0.0107445	0.00587028	0.0113941	0.0156749	0.0118526	0.00937167	0.00574664	0.00639992	0.00726878	0.00622121	0.00929754	0.0116701	0.00878382	0.00706101	0.00659256	0.00612152	0.00510221	0.0126049	0.00944111	0.00681212	0.0255334	0.0363121	0.0342395	0.0291658	0.0685513	0.0463256	0.0305894	0.0597565	0.0327874	0.0261852	0.026626	0.0186837	0.0173535	0.0143405	0.00728297	0.0119751	0.00464876
enzembe	0.0397722	0.055483	0.0724637	0.0673975	0.0734999	0.111681	0.0555707	0.0182285	0.0129085	0.0230593	0.0193277	0.0290806	0.0223175	0.0128972	0.0168835	0.0149701	0.0170844	0.0229752	0.0225749	0.0185603	0.00717421	0.00556038	0.00428077	0.00721062	0.00509124	0.00733674	0.007592	0.00424116	0.00390027	0.00318054	0.00739236	0.00416047	0.00584494	0.0060004	0.00633558	0.0107998	0.0101795	0.01092	0.0121308	0.0126646	0.00974245	0.00538354	0.00897835	0.0053854	0.00697112	0.0137927	0.0105275	0.0137442	0.0119672	0.00880696	0.0159663	0.0200023
chantait	0.0171666	0.0172094	0.0283279	0.0317356	0.0371347	0.0566354	0.0395603	0.022586	0.0187907	0.0172423	0.0159108	0.0315858	0.0155784	0.0133483	0.01983	0.0131714	0.0144663	0.023072	0.0188218	0.0216126	0.0178881	0.0160588	0.0123127	0.0182315	0.0166705	0.0154598	0.0203008	0.0110888	0.00898489	0.0108966	0.0144465	0.0135658	0.0227114	0.0157486	0.0190378	0.0216609	0.0404134	0.0345116	0.0276744	0.0132912	0.0121121	0.013707	0.0134858	0.0102593	0.0133951	0.0114112	0.00784086	0.00811028	0.0118422	0.0115694	0.018813	0.0227133
non	0.0130937	0.016041	0.0188546	0.0184321	0.0222334	0.0258288	0.0221472	0.0234242	0.0234414	0.0220453	0.0249644	0.0411637	0.0236781	0.0255475	0.0366787	0.0242199	0.0175312	0.0298758	0.0186006	0.0195802	0.0156556	0.0126745	0.0149151	0.0232153	0.0168311	0.0187231	0.0170901	0.0174924	0.0131739	0.0120282	0.0196161	0.0119705	0.0127273	0.0132251	0.0177456	0.0193389	0.0241933	0.0271167	0.0230589	0.0148574	0.0166567	0.0130505	0.0142941	0.00880643	0.0115882	0.0126072	0.0128207	0.0152955	0.0145489	0.0154544	0.0148484	0.036998
loin	0.00901311	0.00936807	0.0115601	0.0128925	0.0153565	0.0173705	0.023746	0.0252529	0.0248526	0.0147359	0.00753157	0.00604096	0.00433762	0.00521668	0.00653144	0.011739	0.0207117	0.0339314	0.0321561	0.0302005	0.0327448	0.0371998	0.0310582	0.0279894	0.0315202	0.0226963	0.021416	0.0251328	0.0166054	0.0190526	0.0352525	0.0236391	0.0246004	0.0274445	0.0282496	0.0275804	0.0178282	0.0306414	0.0311503	0.0137101	0.018694	0.0124253	0.00980278	0.00904838	0.0111696	0.0113154	0.0095693	0.0120946	0.0085358	0.010928	0.01412	0.0242397
de	0.0108352	0.00867158	0.0127912	0.0173352	0.0228022	0.0270696	0.0394149	0.0361078	0.03591	0.0274011	0.0140806	0.0117939	0.00718975	0.0057226	0.00734619	0.012552	0.0155158	0.0149189	0.0122944	0.0155336	0.0180665	0.0254794	0.0287686	0.0255879	0.0315095	0.0238751	0.0241131	0.0249648	0.0176786	0.0245114	0.0260026	0.0239894	0.0222603	0.022341	0.027866	0.0390213	0.0184932	0.0252796	0.0373174	0.0164204	0.0157519	0.0154433	0.014303	0.00647263	0.00711415	0.00576203	0.00702572	0.006926	0.00621503	0.0102764	0.00978521	0.0360921
la	0.0354032	0.0183534	0.0144611	0.013928	0.0151015	0.0104502	0.00473464	0.00410773	0.00440078	0.00427548	0.00420323	0.0042622	0.00498096	0.0054429	0.00893313	0.0127542	0.0190921	0.0215971	0.0159291	0.0177359	0.0198721	0.0206589	0.0227584	0.019244	0.0243193	0.0146139	0.0176764	0.0170104	0.0175315	0.0163309	0.0335021	0.0299191	0.0350433	0.0265016	0.0445904	0.0374163	0.0305963	0.0262602	0.0486091	0.0266376	0.0312773	0.0265988	0.0144872	0.00800609	0.0116067	0.0127568	0.0155339	0.0165379	0.0167088	0.0237176	0.0220307	0.0314996
champignonnière	0.0197062	0.00948965	0.00682792	0.00570162	0.00444727	0.00427612	0.00253534	0.00274642	0.00347378	0.00347556	0.00417476	0.00539917	0.00485086	0.00507414	0.0100021	0.0150405	0.0229412	0.0289958	0.0247161	0.0241135	0.03016	0.0290915	0.0349778	0.0281173	0.0312629	0.0180287	0.0183833	0.0216741	0.0262583	0.0250606	0.0320875	0.0338861	0.0392361	0.0245897	0.0322113	0.0438922	0.0274194	0.015282	0.0366654	0.0247683	0.0287293	0.0195008	0.0134514	0.00893481	0.0115782	0.0118611	0.0160542	0.0151609	0.0164549	0.0213064	0.0187398	0.0371875
