 	m	v	u	l	u	l	ó	b	ó	n	d	a	m	o	r	o	l	á	a	y	a	a	a	p	é	n	d	í	i	k	á	b	h	e	</S>
l'	0.0106189	0.0102757	0.0158094	0.0266948	0.0248436	0.0187042	0.0185348	0.0273464	0.0281901	0.0447138	0.0566007	0.0574483	0.0673235	0.0755524	0.0647447	0.0708572	0.0342439	0.0231667	0.0213557	0.0199912	0.0200493	0.0180784	0.0155898	0.0156872	0.0161533	0.0129106	0.0116781	0.0112983	0.0147148	0.0279056	0.013553	0.0268828	0.0309463	0.0253523	0.0221844
antilope	0.0294278	0.0361909	0.0508534	0.0697151	0.0848558	0.0550844	0.132341	0.0457971	0.0306977	0.0302715	0.0641295	0.0470206	0.0614424	0.0395762	0.021961	0.0195594	0.013353	0.0151611	0.0194431	0.0117598	0.00733388	0.0078646	0.00839079	0.00695439	0.0060974	0.0127546	0.00715708	0.0160318	0.0190534	0.00896984	0.00717639	0.00858582	0.0026641	0.00111591	0.00120945
bondit	0.0736132	0.0632931	0.0404458	0.0241574	0.0283514	0.0211452	0.0435318	0.0208248	0.0117037	0.0170509	0.00970877	0.00928276	0.00703499	0.00726317	0.0101315	0.0138665	0.0434065	0.0375752	0.0339348	0.0187067	0.0330357	0.0292367	0.0316058	0.0681066	0.0389601	0.025249	0.0268618	0.024927	0.0254816	0.0474995	0.0186174	0.023436	0.0172686	0.0361095	0.0185764
à	0.0145926	0.0214442	0.0528937	0.0415555	0.0520358	0.0470117	0.0366083	0.020529	0.0156159	0.0259778	0.0261453	0.0258591	0.0273418	0.0212966	0.0358918	0.0346039	0.0392412	0.0311296	0.0391146	0.0363339	0.0340547	0.0285755	0.03124	0.0257863	0.0273556	0.0230605	0.0197599	0.0193081	0.0130166	0.0151826	0.0176717	0.0169021	0.0193832	0.0258095	0.0376716
l'	0.0613335	0.0455183	0.0374408	0.0312629	0.0326534	0.0289435	0.0239434	0.0187012	0.0153037	0.0184083	0.0242894	0.0256913	0.0198735	0.0156472	0.0161669	0.0179685	0.0218628	0.025663	0.0444081	0.0469332	0.0324325	0.024866	0.0330696	0.0301588	0.0238223	0.0243812	0.0342823	0.0228539	0.0218789	0.0206847	0.0158132	0.0262389	0.0275327	0.0340633	0.0559089
approche	0.0543611	0.0463415	0.0384022	0.0395827	0.0439348	0.0376533	0.0267207	0.019523	0.0112534	0.0121936	0.0195715	0.0195079	0.0160523	0.0124881	0.0194008	0.0208724	0.0335705	0.0553254	0.0563202	0.041548	0.0375953	0.0148921	0.0170036	0.0113738	0.014349	0.0106423	0.00978286	0.0244844	0.0326652	0.0313581	0.0305711	0.0278727	0.0320812	0.0359857	0.0447192
de	0.0531403	0.0491302	0.0364167	0.0292344	0.0248481	0.0274385	0.0201255	0.0286377	0.0301409	0.0227075	0.016119	0.0116604	0.0128007	0.0111202	0.0108566	0.00993186	0.0256053	0.0407975	0.0686141	0.0624531	0.0395885	0.0338649	0.0407732	0.0270264	0.0229895	0.00913469	0.0151179	0.00877243	0.0174396	0.0143893	0.013394	0.0301793	0.0307079	0.0432033	0.0616406
l'	0.11602	0.0764475	0.0399185	0.0278431	0.0228831	0.0208964	0.0165655	0.0157339	0.0177687	0.0144606	0.0196178	0.017988	0.0165472	0.0158807	0.00941359	0.00462453	0.00948082	0.0115292	0.0213526	0.0120859	0.0172159	0.0246912	0.0153665	0.0126891	0.0165077	0.00707146	0.00711521	0.0121456	0.0238274	0.0200983	0.0279021	0.0593723	0.0633198	0.0834618	0.102158
homme	0.216954	0.153939	0.0750157	0.0451479	0.0278345	0.0146473	0.00816549	0.0112469	0.0109074	0.00813397	0.0121618	0.0106436	0.010665	0.0137906	0.00830136	0.00675697	0.00765224	0.00783821	0.0113714	0.00608814	0.00788672	0.00834091	0.00452378	0.00291636	0.00527338	0.00313243	0.00122788	0.00188459	0.00317156	0.00413407	0.0053769	0.024013	0.0491499	0.0595641	0.152143
</S>	0.201745	0.119182	0.0776964	0.0637243	0.0487378	0.0256515	0.0108373	0.00990281	0.0114172	0.00591893	0.00649512	0.00590016	0.00590686	0.00603446	0.00596695	0.004354	0.00572766	0.00721397	0.00794182	0.0054681	0.00545254	0.00635363	0.00471408	0.00757305	0.00672285	0.0121561	0.00411252	0.0175152	0.0100339	0.00835351	0.011708	0.0342452	0.041262	0.0532666	0.140708
