 	w	a	a	m	i	k	a	n	á	e	d	z	é	s	á	m	ó	b	ó	y	a	m	i	p	i	a	l	á	a	b	v	u	a	</S>
il	0.0527568	0.120166	0.264395	0.272338	0.161446	0.0400872	0.016424	0.0144698	0.00803058	0.00966248	0.00983693	0.00490798	0.00634774	0.00305098	0.00133375	0.000794525	0.000349117	0.000421442	0.00038474	0.000393806	0.000261893	0.000381306	0.000620822	0.000675845	0.000844427	0.00105097	0.0010988	0.00118757	0.00116764	0.00123803	0.00118154	0.00114804	0.000946189	0.00060068
a	0.0109717	0.00377803	0.00204423	0.00455346	0.00249279	0.00395532	0.00629043	0.0273672	0.0426734	0.0523041	0.0563576	0.0777716	0.0600986	0.0723537	0.0353672	0.0452357	0.0328226	0.0249509	0.0225225	0.0433899	0.0295224	0.0560939	0.0467912	0.060094	0.0268838	0.0481256	0.0250677	0.0204674	0.0102483	0.0115101	0.00920605	0.00902712	0.00843485	0.0112265
mis	0.00620108	0.00870331	0.00828886	0.00938327	0.0110218	0.0118536	0.0108302	0.00961495	0.0137238	0.0326368	0.0331892	0.0470818	0.0410795	0.0281078	0.0234451	0.0194952	0.0247147	0.0238072	0.0357355	0.0432454	0.0539972	0.0698608	0.0839042	0.076106	0.06109	0.0455942	0.0335518	0.0349083	0.021607	0.0176242	0.0150087	0.0145694	0.0171448	0.0128744
un	0.00705048	0.00902781	0.0104666	0.0212507	0.0170708	0.0166763	0.0133248	0.0186969	0.0134482	0.0162452	0.0182971	0.0187046	0.0168812	0.0200814	0.0289008	0.0336472	0.0449423	0.0491828	0.060535	0.0609505	0.0724183	0.0767133	0.0590929	0.0543328	0.0346603	0.0284617	0.0196646	0.0217608	0.0218134	0.0200098	0.0160791	0.0201188	0.0231413	0.0363523
appât	0.00657616	0.00645358	0.00709625	0.006262	0.00636656	0.00690631	0.00840447	0.00978449	0.0137278	0.0193869	0.0187737	0.0350286	0.0334729	0.0266666	0.0380334	0.0359434	0.0341319	0.0388619	0.0360819	0.0382743	0.0379419	0.0365043	0.0383256	0.0372063	0.0356091	0.0427453	0.0546352	0.0436328	0.0401149	0.0390526	0.0449433	0.0373969	0.0377983	0.0478604
sur	0.00521632	0.003512	0.00385622	0.00368893	0.00661424	0.0074597	0.00866345	0.0110681	0.0133646	0.0137274	0.0156845	0.0148753	0.0147873	0.0179394	0.0184844	0.0210703	0.0240729	0.0317354	0.0315674	0.038031	0.0418515	0.0350615	0.03659	0.0387995	0.0366663	0.0490142	0.0552438	0.0584102	0.0594135	0.0545142	0.0536987	0.0481677	0.0578547	0.0692955
le	0.0121156	0.0163444	0.0125576	0.0092825	0.0103519	0.0182233	0.0203173	0.0218744	0.0222877	0.0236088	0.0245938	0.0295811	0.0305003	0.0221308	0.0243817	0.020718	0.0199647	0.023233	0.0241313	0.0300222	0.0360585	0.0452749	0.0414459	0.0382447	0.0319681	0.0305957	0.0297087	0.0324285	0.0301632	0.0327783	0.0345929	0.0483579	0.0591602	0.0930021
piège	0.0202088	0.0199163	0.0202879	0.0181732	0.0183725	0.0216232	0.0238698	0.0195387	0.0176254	0.0171719	0.0116867	0.0108473	0.010785	0.0103298	0.0105667	0.0119862	0.0122923	0.015583	0.0210008	0.0257597	0.0280752	0.0264148	0.0237071	0.0213972	0.0188579	0.034436	0.039836	0.045062	0.0569906	0.0627207	0.0474954	0.0748889	0.0822858	0.100207
pour	0.0146884	0.0123537	0.0172838	0.0193646	0.0145324	0.0178236	0.0113462	0.0165482	0.0153369	0.016883	0.0200369	0.0248882	0.0243234	0.0218923	0.0234363	0.0221779	0.0216013	0.0165627	0.0163405	0.0190585	0.022084	0.0251935	0.0226215	0.0298832	0.0308462	0.0340053	0.0304788	0.0353477	0.0364144	0.0591828	0.0494039	0.0781017	0.0852508	0.0947077
attraper	0.020733	0.0164186	0.021726	0.0258355	0.0213402	0.0172718	0.0118906	0.0125679	0.0106996	0.00810736	0.00570968	0.00581824	0.00907993	0.0094849	0.0103492	0.0103375	0.0106981	0.011538	0.0150104	0.0184609	0.0255004	0.0252849	0.0211237	0.0187035	0.0253749	0.0432462	0.0507268	0.063716	0.0485873	0.0654078	0.0577011	0.0728377	0.0973377	0.111375
les	0.021389	0.0174989	0.0222157	0.0242249	0.0221978	0.0199479	0.0125665	0.0146091	0.0136044	0.0122041	0.0115089	0.00998779	0.0156841	0.0120392	0.0141185	0.012345	0.0128057	0.0143723	0.0144702	0.0186841	0.0254909	0.0280264	0.026719	0.0273911	0.0288521	0.0433756	0.044015	0.0532715	0.0469324	0.0597572	0.0529264	0.0690917	0.083582	0.0940948
rats	0.0141987	0.0131731	0.0142467	0.0155748	0.0135097	0.0119784	0.00774497	0.00798162	0.00686866	0.00705624	0.00565586	0.00658999	0.00737398	0.00765984	0.00916683	0.0134536	0.0184693	0.0222064	0.0227825	0.0275901	0.035047	0.0382605	0.0362251	0.0350439	0.0433529	0.0528739	0.0574435	0.0629864	0.0555653	0.0603933	0.0583031	0.0633183	0.0695501	0.0783555
</S>	0.0102254	0.00939666	0.0113285	0.0129521	0.0100864	0.00988571	0.00633533	0.007222	0.00666522	0.00691628	0.00631963	0.00659577	0.00745945	0.00678742	0.00847408	0.0126145	0.0174882	0.0199829	0.0217461	0.0301706	0.0440279	0.0519051	0.0515415	0.0494934	0.0602011	0.0706384	0.0701826	0.0641635	0.0418938	0.0449961	0.0423974	0.0485024	0.0589727	0.0724318
