 	é	d	í	ω	d	z	á	w	a	m	o	r	o	y	ε	ε	b	έ	r	í	n	g	á	k	a	á	é	d	í	o	s	ú	s	u	w	ú	u	</S>
ce	0.012252	0.013029	0.00894138	0.00960857	0.0115969	0.0128076	0.0132273	0.0563806	0.0572721	0.0383628	0.0325248	0.0419281	0.0464041	0.041853	0.0225163	0.0222575	0.0219431	0.0194559	0.023069	0.0886884	0.0529039	0.0806065	0.0160977	0.0359944	0.0150205	0.0130864	0.0119113	0.0208789	0.0190999	0.0179903	0.0187172	0.0116192	0.0174979	0.019075	0.0115988	0.0159045	0.0153605	0.0125185
n'	0.111954	0.0820007	0.0812484	0.101205	0.0775377	0.113568	0.0377657	0.0221651	0.0443035	0.0340868	0.0320575	0.0341571	0.0340821	0.0203165	0.00779255	0.00731157	0.00489289	0.00352391	0.00571577	0.0113766	0.0090078	0.0138819	0.00836064	0.0108395	0.00668969	0.0137026	0.0138727	0.0139906	0.0148573	0.00428924	0.00784368	0.00437678	0.00339239	0.00291084	0.000943353	0.00222468	0.000657443	0.00109729
est	0.0572129	0.0424477	0.0413253	0.026661	0.0208262	0.0158135	0.0129566	0.00461032	0.00538043	0.00721459	0.0146029	0.0100575	0.0135632	0.0156217	0.0320813	0.0424415	0.0696116	0.105463	0.113859	0.0640305	0.0686781	0.0371814	0.0402007	0.0228202	0.0140615	0.00856088	0.00980151	0.00602519	0.00703396	0.00906784	0.00508377	0.00724529	0.00724021	0.00791924	0.00814265	0.00912553	0.00761837	0.0084125
pas	0.0471155	0.0496064	0.0397304	0.0324206	0.0219211	0.0202486	0.0193714	0.0138505	0.0137196	0.0143951	0.0215943	0.0140355	0.0142518	0.0188526	0.0470647	0.0366726	0.0472731	0.0432425	0.0786094	0.0806852	0.077412	0.0770488	0.0348475	0.0272631	0.0122415	0.0141875	0.00614921	0.00565597	0.00707873	0.00778598	0.00638913	0.010145	0.00719295	0.00574163	0.00253225	0.00376873	0.00577585	0.0141234
lui	0.00509337	0.00540054	0.00560428	0.00573241	0.00609814	0.00658227	0.00674494	0.00286298	0.00317452	0.00410504	0.00427493	0.00607807	0.00751014	0.0141229	0.0249327	0.0334429	0.0626863	0.0527018	0.0677853	0.0719781	0.0624233	0.0542191	0.0910435	0.0738215	0.0557952	0.0438946	0.0343458	0.0222765	0.0295997	0.0210903	0.0273343	0.028339	0.0224228	0.00687016	0.00528733	0.00861217	0.00634393	0.00936955
qui	0.0113405	0.0111364	0.0101195	0.0132175	0.0186042	0.0231924	0.0248246	0.0101326	0.0123831	0.0221969	0.0255736	0.0277866	0.0314939	0.0316568	0.0345749	0.0464357	0.0427193	0.0441892	0.0349248	0.038464	0.0296362	0.0277427	0.0410373	0.0313386	0.0295466	0.0219758	0.0142312	0.0235788	0.0185419	0.024327	0.0257078	0.031695	0.0332603	0.0207319	0.0200676	0.023746	0.0235075	0.0443612
m'	0.0174323	0.017122	0.0155894	0.0168298	0.0198811	0.0206128	0.0200568	0.0146922	0.0153244	0.0252515	0.0225747	0.0223939	0.0211291	0.0182211	0.0236233	0.022175	0.0242347	0.02256	0.0229021	0.0261483	0.0166514	0.0119728	0.0200419	0.018817	0.0252365	0.0210899	0.023678	0.030471	0.0308969	0.0487224	0.0517014	0.040612	0.046955	0.0248531	0.0179054	0.0318399	0.0345874	0.0952134
a	0.0480803	0.0280079	0.0256395	0.0252086	0.0272478	0.0275933	0.0236924	0.0235733	0.0248872	0.0228487	0.0201297	0.0331638	0.025652	0.0241503	0.0304253	0.0207002	0.0316199	0.0200032	0.029515	0.0424335	0.0324688	0.0396458	0.0231171	0.0272635	0.0123666	0.0121477	0.00565987	0.00912032	0.01766	0.0142918	0.0179049	0.0232123	0.0269835	0.0286824	0.00874536	0.0283322	0.0323697	0.0854567
battu	0.100319	0.047877	0.0364917	0.0223454	0.0196577	0.0169022	0.0134925	0.0138658	0.0137861	0.00937404	0.0123405	0.0177468	0.0152724	0.0126988	0.0201213	0.0126876	0.0159981	0.013542	0.0225694	0.0237067	0.0335841	0.036665	0.0151194	0.0253405	0.0163379	0.0190973	0.0122282	0.0129851	0.0199486	0.0138339	0.0253112	0.0383484	0.0337075	0.0478912	0.0161274	0.0513976	0.0450769	0.0762045
c'	0.0769344	0.0440673	0.0406595	0.0277142	0.0196151	0.0101281	0.00777514	0.00564411	0.00585222	0.00456792	0.00848612	0.00872306	0.0113842	0.0138326	0.0256688	0.016694	0.0228613	0.0183215	0.0350118	0.0415465	0.0511549	0.059131	0.0235066	0.0373151	0.0231592	0.02775	0.0281252	0.0169156	0.0236315	0.0246307	0.0259596	0.029995	0.0258193	0.0295751	0.0200308	0.0320185	0.0317763	0.0440176
