 	b	v	ú	s	á	w	á	á	ó	b	h	í	n	d	í	p	o	o	é	b	h	i	s	á	l	e	k	u	u	l	ú	</S>
à	0.0320564	0.0116947	0.0110161	0.0125625	0.0231085	0.0251254	0.0417774	0.0418537	0.0439024	0.0407624	0.057555	0.0632043	0.0504241	0.046182	0.0437432	0.0477842	0.0405409	0.0371854	0.028553	0.0291412	0.0177499	0.0355756	0.0211661	0.0204477	0.0244481	0.0303751	0.0184951	0.03017	0.0237453	0.016881	0.0183199	0.0144534
la	0.0836698	0.116385	0.130206	0.106474	0.0272969	0.0415202	0.0280281	0.0315687	0.0361731	0.0163672	0.0108063	0.0196653	0.0209997	0.0114483	0.0104779	0.00951609	0.0155769	0.0494563	0.00686201	0.00785659	0.0070033	0.0373131	0.0133832	0.00847735	0.0155814	0.0226676	0.0152534	0.034911	0.0125035	0.011235	0.0234082	0.0179088
tombée	0.0278503	0.0420591	0.041875	0.0228023	0.0584552	0.0658658	0.0555427	0.051466	0.0673598	0.0726941	0.0451571	0.0302212	0.0390471	0.0317216	0.0353276	0.0466228	0.0344289	0.0444909	0.0298566	0.0244581	0.0138124	0.0249689	0.00935183	0.0088581	0.0124464	0.0128496	0.00780471	0.0140391	0.006707	0.00722408	0.00627583	0.00835998
de	0.0571912	0.0708739	0.0694981	0.0573237	0.0264187	0.0214173	0.0417755	0.02639	0.023732	0.035646	0.0810007	0.0484956	0.102318	0.0786631	0.0378952	0.0287983	0.0138716	0.0165366	0.0235962	0.0225064	0.0118989	0.0104159	0.00742708	0.0091136	0.0096456	0.00754521	0.00808762	0.00955679	0.00715399	0.00632618	0.0107434	0.0181373
la	0.0243185	0.0297182	0.0326925	0.0464722	0.0449726	0.0325304	0.0294362	0.0243219	0.0171923	0.0305198	0.0247059	0.0236174	0.0400948	0.0306494	0.0248912	0.0202442	0.0397366	0.0402307	0.0439066	0.0346737	0.0283973	0.0374893	0.0320778	0.0281769	0.0222261	0.0240955	0.0259531	0.0246165	0.0265641	0.025173	0.0387357	0.0515695
nuit	0.0820917	0.0592793	0.0487406	0.0937394	0.0713458	0.0441201	0.0371254	0.0261485	0.0315152	0.0245036	0.0222171	0.0158185	0.0192242	0.0285519	0.0152611	0.0212952	0.0220052	0.0301704	0.028011	0.0188456	0.0158251	0.0203323	0.0183147	0.0201533	0.0168169	0.0182858	0.0170948	0.0161918	0.0176291	0.0189217	0.0308537	0.0495707
tout	0.0216205	0.0180303	0.018289	0.0303375	0.0334455	0.0270942	0.0275733	0.0252353	0.0383493	0.0326512	0.0214124	0.0135541	0.0278543	0.0209375	0.0215646	0.0229412	0.0338547	0.044575	0.0349912	0.0256475	0.0249537	0.0444215	0.0266893	0.0272623	0.0264297	0.0380629	0.0303951	0.0355761	0.0365088	0.0403132	0.0551621	0.0742667
le	0.0298562	0.0223476	0.0218432	0.0242731	0.0293051	0.0283651	0.0231105	0.0128958	0.0134929	0.0194545	0.0195681	0.0101633	0.0150592	0.0118184	0.0154151	0.00989749	0.0278162	0.0380721	0.0461794	0.0468363	0.0325589	0.0500907	0.0237715	0.0320831	0.030675	0.0476873	0.0342319	0.039852	0.0396233	0.0581431	0.0701184	0.0753953
village	0.0949569	0.0592959	0.0393478	0.026839	0.0126448	0.0143672	0.0134497	0.012442	0.0117984	0.0244796	0.0184892	0.0136101	0.0309668	0.0331838	0.024082	0.0131405	0.0209834	0.0330241	0.0253007	0.0268097	0.0203206	0.0244816	0.0123693	0.0186497	0.0162591	0.028663	0.0187219	0.0248575	0.033218	0.0360777	0.0841452	0.133025
est	0.0698248	0.0517849	0.0426248	0.0267937	0.0116011	0.0122206	0.0164632	0.00816171	0.00373225	0.00902006	0.00289749	0.00407413	0.00723356	0.00680753	0.00826786	0.0208175	0.029357	0.0439629	0.0408875	0.0364593	0.0327708	0.0465232	0.0316356	0.0367461	0.0400631	0.0360241	0.0431511	0.0535832	0.0430198	0.04881	0.0543848	0.0802964
dans	0.0530747	0.0332972	0.0238884	0.0201672	0.0105228	0.00889357	0.00875682	0.00764589	0.00687987	0.009325	0.00582076	0.00386535	0.0103868	0.0101999	0.0180427	0.0120731	0.0244633	0.0306256	0.0301316	0.0292251	0.0320471	0.0423641	0.0199668	0.0285226	0.0338431	0.0540699	0.0434693	0.0560051	0.0573609	0.072361	0.0927076	0.109997
l'	0.0304604	0.0253284	0.020469	0.0189201	0.0165842	0.0161871	0.0168878	0.0136038	0.00982623	0.0110641	0.00425602	0.00355105	0.0109836	0.00582843	0.0115537	0.0146197	0.0281556	0.0352824	0.0284271	0.0231773	0.0343357	0.0565082	0.0484863	0.0355544	0.0429101	0.0530842	0.0566457	0.0611068	0.0592556	0.0642365	0.0681908	0.0745195
obscurité	0.0246928	0.0154825	0.0125017	0.0111634	0.00809348	0.00774736	0.00642077	0.00549434	0.00541534	0.00598681	0.0036932	0.0023236	0.00656466	0.00565162	0.0133204	0.0114147	0.0240643	0.0335589	0.0365351	0.0340859	0.0350654	0.0505239	0.0367803	0.0499107	0.0577362	0.0701727	0.0584763	0.063191	0.0679452	0.0608346	0.0828778	0.092275
</S>	0.0620714	0.0421508	0.0300427	0.0207579	0.0127657	0.00851524	0.0089803	0.00834194	0.00789486	0.00902561	0.00875141	0.00734501	0.00952442	0.0104571	0.0148592	0.0164016	0.033338	0.0337003	0.0353369	0.0414543	0.0440332	0.0354781	0.0391691	0.0465127	0.0367623	0.0379585	0.034324	0.0383209	0.040736	0.0510365	0.0639286	0.110025
