 	n	g	á	í	m	o	k	i	n	d	á	n	y	ω	m	b	ώ	</S>
je	0.160301	0.359464	0.226082	0.0864773	0.0136801	0.0110919	0.00868652	0.00896427	0.00709057	0.00630358	0.00818416	0.0198291	0.0211699	0.0146228	0.012564	0.0125828	0.0127696	0.0101365
recherche	0.231986	0.0954505	0.16057	0.094791	0.0461769	0.0342395	0.0226186	0.0452508	0.0271586	0.0239509	0.0236919	0.0279766	0.0306049	0.0246779	0.01757	0.016894	0.0237618	0.0526307
la	0.0974316	0.0631294	0.0478395	0.0583519	0.0550919	0.0567917	0.0465019	0.038712	0.049463	0.0521241	0.0789743	0.087379	0.0711685	0.0518695	0.0556026	0.0349396	0.0319774	0.0226521
vase	0.0125341	0.00682891	0.0103404	0.0317277	0.0373003	0.0892489	0.0935408	0.0729657	0.0905205	0.0859231	0.109091	0.118463	0.074955	0.0318049	0.0290427	0.026709	0.0297747	0.0492295
du	0.0216294	0.0284997	0.0286719	0.0278977	0.0369252	0.0389564	0.0426597	0.0467488	0.0387542	0.0313115	0.03796	0.0722916	0.0638119	0.0794345	0.0889996	0.0912668	0.095526	0.128655
protoptère	0.013625	0.0153312	0.0162047	0.0171547	0.0171461	0.0199842	0.0214657	0.025991	0.0299898	0.0281506	0.053493	0.102063	0.0839113	0.101079	0.100173	0.111484	0.110114	0.13264
avec	0.196071	0.164039	0.0433223	0.021507	0.0190013	0.0181687	0.0169077	0.0167286	0.0194324	0.0204099	0.0257825	0.0544121	0.0532566	0.0561246	0.0582133	0.0596541	0.0672336	0.0897354
le	0.121422	0.0737248	0.0349721	0.0245867	0.0338139	0.0273709	0.0182348	0.0182589	0.0177858	0.0147026	0.01872	0.0440359	0.0529249	0.0717619	0.0867075	0.0844297	0.0991891	0.157359
harpon	0.0583286	0.0539996	0.0541096	0.0569183	0.0483216	0.0283219	0.0116887	0.0139483	0.0113505	0.0108235	0.016773	0.0508766	0.0754175	0.104831	0.10808	0.0960152	0.0949871	0.105209
</S>	0.119912	0.0713782	0.0432094	0.0439331	0.0328491	0.0241756	0.012891	0.0147681	0.0185175	0.020608	0.021493	0.0333408	0.0276788	0.0516097	0.0660878	0.0662587	0.105649	0.22564
