 	w	a	b	ó	l	á	a	b	o	n	d	z	á	e	b	h	e	s	é	m	í	d	i	a	l	ó	s	ω	ω	</S>
il	0.0664517	0.176266	0.276392	0.253284	0.142947	0.0369871	0.0137551	0.00487838	0.00141615	0.00169521	0.00149385	0.00167729	0.00151605	0.00117954	0.00139547	0.00135161	0.00132181	0.00128006	0.00123569	0.00140901	0.00140896	0.00140989	0.00141763	0.00150403	0.00104093	0.00116602	0.00119979	0.000864545	0.00121001	0.000845927
casse	0.0104324	0.0127169	0.0144084	0.011896	0.0149886	0.0170333	0.0621908	0.0808578	0.108155	0.137661	0.115514	0.130631	0.0677594	0.0357929	0.0230355	0.0164632	0.0126949	0.0095083	0.00538063	0.0040743	0.0033035	0.0123199	0.0167482	0.0176821	0.0146607	0.0156929	0.00848694	0.00600036	0.00580506	0.00810583
l'	0.0159172	0.0349006	0.0411664	0.031668	0.0301494	0.0281032	0.0206842	0.0222665	0.0237938	0.0282858	0.0217387	0.0227189	0.0218962	0.0470387	0.0544551	0.0480552	0.0669551	0.0596914	0.0402629	0.038327	0.0362466	0.0408319	0.0290006	0.0183252	0.0195431	0.0292712	0.0256083	0.0290228	0.0492939	0.0247822
os	0.00243813	0.00281029	0.00278553	0.00271813	0.00246512	0.00304359	0.00416448	0.00617438	0.00787272	0.012642	0.0158349	0.0239674	0.0264945	0.0341216	0.0302954	0.0393791	0.049638	0.0660603	0.0510451	0.0441112	0.0447321	0.0404931	0.0483978	0.0752868	0.0825567	0.05254	0.0843043	0.0623495	0.0415954	0.0396825
pour	0.00399993	0.00337149	0.00501275	0.00463895	0.00448077	0.00469107	0.00576245	0.00974197	0.0130056	0.0176588	0.0147275	0.0196197	0.017859	0.0277921	0.0227213	0.0263358	0.0657454	0.0569276	0.0690626	0.0443453	0.0528848	0.0416871	0.0397744	0.0419802	0.0515949	0.0558615	0.0608682	0.0639846	0.0609137	0.0929506
avoir	0.0437018	0.0338737	0.0374791	0.0354155	0.0337353	0.0345036	0.0216631	0.0269219	0.0229618	0.0229137	0.0314939	0.041767	0.0362337	0.0345859	0.0407731	0.0385069	0.0364833	0.0378725	0.0259325	0.0220013	0.0205455	0.0331745	0.0421278	0.0308112	0.0357636	0.0420039	0.0402296	0.0412614	0.0228805	0.0323823
de	0.0455988	0.0435162	0.0439697	0.0437296	0.0451374	0.0418195	0.0205408	0.0211562	0.0184489	0.0157863	0.0168644	0.0188843	0.014925	0.0187811	0.0207656	0.0199239	0.0271365	0.023525	0.026728	0.0202568	0.0227634	0.0194248	0.0299315	0.0298232	0.0364115	0.0450182	0.0510785	0.0568821	0.067246	0.0939268
la	0.0137961	0.0157803	0.0193465	0.0167434	0.0147948	0.0138636	0.0133295	0.0174506	0.0121562	0.0198991	0.0171999	0.0189826	0.0188197	0.0179284	0.0180349	0.0173091	0.0255289	0.0262032	0.0277837	0.0247078	0.0305568	0.0288316	0.0363824	0.0530894	0.0637664	0.0792611	0.0789815	0.0832861	0.0796602	0.0965261
moëlle	0.00665162	0.00615416	0.00737366	0.00758665	0.00611323	0.00523175	0.00652747	0.00753387	0.00940655	0.0111038	0.00813439	0.0114382	0.0102436	0.0151078	0.0103161	0.0142936	0.034904	0.0317263	0.0445331	0.033515	0.0469261	0.034379	0.0341896	0.0308406	0.0477269	0.0771389	0.0960034	0.113868	0.085695	0.145338
</S>	0.0131563	0.0161062	0.0173719	0.0166732	0.0174134	0.0209862	0.020822	0.0234402	0.0263485	0.0303683	0.0294655	0.0353242	0.0278577	0.0359196	0.0289933	0.0326126	0.0335268	0.0273822	0.0350301	0.0175996	0.0300853	0.0201093	0.0196747	0.0123705	0.0181086	0.0316046	0.0343188	0.0708845	0.0615948	0.194851
