 	é	d	í	ω	n	g	a	n	g	a	ω	b	v	έ	m	ó	i	f	ú	n	d	ú	b	v	ú	a	</S>
c'	0.165277	0.183165	0.104017	0.0426676	0.0354176	0.0572832	0.0322391	0.0303776	0.0225489	0.041541	0.0302121	0.0450891	0.0174826	0.0119871	0.0102047	0.0107298	0.0117928	0.0105286	0.0104766	0.0108799	0.014716	0.0123903	0.0140058	0.0141349	0.018477	0.0226907	0.0196673
est	0.0632708	0.0363753	0.036081	0.0316096	0.02818	0.032529	0.0411381	0.0453327	0.0215679	0.0208973	0.0339717	0.0377491	0.0564652	0.0476931	0.0798722	0.0561843	0.0682627	0.0536586	0.0405477	0.0343439	0.0299714	0.0240585	0.026358	0.0181041	0.0145305	0.0131869	0.00806037
un	0.180942	0.24349	0.0821817	0.0386921	0.0228565	0.0451925	0.0421907	0.0208131	0.0320576	0.0144758	0.0101006	0.0193033	0.011166	0.0225564	0.0157808	0.0126959	0.011792	0.0203471	0.0198154	0.0116866	0.00840719	0.0109465	0.00938301	0.0125364	0.0131467	0.014662	0.0527821
bon	0.0191031	0.0341488	0.0482351	0.0628536	0.0483298	0.0752748	0.0262071	0.0446255	0.0432801	0.0210671	0.029674	0.0118836	0.00613891	0.0329344	0.0441567	0.0355617	0.039019	0.0364614	0.0368954	0.0496335	0.0368807	0.0430532	0.0384024	0.0298152	0.0295306	0.0210631	0.0557711
remède	0.0491194	0.0422684	0.0230042	0.017649	0.0161557	0.0173979	0.016005	0.0218145	0.0506189	0.030763	0.0173929	0.021373	0.0213853	0.028088	0.0842545	0.09422	0.0953797	0.0539757	0.0371657	0.0339233	0.0330913	0.0326083	0.0311977	0.0209937	0.0184362	0.0237662	0.0679523
pour	0.0375699	0.0229505	0.0181822	0.0210431	0.0239272	0.0205547	0.0236715	0.0210128	0.0202761	0.0235815	0.0162386	0.0112948	0.0101624	0.0124644	0.0278952	0.0318072	0.0493655	0.03821	0.0427293	0.0488669	0.0498256	0.0628852	0.0576806	0.0597923	0.0643277	0.0586921	0.124993
les	0.0647175	0.0439379	0.0482305	0.0449504	0.0457167	0.0482457	0.0478652	0.040821	0.0324087	0.0277708	0.0165934	0.0130543	0.00822126	0.0125506	0.0249272	0.0279442	0.0394281	0.0283445	0.0288588	0.0319737	0.0330584	0.0383813	0.0369668	0.0385562	0.0407415	0.0398231	0.0959122
maux	0.049546	0.0384407	0.041532	0.0395862	0.03529	0.0250535	0.0131804	0.0116133	0.00990051	0.00469296	0.0036855	0.00446709	0.00683155	0.0192326	0.0458181	0.0653202	0.0680583	0.079281	0.0582323	0.0487781	0.0343223	0.0361183	0.0371873	0.0351912	0.0492222	0.050313	0.0891055
de	0.0980937	0.0619493	0.0320306	0.0219322	0.0195794	0.0153554	0.0144052	0.0165805	0.0101936	0.0040502	0.00354812	0.00403309	0.0064848	0.0125068	0.0515957	0.0776674	0.0690411	0.0851475	0.0450663	0.0386295	0.0139471	0.0189755	0.0282622	0.0273088	0.050227	0.0490426	0.124346
ventre	0.0532266	0.0321128	0.024709	0.0145315	0.0113439	0.0106682	0.00981506	0.0109094	0.00987639	0.00361024	0.00218192	0.00199639	0.00239383	0.005309	0.0180998	0.0252605	0.0284207	0.0410816	0.0419235	0.0410673	0.040525	0.0604725	0.0718544	0.0879578	0.0938634	0.0958606	0.160929
</S>	0.0875324	0.051126	0.0315578	0.0159103	0.014012	0.0163319	0.0115944	0.0102889	0.00527345	0.00320897	0.00307093	0.00348268	0.00350699	0.00781617	0.0171058	0.0234013	0.0266918	0.0489639	0.0547535	0.0490706	0.0307055	0.0448623	0.0484785	0.0562478	0.0792971	0.0685246	0.187184
