 	y	a	á	n	g	á	l	o	t	u	t	u	b	h	a	b	a	á	í	y	á	á	l	a	n	d	z	ó	r	o	</S>
apporte	0.0178869	0.0120229	0.0258481	0.0499718	0.0330569	0.0322637	0.0385741	0.0887482	0.027792	0.0290235	0.0376986	0.048807	0.0351832	0.0503961	0.0383473	0.041586	0.0376738	0.0617527	0.0501431	0.0366634	0.0515895	0.0298557	0.0290172	0.0173164	0.0198546	0.0232922	0.0110413	0.00815623	0.00583792	0.00515785	0.00544158
moi	0.0429077	0.068621	0.0329837	0.0349795	0.0422878	0.0267629	0.0321075	0.0246564	0.0644126	0.0333023	0.0308084	0.0308627	0.0419818	0.0311187	0.0361277	0.0503506	0.0472017	0.0537325	0.0467787	0.0501744	0.0352031	0.0426972	0.0388905	0.0166712	0.0176231	0.00740298	0.00437344	0.00330088	0.00325897	0.00353138	0.00488893
la	0.0232973	0.0136289	0.0111881	0.0106633	0.0157669	0.0223101	0.0113966	0.0130392	0.022203	0.0273753	0.0329447	0.0364153	0.0279149	0.0363477	0.0352834	0.0520244	0.0678451	0.0599954	0.0664655	0.0800749	0.0618446	0.0595194	0.0525914	0.0489579	0.0199185	0.0148104	0.0112571	0.0183893	0.0111146	0.0206382	0.0147787
serviette	0.0661291	0.0459675	0.0247202	0.0258199	0.0349997	0.0424424	0.0343591	0.0279224	0.0451382	0.0684527	0.0451036	0.0371997	0.0280053	0.0260178	0.0323928	0.0364684	0.0264948	0.05955	0.0460545	0.0342546	0.0234594	0.029851	0.0362511	0.0182147	0.00806208	0.00709269	0.00725465	0.0128299	0.0118708	0.0237818	0.0338393
pour	0.0612293	0.0276047	0.0224391	0.0178257	0.0127862	0.0207625	0.0122228	0.00830863	0.00633027	0.00601227	0.0102961	0.0105412	0.0041176	0.00577791	0.00655082	0.00770638	0.0227311	0.0598446	0.0601191	0.10092	0.0653606	0.108363	0.0956214	0.0384543	0.0187179	0.0158993	0.0202981	0.0264388	0.0208443	0.0411868	0.0646891
que	0.0531444	0.0274528	0.0227201	0.0204873	0.0225735	0.0209906	0.0192187	0.0178879	0.0141756	0.0100713	0.0117902	0.0126865	0.0109132	0.0125436	0.0172464	0.0180589	0.0224321	0.0350263	0.0393822	0.0555388	0.0692743	0.0804048	0.0736239	0.0576422	0.0323296	0.020389	0.0211735	0.0198737	0.0442338	0.0434421	0.0732723
je	0.0374209	0.0240478	0.022262	0.0227734	0.0238095	0.0209436	0.0192473	0.0197948	0.0189606	0.016483	0.0171183	0.0168215	0.0126593	0.0148827	0.0132825	0.0157609	0.0280299	0.0404504	0.0391026	0.0487436	0.0460814	0.0509449	0.0546577	0.0374296	0.0275143	0.0352458	0.0312583	0.0433621	0.0515553	0.0583878	0.0909681
puisse	0.0223759	0.0168148	0.0146638	0.0140672	0.0160266	0.013886	0.0110662	0.015291	0.0103844	0.0103138	0.013372	0.0197381	0.0185937	0.0217489	0.0216529	0.0276742	0.033156	0.0349081	0.0363962	0.0464763	0.0595379	0.0732338	0.0753174	0.0722799	0.0439231	0.0314782	0.0311138	0.040372	0.0372822	0.0460695	0.0707863
m'	0.0411248	0.021859	0.0137254	0.0107723	0.0105299	0.00812052	0.0127647	0.020303	0.01672	0.0197199	0.0214206	0.0359689	0.0347811	0.0344027	0.0339079	0.0322046	0.0442229	0.0291988	0.0432521	0.0376112	0.0415002	0.0562658	0.0790216	0.0635392	0.0397975	0.0225967	0.0247528	0.021962	0.0307022	0.0427414	0.0545103
essuyer	0.0419209	0.0306621	0.0219489	0.020208	0.0178123	0.012344	0.0102134	0.0102826	0.0107135	0.0102628	0.00917012	0.0111507	0.010998	0.010929	0.0112638	0.0147808	0.0257222	0.0318423	0.0328427	0.035039	0.0367055	0.0520093	0.0556587	0.0336286	0.0417153	0.0488978	0.0636707	0.0589079	0.0716188	0.077297	0.0797833
</S>	0.0917492	0.044691	0.0393392	0.0343546	0.0242471	0.0185667	0.0154705	0.00926764	0.0107139	0.0120301	0.00969974	0.00786772	0.00858216	0.00740614	0.00569544	0.00676776	0.0128658	0.012848	0.013643	0.0166123	0.0158854	0.0214147	0.0249421	0.0245727	0.0268506	0.0287045	0.0474889	0.0541905	0.0766933	0.10488	0.17196
