 	á	k	y	é	n	í	s	á	w	á	o	k	i	a	b	á	n	d	z	ω	i	ó	n	g	a	é	</S>
on	0.220274	0.238845	0.15606	0.019098	0.00890105	0.0131961	0.0177645	0.0198222	0.0175359	0.0187262	0.0255386	0.0229876	0.0256323	0.0276135	0.0217655	0.0208694	0.017823	0.0167394	0.0113854	0.012	0.00835081	0.00996909	0.00781353	0.0102657	0.00989715	0.00995545	0.0111704
l'	0.0341662	0.0348433	0.0300299	0.0624757	0.0689585	0.0640069	0.0619307	0.0451699	0.0385536	0.0336451	0.0813912	0.0426785	0.0482965	0.0504127	0.0537125	0.0384045	0.0337682	0.0235199	0.0325147	0.0316879	0.0258639	0.0187469	0.00830478	0.00613126	0.00849272	0.0097913	0.0125026
avait	0.0450077	0.0377911	0.0387976	0.056494	0.0648023	0.050338	0.0379895	0.0758782	0.120987	0.0466438	0.0352179	0.0487051	0.0351483	0.030373	0.0202007	0.024065	0.0253074	0.0238828	0.0243008	0.0344815	0.0232534	0.0227793	0.0167462	0.0127468	0.0138765	0.0140422	0.0201436
initié	0.0219342	0.0265031	0.0258768	0.0441417	0.0479575	0.043404	0.03703	0.0417289	0.0664111	0.0685461	0.0530405	0.0585076	0.0442856	0.0430926	0.0321464	0.0238638	0.0370296	0.0331802	0.0499927	0.0395791	0.0225656	0.0295997	0.0236855	0.0146651	0.0118904	0.018536	0.0408059
à	0.0153612	0.0179514	0.0135281	0.0267621	0.033531	0.034567	0.0353419	0.0353803	0.0354174	0.0354461	0.0343994	0.0327966	0.0264841	0.0223741	0.0213553	0.0254497	0.0302206	0.0190127	0.0345786	0.0337259	0.0362712	0.035869	0.0410659	0.0604477	0.0565553	0.0873126	0.118795
la	0.0240735	0.0174368	0.0195978	0.0196251	0.0164668	0.022457	0.0200872	0.0155344	0.0148162	0.0222313	0.0247724	0.0257424	0.0291899	0.0365656	0.048274	0.059243	0.0524205	0.0623949	0.0572368	0.0562146	0.0448316	0.0445422	0.0480558	0.0458342	0.0484245	0.0472141	0.0767174
chasse	0.0173036	0.015856	0.0159171	0.0170499	0.0158959	0.0199203	0.0184933	0.0152438	0.0127816	0.0121681	0.0117504	0.00989134	0.0157335	0.0208276	0.0255367	0.0415	0.0524502	0.0884702	0.0643982	0.1045	0.0486729	0.0552151	0.054233	0.0594528	0.0451598	0.0630687	0.0785098
aux	0.019329	0.0175221	0.0183054	0.0203892	0.0185339	0.0242367	0.020445	0.0155627	0.0126927	0.0159777	0.0203008	0.0200469	0.0189473	0.0174447	0.0163724	0.0140986	0.0169846	0.0169507	0.0354619	0.0455306	0.0486072	0.0615335	0.0785165	0.0879811	0.0867796	0.0934586	0.137991
éléphants	0.0254402	0.0245591	0.0242302	0.024893	0.0244823	0.0238204	0.0194935	0.013205	0.0125905	0.00964839	0.00966686	0.00990703	0.0109106	0.0139839	0.0210808	0.0267135	0.0314803	0.0355214	0.0489192	0.0623231	0.0785515	0.0857887	0.0752526	0.0716356	0.047664	0.0829639	0.0852744
au	0.034635	0.0369012	0.0431086	0.0476637	0.0439512	0.0299282	0.024892	0.0151491	0.0165139	0.0120488	0.0175248	0.0168043	0.017279	0.0154844	0.0149362	0.0221232	0.0261447	0.0330793	0.0357432	0.0296552	0.0350291	0.0379561	0.0496676	0.0528428	0.057088	0.0769083	0.156942
pays	0.0268269	0.0232269	0.0248688	0.0307058	0.0237023	0.0215613	0.0146973	0.00805658	0.00831972	0.00545025	0.00821601	0.00826988	0.00948874	0.0151316	0.0254128	0.0244765	0.0218043	0.0209545	0.0350635	0.0417491	0.0814529	0.0589767	0.0601161	0.0790091	0.0858645	0.111358	0.12524
ngaé	0.0256189	0.0245721	0.0252428	0.0276722	0.0228794	0.0183809	0.01692	0.0135117	0.0138407	0.00849747	0.012834	0.00966638	0.011257	0.0145308	0.0197978	0.0198285	0.0178849	0.0164246	0.0250476	0.0315274	0.0625737	0.0470941	0.0542498	0.0740194	0.0822649	0.117735	0.186128
</S>	0.0334413	0.032286	0.0323416	0.0330442	0.0283436	0.0190995	0.016379	0.0113348	0.0104707	0.00885919	0.0221838	0.0134282	0.0171395	0.0197318	0.0257686	0.0283757	0.0171555	0.0209207	0.0253196	0.0391341	0.0637436	0.0443623	0.0392949	0.059641	0.0569432	0.102765	0.178493
