 	e	l	a	a	n	g	í	l	í	y	é	é	l	a	a	n	g	í	a	w	ú	r	a	m	á	m	o	r	o	á	k	a	n	i	m	á	a	ó	m	í	á	</S>
la	0.0115995	0.00985577	0.0135072	0.0147369	0.00901405	0.00865813	0.00842306	0.00753415	0.0190096	0.027907	0.0248162	0.0277911	0.0406058	0.0501148	0.0682046	0.0424737	0.0359407	0.0350059	0.0279413	0.0541709	0.0358658	0.0372613	0.0291842	0.0359117	0.044875	0.0253622	0.0274229	0.0078221	0.00752385	0.00515518	0.00551905	0.00559102	0.00945189	0.0140522	0.0173649	0.0200661	0.0229885	0.0217508	0.0289932	0.0244933	0.0212805	0.014754
manière	0.0224261	0.0415522	0.0358507	0.0268342	0.0365475	0.00933246	0.0164032	0.0109309	0.00886238	0.010271	0.0144345	0.0102245	0.0391834	0.0607331	0.0317212	0.0400317	0.0479933	0.0517461	0.071559	0.0277617	0.0556659	0.0596572	0.0604813	0.0522932	0.0195122	0.0141374	0.00895235	0.00224639	0.00346443	0.0046479	0.00327796	0.00580114	0.0088353	0.0077863	0.0156264	0.0113323	0.0182331	0.0120712	0.00496429	0.00822996	0.00503846	0.00334608
dont	0.0868275	0.0348106	0.0328689	0.0185053	0.0227529	0.0171539	0.0129101	0.0108753	0.0078087	0.00793539	0.0102741	0.0104034	0.00799383	0.00851813	0.00724358	0.00961349	0.0140013	0.0118527	0.0410551	0.0391369	0.0420449	0.0950566	0.0691974	0.114969	0.0603876	0.0383216	0.023306	0.014939	0.0105393	0.0121585	0.0105034	0.0105589	0.00988441	0.0100255	0.0103206	0.00802647	0.00943172	0.0073954	0.00609394	0.00649722	0.00740011	0.010401
cette	0.0367375	0.0188078	0.0146284	0.0067726	0.0047029	0.00417937	0.00515145	0.0050858	0.00499091	0.00666982	0.00664367	0.00903237	0.00673542	0.00383146	0.00678312	0.00250397	0.00273951	0.00147594	0.00870696	0.0102798	0.0395982	0.074776	0.0722592	0.124864	0.138148	0.0820713	0.0872146	0.0362168	0.0261423	0.0148198	0.0183078	0.0257777	0.0191898	0.00687125	0.00458793	0.00430958	0.00510861	0.00509037	0.00797586	0.00704794	0.00844957	0.0247147
huile	0.027344	0.0276862	0.0323478	0.0450415	0.045179	0.0479301	0.0476608	0.0318052	0.0231345	0.017286	0.0138885	0.0180822	0.0132879	0.00672837	0.0118338	0.00506212	0.00700061	0.00330584	0.0155738	0.012807	0.0328674	0.0351513	0.038633	0.0439089	0.0476231	0.0363144	0.0291422	0.0476471	0.033413	0.0351371	0.0393686	0.0294495	0.0198399	0.0109396	0.00989371	0.00794974	0.00689769	0.00641851	0.00775273	0.00577111	0.00811644	0.0147797
s'	0.0360338	0.0358583	0.032728	0.0345065	0.0298946	0.0348957	0.0464373	0.0311736	0.0369413	0.0225347	0.0169211	0.00875724	0.00715393	0.00365669	0.00507299	0.00313116	0.00391737	0.00132516	0.00812344	0.00413551	0.0138648	0.0165606	0.0174474	0.0217613	0.0285864	0.0214482	0.0298739	0.0328761	0.0309933	0.030978	0.0278794	0.0277935	0.0380568	0.0199075	0.0195172	0.0194995	0.0199488	0.0174387	0.0169717	0.02151	0.0318174	0.0920712
est	0.0398078	0.0309498	0.0290155	0.0364489	0.027818	0.0260301	0.0373038	0.0416758	0.0278721	0.0142642	0.0235845	0.0164172	0.0151373	0.0096809	0.0121508	0.00391031	0.0066549	0.00234429	0.00736107	0.00493141	0.00863094	0.0179421	0.00914987	0.0142456	0.0205004	0.0115118	0.0215688	0.0392486	0.0283195	0.0340144	0.0410382	0.036906	0.0342188	0.0233152	0.0141916	0.00861108	0.0066947	0.018834	0.0133537	0.0233164	0.0378744	0.123155
fondue	0.0426571	0.0165091	0.0143559	0.0156615	0.012791	0.0172688	0.0237885	0.0255252	0.0139994	0.00892782	0.0124641	0.0120724	0.0100716	0.00927324	0.0100638	0.0104134	0.016029	0.00796263	0.0147084	0.00959026	0.0134407	0.0226944	0.0169964	0.0241896	0.0212588	0.0187318	0.0268421	0.0319721	0.0320118	0.0367984	0.0431611	0.0678898	0.0515732	0.0401829	0.0360568	0.0184366	0.0126304	0.0273237	0.0254133	0.0214006	0.0328903	0.0739718
il	0.0215727	0.0236981	0.0189539	0.0270747	0.0229924	0.0232962	0.0603931	0.0589881	0.0330952	0.0312395	0.0366094	0.0275719	0.0375229	0.0232186	0.0231824	0.0215474	0.0123761	0.00806721	0.0136424	0.01146	0.0180603	0.018847	0.0244561	0.02907	0.0394865	0.0225243	0.019536	0.0403962	0.0262482	0.0197251	0.027057	0.0445794	0.0268798	0.016003	0.00964081	0.00715778	0.00657171	0.00579898	0.00509994	0.00606273	0.0111056	0.0391914
ya	0.123339	0.0649963	0.0524647	0.0268644	0.0225286	0.0172262	0.013962	0.0108286	0.00969883	0.00566844	0.00604436	0.00469845	0.0038253	0.00450595	0.00502133	0.00389715	0.00612512	0.00573713	0.00980072	0.00857695	0.0128543	0.0208607	0.0137352	0.0219871	0.018054	0.0162782	0.0308801	0.0189587	0.0254022	0.0342946	0.0333198	0.0253195	0.0300417	0.0155953	0.0140395	0.0105291	0.00863058	0.0258175	0.0179863	0.0293655	0.0501899	0.120051
