 	p	o	o	é	b	h	í	d	z	ω	r	ω	r	ω	e	k	í	i	d	z	a	a	i	b	e	m	b	e	</S>
le	0.0345412	0.0145505	0.0116145	0.0158907	0.0195783	0.0344935	0.0412555	0.0388606	0.0359586	0.037194	0.0392564	0.0522886	0.049102	0.0638421	0.0771897	0.067262	0.0542683	0.0370748	0.0376699	0.0325369	0.0364539	0.0250656	0.0283897	0.0269255	0.015945	0.0220447	0.0141208	0.0152608	0.0213662
village	0.0230986	0.0364134	0.131064	0.136081	0.117161	0.0738667	0.0396385	0.0208705	0.0230818	0.0199723	0.0179295	0.022898	0.0131619	0.0273539	0.0308804	0.0439372	0.0228105	0.0187284	0.027353	0.0219238	0.0226612	0.0178906	0.0259667	0.0206957	0.02006	0.01078	0.00861604	0.00259116	0.00251465
est	0.0493786	0.0833762	0.0471731	0.0467187	0.0637287	0.0608831	0.0468725	0.0264822	0.0246249	0.0305305	0.044672	0.0420147	0.0400481	0.0327477	0.026249	0.0189036	0.0213654	0.0171361	0.0310856	0.0404244	0.0309825	0.0278129	0.0377373	0.0354002	0.0314756	0.016578	0.011671	0.00741073	0.00651699
maussade	0.0349337	0.0570328	0.0564536	0.0385464	0.0439966	0.0510364	0.0534424	0.0556315	0.0411542	0.0670464	0.0413942	0.0364945	0.0561516	0.0720752	0.0355113	0.0278921	0.0212458	0.0164311	0.0183401	0.0201908	0.0164978	0.0145193	0.0212569	0.0171731	0.0201936	0.0124072	0.0100814	0.00634445	0.0365256
à	0.0389892	0.0291404	0.0343537	0.0278336	0.0307872	0.0281533	0.0293546	0.0457808	0.043789	0.0571102	0.0597026	0.045227	0.0505539	0.0432031	0.0460874	0.0438627	0.0289899	0.0287625	0.0225582	0.019015	0.0168194	0.017627	0.0171036	0.0160958	0.0203317	0.0205452	0.0233333	0.0213564	0.0935334
cause	0.0523667	0.0298946	0.0472414	0.0487888	0.0538692	0.0428356	0.0488129	0.046267	0.0500941	0.0654526	0.033729	0.0439161	0.0279082	0.0205583	0.0374248	0.0335847	0.0292199	0.0277823	0.0170681	0.0151054	0.0159311	0.0166499	0.017217	0.0221267	0.041404	0.032648	0.0315478	0.0105392	0.0400164
des	0.0273378	0.0212683	0.0258464	0.0337352	0.0241783	0.0297611	0.0389804	0.0445959	0.0465415	0.0428198	0.02838	0.03176	0.0261416	0.0474825	0.0422753	0.0349399	0.0363542	0.031042	0.024145	0.0269738	0.0308973	0.0324153	0.035436	0.0269639	0.0391386	0.0395436	0.0411745	0.0314235	0.0584483
décès	0.0533138	0.0540832	0.0417731	0.0252996	0.0215589	0.0196147	0.0122577	0.0126127	0.0107566	0.0114397	0.0109592	0.0108778	0.00688115	0.00646121	0.00618315	0.00593289	0.00660266	0.00696456	0.00639387	0.0104354	0.0115013	0.0153103	0.026466	0.0497427	0.0700803	0.0839816	0.0938734	0.107958	0.200685
successifs	0.161682	0.0857818	0.0759098	0.0331191	0.020607	0.0117333	0.00739198	0.00871093	0.00760747	0.0101891	0.00976564	0.00682879	0.00551561	0.0115483	0.00859019	0.0103534	0.00963114	0.010434	0.0107725	0.0180852	0.00761417	0.00638122	0.0150492	0.0384639	0.0917882	0.0522736	0.0622311	0.0437053	0.158236
</S>	0.106613	0.0742349	0.0552345	0.0167067	0.0123551	0.00697863	0.0042751	0.00535681	0.0039616	0.0059467	0.00678795	0.00519944	0.00508603	0.00573397	0.00397849	0.00387822	0.00441534	0.00437175	0.00417169	0.00825926	0.00557132	0.00875706	0.0147762	0.0364979	0.0586948	0.059183	0.0842666	0.108931	0.279777
