 	w	a	l	á	a	b	έ	έ	i	n	d	z	i	á	</S>
il	0.211152	0.259469	0.32381	0.0597024	0.0902305	0.0161865	0.00321446	0.00233118	0.00315891	0.00442058	0.00287922	0.00323016	0.00725004	0.00551527	0.00744917
casse	0.0111374	0.00564704	0.00654817	0.0330848	0.0576167	0.0930546	0.117709	0.133374	0.14159	0.0781607	0.0997297	0.087803	0.0669368	0.046476	0.0211313
les	0.0329584	0.0559079	0.0897485	0.0854521	0.133154	0.0809311	0.0890083	0.062771	0.0307279	0.0251573	0.0281673	0.0570833	0.0607228	0.110198	0.0580121
noix	0.0123666	0.0152074	0.0157051	0.0141624	0.0604735	0.0622685	0.0660326	0.0668782	0.0555093	0.0538235	0.0769768	0.114012	0.1656	0.11237	0.108613
de	0.0422893	0.0543995	0.0298623	0.0239057	0.0472786	0.0525652	0.0621965	0.0656714	0.0572536	0.0563213	0.0651785	0.0712582	0.0837531	0.0947449	0.193322
palme	0.0600272	0.0658454	0.0560954	0.0199784	0.0261939	0.0399448	0.036357	0.0368937	0.0470609	0.039125	0.0608039	0.0795121	0.127141	0.128515	0.176506
pour	0.0639533	0.0760222	0.0624704	0.03157	0.0351914	0.0462866	0.0419935	0.0416233	0.0490287	0.0428946	0.0488733	0.0539389	0.0877089	0.105382	0.213063
extraire	0.0369202	0.0370955	0.0358658	0.0356743	0.0376451	0.0469166	0.0406914	0.043486	0.0503457	0.0455397	0.0535603	0.0643124	0.11035	0.129849	0.231748
les	0.0281346	0.0334096	0.0437809	0.0483917	0.0720913	0.0907463	0.0883328	0.0780287	0.0719901	0.0665974	0.053984	0.0439266	0.0655974	0.0544346	0.160554
amandes	0.0396626	0.0414543	0.0492461	0.0499849	0.0491729	0.0375938	0.0259609	0.0388335	0.0381663	0.0582967	0.0656922	0.0722822	0.128829	0.126263	0.178562
</S>	0.0273367	0.0272549	0.0297144	0.0570741	0.0582078	0.0583853	0.0586407	0.0592975	0.0596402	0.0585244	0.0626279	0.0708894	0.0982088	0.116834	0.157364
