 	b	i	r	á	w	á	á	í	k	w	ώ	ώ	n	í	á	t	s	ω	a	m	a	n	i	</S>
quand	0.0688364	0.060572	0.0468121	0.081274	0.0351948	0.0457246	0.059481	0.022554	0.0697365	0.0509453	0.0627014	0.0710465	0.0452252	0.0447114	0.0511127	0.0298927	0.0254605	0.024226	0.0246126	0.013049	0.019276	0.015956	0.0170528	0.0145464
une	0.095987	0.111831	0.104439	0.0746792	0.129223	0.0965818	0.0565833	0.0601303	0.0412403	0.0572179	0.0461756	0.0232461	0.0121497	0.0127802	0.015506	0.010006	0.00235875	0.00616812	0.00391707	0.00509417	0.00362826	0.00499694	0.00514378	0.0209161
bataille	0.0388465	0.0491841	0.0363247	0.0285897	0.0202986	0.016255	0.048057	0.0982949	0.0591666	0.0586487	0.0502463	0.0363029	0.0539928	0.0747302	0.0445575	0.0430552	0.0190602	0.032888	0.0501146	0.0190416	0.0318296	0.0287741	0.0360588	0.0256824
est	0.0380133	0.0806352	0.0587791	0.039201	0.0294684	0.0274459	0.031539	0.0630305	0.115036	0.112599	0.0877577	0.0319027	0.0225753	0.0164357	0.0210788	0.00938888	0.00928331	0.0128805	0.0139295	0.00748455	0.013113	0.0276199	0.0279959	0.102808
annulée	0.0754506	0.0588553	0.0619414	0.0560779	0.0511909	0.0614423	0.0545097	0.0652708	0.0539475	0.0482387	0.0315521	0.0152684	0.0176532	0.0190458	0.0290446	0.0123097	0.0107263	0.0137984	0.0189076	0.0154938	0.0138238	0.0210362	0.0234602	0.170955
tout	0.0248192	0.0236841	0.0224678	0.021141	0.0204943	0.0228877	0.0209285	0.0223188	0.0238442	0.0244737	0.0229156	0.0289186	0.024595	0.0292454	0.0338931	0.0320802	0.042257	0.038795	0.0544394	0.0750424	0.0784831	0.0923169	0.0985833	0.121376
le	0.0182924	0.018301	0.0206885	0.0136492	0.0150562	0.0138983	0.0169974	0.0203473	0.0237015	0.014488	0.017473	0.0199746	0.0260082	0.0466709	0.0484789	0.0589948	0.0581284	0.0605401	0.0692996	0.0826754	0.0627198	0.0880604	0.0812797	0.104277
monde	0.0252394	0.02272	0.0306449	0.0151873	0.0171555	0.0123554	0.0171339	0.0292964	0.0209041	0.0133215	0.0169595	0.0210501	0.0304002	0.0647423	0.0521222	0.0745961	0.0726378	0.0534926	0.0597829	0.0704914	0.0465181	0.0782446	0.0682491	0.0867549
se	0.0332063	0.0252178	0.0258933	0.0227196	0.0220856	0.0208362	0.020947	0.0267953	0.0284122	0.0349271	0.0352085	0.0423189	0.0437342	0.0566106	0.0581357	0.0555302	0.052766	0.0547114	0.0579125	0.0632645	0.0492907	0.0514931	0.043816	0.0741673
dit	0.0808138	0.0397593	0.0354107	0.0317293	0.035792	0.024288	0.0186067	0.0135931	0.0082807	0.00813263	0.0074272	0.0118576	0.0280032	0.0688377	0.0645814	0.0673267	0.0577198	0.0364717	0.0294522	0.0492224	0.0369486	0.0507728	0.0586228	0.13635
grand	0.0436381	0.0277185	0.0292817	0.0432668	0.0410393	0.0284228	0.0233436	0.0172892	0.0111569	0.0152762	0.0150783	0.0153746	0.0428333	0.0629285	0.0392288	0.0688951	0.0824533	0.0400245	0.0476574	0.0607959	0.0478502	0.0512348	0.0633654	0.0818467
guerrier	0.0834953	0.0555506	0.0486565	0.0325677	0.0393433	0.0283809	0.0179516	0.0141456	0.00505508	0.00791313	0.00646319	0.0103719	0.0273751	0.0451338	0.0455325	0.061081	0.076089	0.0414125	0.0521457	0.0491996	0.0570217	0.0672748	0.0759859	0.0518538
</S>	0.023612	0.0211811	0.0256217	0.021123	0.0218212	0.013501	0.0176567	0.0193598	0.0155967	0.0123018	0.0158183	0.0182414	0.0309506	0.053824	0.0380483	0.0670245	0.0684485	0.0505949	0.050306	0.0888628	0.0605138	0.0748468	0.0836821	0.107063
