 	o	t	á	á	b	a	w	a	b	v	ú	u	o	d	í	n	g	u	a	t	s	í	n	a	w	a	á	b	h	i	á	p	ώ	ω	y	á	b	á	n	a	o	t	i	a	k	a	á	</S>
sa	0.00633254	0.0118591	0.0102454	0.0159637	0.0189576	0.0168218	0.0185673	0.0444986	0.0467335	0.0451044	0.0521281	0.046853	0.0432906	0.0444916	0.0440232	0.0392895	0.0417803	0.0194627	0.0238813	0.0188636	0.0103936	0.0106661	0.00554476	0.00554833	0.00923181	0.00584941	0.00959872	0.00676534	0.00673231	0.00817139	0.0111632	0.00718157	0.0102417	0.00758348	0.00630005	0.00804633	0.00899865	0.00727173	0.00681563	0.0134813	0.0133881	0.0233005	0.0336232	0.0262531	0.0388676	0.0333367	0.0312403	0.0252572
paternité	0.0470358	0.114594	0.117019	0.106747	0.0663298	0.076188	0.0228958	0.0321684	0.0314289	0.0443354	0.0287834	0.0363597	0.0169988	0.0308662	0.0297359	0.0202536	0.00671198	0.0188531	0.0109434	0.0105563	0.0104947	0.00363294	0.00722693	0.00338675	0.0108453	0.00622354	0.00150955	0.00216576	0.00891095	0.00141064	0.000639929	0.000795817	0.000395763	0.00111406	0.00353694	0.00127282	0.00230085	0.00208587	0.00309872	0.0050585	0.00902301	0.00307798	0.0209355	0.00660082	0.0080834	0.00390071	0.00246928	0.00099899
est	0.0552427	0.0216968	0.0396228	0.0368223	0.0225875	0.0256786	0.0312572	0.00926659	0.00985942	0.0125492	0.0181854	0.0132706	0.0158253	0.0160125	0.0106332	0.0117516	0.00430859	0.0135507	0.0151615	0.0190024	0.0215871	0.0312039	0.0302798	0.0366107	0.0635713	0.0343653	0.0432578	0.0243827	0.0169221	0.0262217	0.0131665	0.0194422	0.0168041	0.0173467	0.0305139	0.0331316	0.0137758	0.0151305	0.0123138	0.0114118	0.0115218	0.0117038	0.0109487	0.0100634	0.00789065	0.0124107	0.00913684	0.0125996
vaine	0.0339299	0.0458923	0.0498597	0.0470644	0.0335963	0.03678	0.03347	0.029383	0.0200122	0.0556371	0.0555541	0.0414143	0.0296549	0.0298966	0.0134657	0.0140819	0.00606727	0.0202135	0.0276593	0.0340739	0.0396376	0.0234036	0.0156387	0.0184307	0.00504206	0.0144397	0.00692729	0.00912467	0.0105574	0.00569595	0.00532081	0.00414801	0.0114338	0.0122483	0.0061602	0.0159404	0.00739627	0.00888462	0.00698577	0.00593862	0.0125077	0.0120299	0.0174129	0.00826188	0.00998247	0.0118096	0.0120239	0.0249111
car	0.0163514	0.0168605	0.0194075	0.0201769	0.0171837	0.0140633	0.0127773	0.0116579	0.010185	0.016771	0.021027	0.0213187	0.0235897	0.0243874	0.0144607	0.0160923	0.0123706	0.0206476	0.0356915	0.0547	0.0618711	0.0411687	0.0314783	0.0468688	0.0115746	0.0367694	0.0137025	0.0255453	0.0165788	0.0130574	0.00769804	0.0233458	0.019677	0.0234728	0.0239201	0.0256848	0.0111865	0.0142118	0.0142993	0.0159485	0.0191518	0.0112075	0.010069	0.00631538	0.00568169	0.00904441	0.0215302	0.0392205
il	0.0171974	0.0418319	0.0736173	0.0509276	0.0471353	0.0390563	0.0197967	0.0203728	0.0127751	0.0240412	0.0169248	0.0128236	0.0188015	0.0212273	0.0309887	0.0235844	0.0185387	0.0394181	0.0187284	0.0262973	0.0142866	0.0144284	0.0155791	0.0151274	0.011111	0.00798555	0.00768791	0.00841412	0.0123086	0.0072635	0.00549936	0.00833038	0.0117273	0.0109407	0.0120246	0.00998154	0.0078354	0.00526164	0.00378748	0.00458558	0.0154409	0.0159639	0.0213397	0.0192936	0.0183842	0.0443758	0.0416886	0.0552628
ne	0.0254562	0.034885	0.0512928	0.0559835	0.0522621	0.0477823	0.0539558	0.0301222	0.0280552	0.0244242	0.0207175	0.0166153	0.0198091	0.0237589	0.0285246	0.0148908	0.0131588	0.0249656	0.0196801	0.0179856	0.0189354	0.0160957	0.0183161	0.0183419	0.0144923	0.0198599	0.0107272	0.0153705	0.0124721	0.00806263	0.00792507	0.0114365	0.00921552	0.0167151	0.0167509	0.00836483	0.00655844	0.00417165	0.00395544	0.00732214	0.00673665	0.00826066	0.0115838	0.00622181	0.0075599	0.00830469	0.0125321	0.0893853
remplit	0.043391	0.0293279	0.0342128	0.0355082	0.0290396	0.0268654	0.0334302	0.0164543	0.0109471	0.0109585	0.0121749	0.00848358	0.010342	0.00967814	0.0116503	0.00806895	0.011446	0.0129614	0.014176	0.0161215	0.0192352	0.0288046	0.0301111	0.0381482	0.0192878	0.0398935	0.0147614	0.0311415	0.0216714	0.011614	0.00998408	0.026498	0.0184573	0.0308322	0.0323006	0.013644	0.0149093	0.00923328	0.0102653	0.0156871	0.0135662	0.0129892	0.0074134	0.00884892	0.00928374	0.0138572	0.0227549	0.0895689
plus	0.0284062	0.0447696	0.0328809	0.0366475	0.0260153	0.0240173	0.0212706	0.0189051	0.0211585	0.0160048	0.0250718	0.0192648	0.0199921	0.0198114	0.0315248	0.0237107	0.0238842	0.0299273	0.0297817	0.0306525	0.0278029	0.0475593	0.0348585	0.036184	0.0254041	0.0263172	0.0240515	0.0306619	0.0124921	0.0154889	0.00878347	0.00873907	0.0169585	0.0112458	0.0104614	0.0140689	0.00720257	0.00580618	0.00285705	0.00263118	0.00424893	0.00202889	0.00429947	0.00635492	0.00763077	0.0103048	0.0149683	0.0568924
ses	0.0566961	0.0384533	0.0212753	0.0198796	0.0159797	0.015861	0.0113559	0.0116831	0.0112007	0.0148405	0.0176268	0.0149007	0.0154472	0.014409	0.0238818	0.0183348	0.0197043	0.0155155	0.0194668	0.0183145	0.0207754	0.0253583	0.0402482	0.0474481	0.0345728	0.0322552	0.0283028	0.0281901	0.0158742	0.020058	0.0101066	0.0160446	0.0239368	0.0209099	0.0182095	0.0147866	0.00888917	0.00770461	0.00650663	0.00488355	0.00851651	0.00691834	0.01399	0.0195072	0.0180106	0.0190137	0.0198729	0.0742833
obligations	0.037767	0.020828	0.0153162	0.0142701	0.0111118	0.0109965	0.00840509	0.00958448	0.00822946	0.0121048	0.0138544	0.0125065	0.0143686	0.0162157	0.0162972	0.0168017	0.0171985	0.0220769	0.0290876	0.0253256	0.0300241	0.02545	0.0246593	0.0319176	0.0179476	0.0321397	0.0302141	0.0307688	0.0240214	0.0256095	0.0145807	0.0149158	0.0283296	0.0265422	0.0189568	0.0267039	0.0139503	0.012305	0.0112155	0.00489036	0.0129342	0.00585085	0.0106872	0.017465	0.0198707	0.0257352	0.0247798	0.105188
envers	0.168748	0.0777691	0.0651141	0.0565302	0.0333898	0.0372148	0.0326891	0.0109788	0.00970925	0.00688114	0.00595779	0.00557622	0.00521664	0.00516417	0.00918742	0.00657535	0.00986778	0.016185	0.0157567	0.0203577	0.0191963	0.028472	0.0270319	0.0259824	0.0157246	0.0233693	0.0142769	0.0205548	0.0141535	0.0132914	0.0122094	0.0100067	0.0142535	0.0129	0.0111632	0.00835849	0.00807383	0.00607935	0.00660364	0.00522612	0.00387042	0.00500618	0.005048	0.0064304	0.0059916	0.00809803	0.0104829	0.0592757
les	0.114176	0.0547974	0.0534221	0.0577043	0.0467774	0.0453496	0.0559751	0.023544	0.0135218	0.0142336	0.013775	0.00802073	0.0109151	0.00785849	0.00711557	0.00618719	0.00572841	0.00680848	0.00634996	0.00677073	0.00723403	0.00944759	0.0164301	0.0168169	0.0118044	0.013955	0.00956254	0.0107858	0.0127281	0.010258	0.00674179	0.0118091	0.0095165	0.0232223	0.0226755	0.0146592	0.0173509	0.0169874	0.0152626	0.0222341	0.0163139	0.0111019	0.00943851	0.0123571	0.01046	0.013418	0.0214564	0.0669416
enfants	0.087054	0.0462773	0.0361579	0.0287094	0.0169234	0.0161717	0.0157769	0.0112503	0.00980723	0.00913856	0.0100939	0.00793809	0.00844953	0.00877729	0.0100372	0.00832168	0.00922513	0.0108601	0.010537	0.0109139	0.0133525	0.0213636	0.0229943	0.0305285	0.0170166	0.0264753	0.014619	0.0252691	0.018674	0.0155399	0.0110424	0.0189349	0.0169059	0.0164264	0.019181	0.0127884	0.00908695	0.00758394	0.00631693	0.0031683	0.00723848	0.00346299	0.00471452	0.0175842	0.0129748	0.0234348	0.0456463	0.185256
</S>	0.0756925	0.0398355	0.0478939	0.0560263	0.0462931	0.0436429	0.0584061	0.0240822	0.0124557	0.0135992	0.0142719	0.0094106	0.0113903	0.00926131	0.00896318	0.00811253	0.0078844	0.00954067	0.00931309	0.00926192	0.0106342	0.0146688	0.0203918	0.0201732	0.0115792	0.0161768	0.00986992	0.0127074	0.0135069	0.0100671	0.00641879	0.0118925	0.00876939	0.0204327	0.0235178	0.0125128	0.0130346	0.0113638	0.012307	0.0156014	0.0139467	0.0102813	0.00743201	0.0108146	0.0108776	0.0151666	0.0239777	0.11654
