 	p	á	b	h	a	n	g	a	n	g	a	l	á	a	b	h	í	b	h	á	o	k	ω	n	í	m	u	</S>
aujourd'	0.0220885	0.0646705	0.0729896	0.0842347	0.0394339	0.0251772	0.0235652	0.0307745	0.0241057	0.0440793	0.0400301	0.0467118	0.0514251	0.0416158	0.0509355	0.0376438	0.0491875	0.0395188	0.0407101	0.0377606	0.02643	0.0112398	0.0131361	0.0133133	0.0182498	0.0161371	0.0194173	0.0154184
hui	0.0555399	0.0749116	0.0537027	0.0695296	0.0719195	0.0616186	0.0886381	0.0443343	0.0366656	0.018235	0.0105592	0.0154293	0.00854423	0.00623346	0.00763715	0.0157899	0.0308184	0.0275784	0.0341077	0.0502689	0.0669982	0.0430931	0.0263071	0.0231107	0.0209459	0.0120352	0.0105201	0.0149282
le	0.0146091	0.0143434	0.0189138	0.01132	0.0110242	0.0233093	0.0184431	0.0424899	0.0458368	0.0623603	0.046516	0.0509288	0.0562306	0.0389412	0.05616	0.039792	0.0538194	0.052838	0.0587219	0.0535691	0.0363838	0.0237875	0.0257993	0.0262956	0.032075	0.0352778	0.0396118	0.0106025
féticheur	0.013105	0.0231355	0.0394769	0.0424505	0.0574775	0.0443856	0.0543432	0.0497218	0.0638413	0.0652272	0.0594819	0.0595094	0.0532315	0.0233871	0.0532988	0.0316381	0.0301903	0.034381	0.0290893	0.031786	0.0257552	0.0158126	0.00804013	0.00730835	0.0081909	0.0214843	0.0241556	0.030095
va	0.0300095	0.0323953	0.0325109	0.0260454	0.0274167	0.0361319	0.0429091	0.0559817	0.065555	0.065766	0.0619344	0.068521	0.0623873	0.0340493	0.0194641	0.0219651	0.0173633	0.0168858	0.0178051	0.0166561	0.0134497	0.021409	0.0209823	0.0268377	0.0362337	0.0461096	0.0385069	0.0447182
prélever	0.036963	0.0227737	0.0224265	0.020833	0.0210819	0.0216741	0.0232669	0.023934	0.0311232	0.0370904	0.0300561	0.0273528	0.0276436	0.0366188	0.0396441	0.0362254	0.0306996	0.0405614	0.0481732	0.044038	0.0252962	0.0344863	0.0341479	0.0414925	0.0509716	0.0491358	0.0692545	0.0730357
du	0.0428173	0.0228349	0.0196616	0.0186179	0.0189048	0.0227829	0.0242393	0.0329005	0.0377297	0.0409008	0.0395204	0.0364299	0.0361114	0.0403303	0.040672	0.0308366	0.0241429	0.0331437	0.0335868	0.0314054	0.0196005	0.0358246	0.0357908	0.042199	0.0483703	0.0527437	0.0588744	0.0790276
sang	0.0261771	0.0178746	0.0203905	0.0189865	0.0209625	0.0215607	0.0250774	0.0266473	0.0264553	0.0206166	0.0157108	0.0291304	0.0399356	0.0307905	0.0251481	0.0270472	0.0206155	0.0443495	0.0454936	0.0471052	0.0356067	0.0345818	0.0506941	0.0537985	0.0496271	0.0627006	0.0582976	0.104619
sur	0.0321341	0.0266851	0.0287021	0.0293265	0.0300597	0.0300939	0.0317801	0.0289538	0.0300106	0.0222561	0.0207673	0.0180205	0.021041	0.0139057	0.0179946	0.0155345	0.0151916	0.0271733	0.0296272	0.0272826	0.014386	0.0286579	0.0361658	0.0504449	0.0553507	0.0858747	0.080112	0.152468
ce	0.0451937	0.0383048	0.0378744	0.038252	0.0375134	0.0352015	0.033402	0.0244418	0.0233919	0.0171549	0.0197012	0.0154583	0.0141863	0.00844161	0.00979628	0.00838803	0.00661291	0.0114803	0.0144292	0.0142061	0.0119392	0.0215046	0.0359777	0.0632199	0.0812552	0.0889781	0.09921	0.144485
malade	0.0437579	0.0376771	0.0362741	0.0344571	0.0322684	0.0240652	0.0209142	0.0155424	0.0153442	0.0111429	0.0105566	0.0129525	0.0120492	0.0101739	0.0110586	0.0101444	0.0115708	0.0163303	0.0234592	0.0245134	0.0190703	0.032063	0.0386175	0.0605831	0.0866867	0.0885908	0.113023	0.147114
</S>	0.125146	0.0541989	0.0508355	0.0427829	0.0442137	0.0409347	0.0386495	0.024925	0.0221435	0.00906368	0.00881461	0.0124946	0.00964557	0.00819649	0.0140944	0.0136428	0.00932818	0.0149133	0.0162794	0.0122574	0.0109125	0.0147412	0.0267267	0.0454018	0.0587252	0.0535241	0.0844702	0.132938
