 	o	k	a	n	a	a	y	é	é	s	ε	r	έ	b	á	a	l	a	n	ω	é	t	s	ω	s	í	b	o	ó	</S>
il	0.0158847	0.0185412	0.0200098	0.0335421	0.0119048	0.012304	0.0235585	0.0197082	0.0258653	0.0433435	0.0543592	0.0458984	0.0448137	0.0570816	0.0526926	0.0655084	0.0590016	0.0488346	0.0407311	0.0342909	0.0208764	0.0221012	0.0193691	0.0173214	0.0157297	0.0280128	0.0298782	0.0256729	0.0366753	0.0564888
faut	0.117655	0.0801118	0.0921017	0.0775941	0.09084	0.0731966	0.0466429	0.038186	0.0430353	0.0242478	0.0339246	0.0338275	0.0536252	0.0499825	0.0234347	0.0342709	0.0153256	0.00530769	0.00632456	0.00640265	0.00594303	0.00541918	0.00820506	0.00550278	0.00545434	0.00701113	0.00452608	0.00289859	0.00351997	0.00548323
retenir	0.0825653	0.0786642	0.0781548	0.054361	0.0804906	0.0400198	0.0577624	0.0323586	0.0427548	0.0325067	0.0307733	0.0247066	0.0454752	0.0402146	0.0298388	0.0391982	0.0371664	0.0212329	0.026834	0.0138021	0.0130089	0.0135556	0.0119624	0.00851895	0.00672012	0.00819547	0.0085539	0.00967815	0.0135947	0.0173313
tout	0.0271515	0.0189762	0.0204446	0.030892	0.043825	0.0368707	0.0451102	0.0245912	0.0256009	0.0238359	0.0179121	0.0169311	0.0238676	0.0224891	0.0250566	0.0435321	0.040238	0.031972	0.0343082	0.0408174	0.0324504	0.0348892	0.0291969	0.026584	0.0217013	0.0204385	0.0288477	0.0576303	0.0662959	0.0875435
ce	0.0334728	0.0199591	0.0183475	0.0194175	0.0182733	0.0171272	0.0199686	0.0187952	0.0207666	0.0221227	0.0250774	0.0235128	0.0316308	0.0306247	0.0297133	0.0429055	0.0461941	0.0466496	0.0469673	0.0421969	0.029232	0.0258108	0.037921	0.0360058	0.0351959	0.0436095	0.0512874	0.0499993	0.0544228	0.0627925
qu'	0.046702	0.0341407	0.0350343	0.0357788	0.0475224	0.0298718	0.0294498	0.0251273	0.0230238	0.0211744	0.0190503	0.016432	0.0180461	0.0190429	0.016121	0.0191927	0.0236316	0.0243579	0.0254377	0.0248913	0.027728	0.0271613	0.0329315	0.0350004	0.0356286	0.0438599	0.0443648	0.0514774	0.0577519	0.110067
ils	0.0301198	0.027004	0.0288695	0.0272078	0.0352592	0.029453	0.0292506	0.0400418	0.0321155	0.0375291	0.0375065	0.0257111	0.0441169	0.0276306	0.0355627	0.0378594	0.0278566	0.0207554	0.0270169	0.0250705	0.0228095	0.018842	0.0183062	0.0169168	0.0210919	0.0361638	0.0346651	0.0376177	0.0471195	0.120531
te	0.08687	0.0438	0.0291019	0.0296817	0.0240944	0.01508	0.0134127	0.0142879	0.0132874	0.0138097	0.0114468	0.0132325	0.00992145	0.010982	0.00656048	0.0124822	0.0223202	0.0265737	0.0233758	0.0215742	0.0200715	0.0236748	0.046969	0.0467749	0.0510186	0.0649374	0.0688359	0.0619223	0.0753917	0.0985085
diront	0.0913387	0.0330572	0.0217555	0.0213494	0.0216138	0.0197092	0.0197171	0.0194446	0.0186703	0.0173315	0.0115979	0.0129199	0.0149719	0.0139519	0.00994284	0.0125522	0.0137352	0.018904	0.0258817	0.0284341	0.0313784	0.0320762	0.0395783	0.0413542	0.0526599	0.0489641	0.0520464	0.0730004	0.0780975	0.103966
</S>	0.0633762	0.0277331	0.0176129	0.0122422	0.0109602	0.00817168	0.0117949	0.00812122	0.0100669	0.00604592	0.00588595	0.00493178	0.00384941	0.00394543	0.00353447	0.00365317	0.00482644	0.00815931	0.0100625	0.0112256	0.0104953	0.0161738	0.0456563	0.0606084	0.0649985	0.0944998	0.0934605	0.118072	0.118519	0.141317
