 	a	y	ú	r	u	b	á	á	w	ú	r	ú	d	i	i	á	y	ε	i	l	a	t	ó	n	g	o	m	á	s	w	é	</S>
les	0.119262	0.083596	0.0276572	0.0105192	0.00450346	0.00457257	0.0154017	0.0132163	0.0241469	0.0233663	0.0319227	0.0505215	0.0561794	0.0749586	0.0600068	0.0359032	0.020201	0.0296954	0.0273368	0.0312095	0.0311539	0.0253801	0.0184972	0.0250767	0.0248002	0.0147527	0.0207067	0.0209404	0.0132826	0.0225858	0.0194275	0.01922
femmes	0.0736373	0.108449	0.142431	0.0916808	0.171502	0.079272	0.0463641	0.0199279	0.0221738	0.0200221	0.0169004	0.0198992	0.00984935	0.00730148	0.00585949	0.00845813	0.0155181	0.0162211	0.0102267	0.0136461	0.005183	0.00735688	0.0109034	0.0091544	0.00949317	0.0101104	0.0103823	0.00703034	0.00735789	0.0139599	0.00496125	0.00476638
qui	0.0415101	0.0353636	0.0518213	0.0367912	0.0296041	0.0173741	0.0341514	0.0442246	0.0341022	0.0548541	0.0373765	0.0514456	0.0414832	0.0257304	0.0210082	0.0200906	0.0295432	0.0200672	0.0215057	0.0249776	0.0202275	0.0341765	0.0368671	0.0473353	0.0448208	0.0393679	0.0369383	0.0212952	0.00812844	0.0181378	0.0102505	0.00942954
sont	0.00735759	0.0145364	0.0175336	0.0192188	0.0272943	0.0382953	0.0275298	0.0146119	0.050805	0.0554667	0.040529	0.0360796	0.015181	0.0190179	0.020156	0.0171161	0.0134342	0.0259879	0.0358187	0.0293679	0.042125	0.0582763	0.0451086	0.0595807	0.05053	0.0511383	0.0406892	0.0209679	0.0261795	0.0228891	0.0296675	0.0275101
revenues	0.0362861	0.0339728	0.0361866	0.0382187	0.0433159	0.0345368	0.0289086	0.020462	0.0322311	0.0279352	0.0280042	0.0346414	0.0316201	0.0294389	0.0346355	0.0378538	0.0287485	0.0400087	0.0293969	0.0319613	0.0260954	0.0254085	0.0213595	0.0226188	0.0219562	0.0296158	0.0289442	0.0254013	0.0196551	0.031763	0.0377132	0.051106
du	0.0278172	0.0196163	0.0195444	0.0302191	0.035906	0.033223	0.0188918	0.0268195	0.0193765	0.0173247	0.0315874	0.0317575	0.0300509	0.0375245	0.0303931	0.0187571	0.0160145	0.0216844	0.0196442	0.0191413	0.0247313	0.0350832	0.036037	0.0444635	0.0433247	0.0584086	0.0463044	0.0458609	0.0363579	0.0325281	0.048854	0.042753
campement	0.019358	0.0135397	0.0121386	0.0208598	0.028719	0.0266611	0.0267642	0.0376587	0.0208832	0.0185877	0.0263232	0.0255233	0.0298	0.0199628	0.026433	0.031631	0.0327523	0.0333029	0.0397679	0.0411653	0.043764	0.0546959	0.0353328	0.0319715	0.026566	0.027411	0.0405804	0.0442847	0.0192819	0.0349081	0.0554632	0.0539087
ont	0.0244085	0.0187648	0.0212795	0.0345016	0.0546399	0.0434415	0.0207163	0.0244687	0.0202704	0.0161897	0.0251526	0.0256878	0.0200786	0.0141794	0.0147593	0.0186115	0.0180632	0.0188589	0.0227624	0.0448308	0.0325125	0.0403446	0.0245499	0.0236064	0.0225762	0.0223367	0.0297648	0.0353343	0.0188928	0.048632	0.0891138	0.110671
ramené	0.0268609	0.0268969	0.0264478	0.0265646	0.0246955	0.0216137	0.0138397	0.0106957	0.0122	0.0107179	0.00822144	0.0110198	0.00955431	0.0123024	0.0146381	0.0167705	0.0135789	0.0345113	0.0265035	0.0378584	0.044141	0.0450531	0.035031	0.0446794	0.0482	0.0534876	0.0631796	0.0492978	0.0471934	0.057316	0.0590824	0.0678475
beaucoup	0.0449531	0.0289964	0.0351251	0.0406472	0.0276436	0.0263629	0.0125647	0.017255	0.0102532	0.00733831	0.0128281	0.00933058	0.0117549	0.0114455	0.0117475	0.021396	0.0197207	0.0137099	0.0123078	0.0255473	0.0191423	0.0315194	0.0320446	0.0326095	0.0383098	0.0361951	0.0403811	0.059609	0.0483162	0.084574	0.0852506	0.0911208
