 	a	n	a	r	i	m	é	k	ώ	ώ	á	b	v	u	u	w	a	m	á	b	ώ	ω	</S>
la	0.221802	0.11333	0.0447181	0.0101114	0.0127046	0.0137404	0.0106902	0.0157285	0.0356676	0.0287807	0.0412579	0.0563608	0.0348862	0.0342707	0.0202891	0.0455179	0.0531924	0.0523966	0.04184	0.0312313	0.0352871	0.0206291	0.0255677
colle	0.0327388	0.0545532	0.141707	0.1961	0.232406	0.212222	0.0639161	0.0379492	0.00768935	0.0021515	0.0020817	0.00163488	0.00150923	0.00115641	0.00124068	0.00264425	0.00127778	0.00208165	0.00201725	0.00137804	0.000913208	0.000303763	0.000327642
du	0.123736	0.141993	0.0711455	0.0446147	0.0256997	0.0320681	0.0762548	0.0536226	0.0474492	0.0291369	0.0236975	0.0137063	0.00780591	0.01274	0.0173367	0.0233937	0.0296097	0.027272	0.0396479	0.0460893	0.039294	0.0274693	0.0462177
man	0.0575974	0.0815418	0.14884	0.143877	0.0991274	0.0344441	0.0461714	0.0478018	0.0621866	0.0239302	0.0227338	0.0100225	0.00781884	0.0144336	0.0164904	0.0293352	0.0208225	0.0174594	0.0192181	0.0184385	0.0186731	0.0139351	0.0451009
ioc	0.0867268	0.0740264	0.0967863	0.105809	0.0741359	0.0762353	0.0507587	0.0464194	0.0488337	0.0251562	0.0256365	0.0204231	0.00782605	0.00813831	0.0113692	0.0167124	0.0172643	0.0193681	0.0210312	0.019744	0.0258674	0.0201592	0.101573
qui	0.0875687	0.0572533	0.0347818	0.0263581	0.0146765	0.0168603	0.0163093	0.0247183	0.0688472	0.0488987	0.0464523	0.014783	0.0205404	0.0207844	0.0240109	0.0137659	0.0141812	0.0279455	0.0367196	0.0371821	0.0713151	0.0668808	0.209167
est	0.0697275	0.0655516	0.0435297	0.0278391	0.0370302	0.0419666	0.0310605	0.0368858	0.0367579	0.0263529	0.0216357	0.0293031	0.0272871	0.0211731	0.0282732	0.0204748	0.0232903	0.027102	0.0296716	0.0313022	0.0507426	0.054514	0.218529
trop	0.0635273	0.0566738	0.0663415	0.0815201	0.0698244	0.0473722	0.0377125	0.0234324	0.0172567	0.012231	0.0114801	0.0222943	0.015717	0.0131983	0.0195607	0.0252213	0.0166118	0.0170375	0.0245164	0.0246682	0.0594153	0.0530225	0.221365
cuit	0.0335519	0.0307797	0.0337253	0.0479665	0.0562052	0.0391722	0.0431217	0.0336358	0.0287767	0.0209372	0.0254346	0.0481171	0.0484706	0.0446706	0.0323938	0.0150934	0.0154405	0.0258825	0.0215514	0.0251018	0.0706486	0.068604	0.190719
lui	0.0466522	0.0439919	0.0327499	0.0340771	0.0230654	0.0186868	0.0197106	0.0208092	0.0234652	0.0138054	0.0121179	0.0289375	0.0392894	0.046557	0.0440316	0.0252615	0.0233075	0.0473116	0.0433305	0.0553075	0.0696751	0.0661993	0.22166
est	0.0681164	0.054669	0.0501939	0.0324987	0.0140602	0.0119849	0.017393	0.0181592	0.0173566	0.013436	0.0143727	0.0126169	0.0208625	0.0466131	0.0456184	0.0383817	0.0289014	0.0578865	0.0702254	0.0673646	0.0784336	0.0602137	0.160642
restée	0.0633266	0.0346173	0.0167915	0.0117062	0.00688198	0.00754019	0.0110597	0.0109275	0.0116657	0.0117147	0.0143931	0.0158533	0.0266588	0.0334065	0.0303751	0.020105	0.024423	0.0599086	0.0593496	0.0725201	0.119017	0.0898129	0.247945
aux	0.0461792	0.0319873	0.0134025	0.0102584	0.00637682	0.00642799	0.00768686	0.0072341	0.00828732	0.00792686	0.00865213	0.0112982	0.0245445	0.0440472	0.0336683	0.0320158	0.0385654	0.0503788	0.0775113	0.0952486	0.113764	0.0956412	0.228897
mains	0.0328473	0.0266292	0.0178319	0.0155985	0.0113795	0.00732495	0.00942938	0.00714394	0.00620388	0.00483522	0.00581339	0.0081004	0.0303109	0.0572185	0.0580779	0.0399472	0.0488059	0.0794104	0.0997573	0.0993633	0.101734	0.0896676	0.142569
</S>	0.0219974	0.0208786	0.0233441	0.0150309	0.00818148	0.00616418	0.00967966	0.00956837	0.00614018	0.00996392	0.0100238	0.0156396	0.0359651	0.0790216	0.0851602	0.079956	0.0624807	0.069756	0.0884692	0.0903304	0.102301	0.0920923	0.0578552
