 	o	k	u	b	h	a	b	ó	l	á	a	b	ω	n	g	ώ	e	s	έ	έ	</S>
le	0.0105585	0.0111774	0.012545	0.0343514	0.0270621	0.0102364	0.0164232	0.0304423	0.0614495	0.0718815	0.0672174	0.0694394	0.065551	0.081219	0.102807	0.0983799	0.0702417	0.0679699	0.0347375	0.0250565	0.0312534
forgeron	0.0385238	0.050131	0.0879227	0.0814921	0.0304148	0.0323983	0.0273619	0.0695714	0.0982491	0.165628	0.0774393	0.0445174	0.0274719	0.0318986	0.0352204	0.0444801	0.0340684	0.0146145	0.00552332	0.00190573	0.00116731
est	0.0452454	0.0548474	0.0503343	0.0538518	0.0559473	0.0945303	0.123376	0.112313	0.0826965	0.0437519	0.0301592	0.0242569	0.0295026	0.040905	0.0527146	0.0509593	0.018886	0.00863191	0.00624313	0.00762238	0.0132249
en	0.0654407	0.0757943	0.0679414	0.0735956	0.101733	0.0826244	0.0753316	0.0470686	0.0271057	0.0244803	0.0171715	0.0184406	0.0227386	0.0199088	0.0203634	0.0177148	0.0351515	0.0447196	0.0350606	0.0488016	0.0788135
train	0.0527417	0.0530637	0.0543452	0.0422502	0.0350877	0.0431387	0.0632152	0.0584168	0.0536837	0.0456161	0.0350168	0.040257	0.0499986	0.0485386	0.0441636	0.0576339	0.0456189	0.044444	0.0438101	0.0427304	0.0462292
de	0.0579908	0.0581489	0.0490294	0.0394748	0.0232549	0.0188714	0.0247453	0.031236	0.0792226	0.114875	0.0805529	0.0403538	0.0161242	0.0130911	0.0125581	0.00655243	0.00673137	0.012523	0.0254974	0.0447539	0.244412
fabriquer	0.0620691	0.0532748	0.0411257	0.0288274	0.0333247	0.0536902	0.0639314	0.0696833	0.0743819	0.063398	0.0509453	0.0418944	0.0592876	0.0400844	0.0347966	0.0289765	0.0462171	0.0291681	0.0324286	0.0337073	0.0587876
une	0.169135	0.0950878	0.0682703	0.061402	0.0512647	0.0519488	0.0328932	0.0129908	0.0116513	0.0104127	0.00925157	0.0104715	0.0096263	0.00774675	0.0119862	0.0124871	0.0297421	0.0431258	0.0751827	0.0780981	0.147225
houe	0.132668	0.0835382	0.069713	0.0570892	0.042348	0.0194773	0.0165926	0.00658689	0.00538911	0.00712341	0.00652989	0.00592554	0.00576406	0.00631811	0.00719281	0.00765427	0.0152729	0.048375	0.0689185	0.139791	0.247732
</S>	0.128024	0.103435	0.084544	0.0637018	0.0488187	0.0302668	0.0173103	0.00825146	0.00847812	0.0100385	0.011242	0.00972978	0.0067445	0.00395473	0.00463829	0.00582985	0.0180524	0.0330422	0.0559062	0.0991861	0.248805
