 	o	k	u	b	h	a	m	ó	o	b	o	m	b	á	i	k	y	é	n	i	b	í	d	u	n	g	a	s	á	s	a	n	d	ú	u	</S>
le	0.00875172	0.0120449	0.0142209	0.0189102	0.0158378	0.0311457	0.0292375	0.0340252	0.0373341	0.0366072	0.036719	0.044241	0.0472511	0.0532831	0.0432887	0.0265844	0.0133903	0.0112425	0.00707581	0.0149739	0.0143213	0.0206916	0.0270637	0.0217178	0.0364342	0.0288104	0.0247389	0.0284633	0.0260571	0.0384403	0.0325779	0.0358388	0.038783	0.0368598	0.0310764	0.0219606
forgeron	0.0171506	0.0442534	0.0708714	0.107749	0.0735686	0.0669665	0.189043	0.136159	0.0971798	0.0460603	0.0460114	0.0247958	0.0254736	0.0100356	0.00352561	0.00414523	0.00344904	0.00343432	0.00228535	0.0020567	0.00130416	0.00183898	0.0011961	0.00120838	0.00054488	0.000991943	0.00137001	0.00212292	0.00179653	0.00173979	0.00207611	0.00310971	0.00279069	0.0015834	0.000945657	0.00116648
garde	0.0285151	0.0257901	0.0243677	0.0210687	0.027759	0.0289988	0.0368526	0.035387	0.0228553	0.0110235	0.0160694	0.0146771	0.0149271	0.0159368	0.023483	0.0373899	0.0592029	0.0609947	0.0317501	0.0677727	0.0440237	0.0475624	0.0385066	0.0428834	0.033523	0.0184699	0.0399465	0.0338711	0.0203498	0.0220202	0.0108608	0.0131152	0.0049744	0.00858327	0.00677118	0.00971686
des	0.0489119	0.0725617	0.0934315	0.104968	0.119267	0.0685113	0.0499887	0.0582495	0.0459324	0.0227007	0.0296216	0.0256741	0.0303227	0.0303156	0.0307784	0.0256638	0.0241422	0.0190947	0.0209453	0.0105607	0.00812707	0.00699455	0.00638984	0.00724296	0.00408337	0.00339125	0.00310509	0.00302846	0.00340431	0.00305572	0.00296271	0.00262386	0.00206388	0.00281266	0.00217659	0.00689542
morceaux	0.0376925	0.0218399	0.0268347	0.0350851	0.0349105	0.0483847	0.0580638	0.0682928	0.0561377	0.0353379	0.025882	0.0125784	0.0132252	0.00758267	0.00751133	0.0143234	0.0164739	0.0152827	0.0155198	0.0181899	0.0223116	0.0330731	0.0294975	0.0212692	0.0214942	0.0274507	0.029217	0.0261042	0.0260176	0.021236	0.0224068	0.0330278	0.0330194	0.0284895	0.0168034	0.0394331
de	0.0257994	0.0223764	0.0179929	0.0125149	0.00907978	0.0102181	0.0131009	0.0186087	0.0183305	0.0162664	0.0146568	0.0122621	0.0116186	0.0117906	0.018429	0.0326727	0.0575015	0.0604575	0.0535941	0.0373894	0.029075	0.031896	0.0348483	0.0374928	0.0261242	0.0276127	0.0299814	0.0317991	0.030565	0.0297919	0.0417846	0.0399836	0.0277364	0.0379499	0.0326295	0.0360692
fer	0.0159185	0.0129769	0.0136739	0.0169583	0.0197468	0.0250711	0.0359275	0.0452713	0.050798	0.0491912	0.037034	0.0371098	0.0270932	0.0226802	0.0213805	0.0258028	0.0290522	0.025708	0.0230266	0.0295239	0.020335	0.0276379	0.0225004	0.0220677	0.0175861	0.0067166	0.0183902	0.0180307	0.0184902	0.0252836	0.0350765	0.0422004	0.0408965	0.0403176	0.0337014	0.0468244
dans	0.0130048	0.0130956	0.0129093	0.0158073	0.0166949	0.0210677	0.0235815	0.0271466	0.0224009	0.0171405	0.0188311	0.0178665	0.0146074	0.0135743	0.014471	0.01504	0.0179797	0.0215374	0.0357492	0.0444074	0.0371696	0.0497428	0.0394051	0.0411375	0.0251043	0.0111405	0.0226393	0.0298386	0.0193501	0.0319632	0.0321961	0.0367287	0.0446294	0.0459859	0.0442952	0.0917607
la	0.0334192	0.0186447	0.014335	0.0130548	0.0118381	0.0112922	0.008824	0.0100353	0.00829903	0.00767322	0.0094023	0.0103599	0.0116419	0.0128814	0.0151504	0.0177925	0.02276	0.0284454	0.0351322	0.0529543	0.0391572	0.0630103	0.0558306	0.0589534	0.0442761	0.0328588	0.0318924	0.0342058	0.030542	0.0377138	0.0267198	0.0267417	0.0347826	0.0356456	0.0375255	0.0562084
caisse	0.0235767	0.0167619	0.0123316	0.0106575	0.00783716	0.00817186	0.00588497	0.00649213	0.00676284	0.00811079	0.0110547	0.0133109	0.0154922	0.0164536	0.0192702	0.0248092	0.0418739	0.0602235	0.0823897	0.0514123	0.0216969	0.0288803	0.0201604	0.0185769	0.0126711	0.0081617	0.0117793	0.0192166	0.00856805	0.0288794	0.019182	0.0425485	0.0310498	0.0639559	0.0754713	0.146324
</S>	0.0789098	0.05268	0.0335452	0.0263737	0.0208598	0.0158215	0.0104071	0.0110742	0.00639404	0.0047045	0.00825117	0.00759538	0.0113885	0.0123165	0.0161339	0.0147879	0.0138019	0.0157933	0.0214486	0.0305735	0.0333515	0.0397374	0.0399597	0.056788	0.033546	0.0413609	0.0276035	0.0261827	0.0308801	0.0288536	0.0206604	0.0176129	0.0244045	0.0302941	0.040047	0.0958571
