 	k	ó	l	i	y	á	p	á	b	h	a	y	é	é	d	í	l	a	w	á	s	i	</S>
il	0.0229252	0.043064	0.109096	0.0754761	0.0504218	0.0374925	0.0282638	0.0264213	0.0309665	0.0463424	0.0460178	0.0539283	0.0555623	0.0450405	0.0413635	0.0476202	0.0511947	0.0500615	0.0442062	0.0285344	0.0307548	0.0201557	0.0150905
y	0.114531	0.0828911	0.0923575	0.0794999	0.0771742	0.0815994	0.103485	0.0710112	0.0347664	0.0172145	0.00714759	0.0217024	0.0223677	0.0134853	0.00902244	0.023173	0.023237	0.0211751	0.0235099	0.013163	0.0148807	0.0216746	0.0309306
a	0.147641	0.105705	0.0369082	0.0364353	0.0386917	0.0248971	0.0264095	0.0306321	0.0436823	0.0313822	0.0235131	0.037189	0.0395528	0.063655	0.0508275	0.0441147	0.0426186	0.0514622	0.0337417	0.0171251	0.020668	0.0239538	0.0291944
le	0.0513665	0.0551824	0.0306578	0.0374204	0.0508532	0.0466689	0.0483142	0.0520444	0.0760427	0.0550292	0.0533559	0.0518463	0.05341	0.0520714	0.0268696	0.0308488	0.0324802	0.0321921	0.0350641	0.0319917	0.0301082	0.0305195	0.0356625
clair	0.0670469	0.0751798	0.0373278	0.0405948	0.050002	0.0680043	0.0717946	0.0695386	0.0358966	0.025963	0.0196841	0.0390002	0.0366909	0.0366005	0.0402374	0.0360272	0.045542	0.0380162	0.0237881	0.0317928	0.0270079	0.0327172	0.0515469
de	0.0795186	0.0668245	0.0662114	0.0552688	0.0507804	0.0561039	0.0713288	0.0664689	0.0464957	0.0290634	0.0162195	0.0139802	0.00677542	0.00577671	0.00728805	0.012958	0.0246646	0.043497	0.045389	0.0429	0.0440003	0.0464122	0.102075
lune	0.0652906	0.0413074	0.0397578	0.0423848	0.0456585	0.057218	0.059823	0.0511958	0.0419133	0.0389985	0.0236049	0.013424	0.0103677	0.00356675	0.00460512	0.0104692	0.0129009	0.0344971	0.0483071	0.0269297	0.0866976	0.0887808	0.152302
cette	0.0550544	0.0380769	0.0482767	0.0530047	0.0539866	0.0545101	0.0372019	0.0249984	0.0237138	0.0210565	0.00853058	0.00966327	0.0118387	0.0066614	0.00712848	0.0103577	0.0115472	0.0312202	0.0472681	0.0160697	0.0855218	0.1466	0.197713
nuit	0.121701	0.0749745	0.0511144	0.0481326	0.0412309	0.033794	0.0193313	0.016705	0.0175146	0.0165566	0.00735334	0.0109254	0.0214313	0.0114681	0.011444	0.0128939	0.012341	0.0356976	0.0438864	0.018116	0.103147	0.108284	0.161956
</S>	0.101699	0.0581708	0.0455957	0.0390984	0.0228924	0.0182558	0.0200938	0.0214301	0.0250197	0.00932312	0.00362506	0.00319429	0.00412041	0.0042781	0.00379486	0.0110399	0.0259843	0.0420874	0.057803	0.107555	0.103327	0.136023	0.135588
