 	a	n	d	ú	ú	á	b	a	á	á	s	a	m	i	n	i	a	b	i	a	t	s	í	n	a	b	á	a	á	m	i	k	á	n	a	a	</S>
les	0.086776	0.074513	0.0630795	0.0145752	0.0101626	0.00492273	0.00549947	0.0125724	0.0171962	0.0293913	0.044971	0.0457016	0.0586958	0.0366677	0.0125034	0.0287282	0.0160666	0.0236517	0.0239089	0.0328877	0.0189243	0.0267867	0.0144917	0.0217147	0.0112799	0.02791	0.0202683	0.0299092	0.0241144	0.0217876	0.0233599	0.0233804	0.0252654	0.0253604	0.0200867	0.0156643	0.00722499
deux	0.0465374	0.116678	0.106716	0.124343	0.134554	0.103544	0.0325131	0.0212731	0.0100508	0.0133473	0.00476931	0.00559461	0.00582139	0.00575634	0.00671756	0.0186748	0.00716852	0.0292112	0.0252504	0.0267938	0.020112	0.0193785	0.0154385	0.00709556	0.013456	0.00666971	0.0117944	0.00522259	0.00879784	0.00860346	0.00832187	0.00621448	0.00710721	0.00633188	0.00526845	0.0030942	0.00177914
amis	0.102335	0.0855985	0.0748169	0.0776394	0.0686855	0.0604629	0.0475255	0.0304388	0.0441648	0.0256654	0.0340501	0.0344015	0.0236274	0.0202667	0.00974992	0.0185014	0.00875944	0.0158439	0.0107829	0.0115933	0.0119332	0.00901759	0.00569061	0.0061587	0.0108124	0.00882114	0.0172408	0.00941006	0.00735513	0.0112318	0.0120348	0.0130322	0.015584	0.0143164	0.0129176	0.0189724	0.0105616
se	0.0249106	0.0513948	0.0510358	0.0625803	0.050144	0.0554453	0.049459	0.0498808	0.0467413	0.0644574	0.0295324	0.0243331	0.0270849	0.017138	0.00910433	0.0163561	0.0106319	0.015233	0.0144475	0.0160991	0.0217882	0.0226372	0.0328586	0.0271368	0.0273239	0.0207387	0.0180767	0.0126303	0.0169328	0.0188177	0.0112172	0.0110928	0.0112226	0.0102482	0.0103199	0.017371	0.0235778
réjouissent	0.0154286	0.0159263	0.0163005	0.0253569	0.0233677	0.0243202	0.0236298	0.0278745	0.0346143	0.0344487	0.0379753	0.0378276	0.0602168	0.0381302	0.0344044	0.0351195	0.0245603	0.0400658	0.0286883	0.0456514	0.0374449	0.0337223	0.0323465	0.0256689	0.0251146	0.0279093	0.0294714	0.0212389	0.0215715	0.0202949	0.0161998	0.0130994	0.0118545	0.0127787	0.0128248	0.0134868	0.0210657
de	0.0332094	0.0220978	0.0167753	0.0197094	0.0248952	0.0216192	0.0227605	0.0197398	0.0276032	0.0160159	0.0230319	0.0309475	0.038579	0.0232272	0.0217247	0.0228874	0.0177699	0.0262975	0.0295005	0.0340871	0.0409522	0.0328034	0.0333932	0.0327402	0.0337591	0.0334556	0.0351206	0.0305497	0.0318467	0.0321651	0.0296213	0.0235569	0.0215364	0.0147005	0.0259391	0.0216052	0.0337765
se	0.0251449	0.0187932	0.0187228	0.0152039	0.0173553	0.0160037	0.0170239	0.0174304	0.0167304	0.0155968	0.0190045	0.014728	0.0170184	0.012999	0.00766606	0.0104763	0.0067907	0.0120641	0.0128283	0.0160722	0.0189118	0.0245517	0.0259871	0.0360277	0.0323954	0.0265969	0.0262294	0.0258751	0.0342532	0.0476416	0.0409673	0.0527919	0.076009	0.0529041	0.066036	0.0527887	0.0523803
retrouver	0.0183832	0.0205278	0.0238768	0.021776	0.023522	0.0219318	0.0174485	0.0109271	0.00992306	0.00912068	0.00979642	0.00973927	0.0144884	0.00958311	0.00889956	0.00887094	0.0082938	0.00916868	0.0123331	0.0129532	0.0175959	0.0203459	0.0238667	0.0257617	0.0266335	0.0257493	0.0226563	0.0287895	0.032107	0.0482928	0.0483495	0.0602632	0.0646319	0.0522473	0.0697573	0.0725589	0.0788296
après	0.0266096	0.0232678	0.0278232	0.0251738	0.031828	0.0319401	0.0330907	0.0347982	0.0259498	0.0251205	0.015009	0.00885829	0.0105436	0.00899071	0.00820827	0.00894349	0.010703	0.0107189	0.0103676	0.0138352	0.0152912	0.022465	0.0204629	0.0341595	0.0287473	0.0332839	0.0198391	0.0224491	0.0283488	0.024878	0.0188337	0.0242684	0.0415793	0.0305397	0.0535617	0.0655882	0.123925
leur	0.0258515	0.0176694	0.0212548	0.0208921	0.0219383	0.0213741	0.0199045	0.0155397	0.0126956	0.0126079	0.00949757	0.00754773	0.00953817	0.0072542	0.0108779	0.00828409	0.0114978	0.0119453	0.0111357	0.01137	0.0152288	0.0160505	0.0168729	0.0199508	0.0222323	0.0184673	0.0189739	0.0275896	0.0333165	0.0546622	0.0378889	0.037071	0.0555502	0.0407459	0.0733379	0.0989052	0.12448
longue	0.0269464	0.0278843	0.0261181	0.026227	0.0217774	0.00957321	0.00681062	0.00669848	0.00635499	0.00641582	0.00580468	0.00987033	0.0130943	0.00890972	0.0105254	0.00932604	0.0108024	0.0108313	0.0168423	0.0153138	0.0210024	0.0287428	0.0345842	0.0349809	0.0427316	0.0318293	0.0355271	0.028959	0.0292163	0.0263402	0.0242931	0.028806	0.04887	0.0408012	0.0660397	0.0729137	0.128236
séparation	0.0168172	0.011066	0.0139037	0.0131306	0.012053	0.0122437	0.0116212	0.0121079	0.0082608	0.00922877	0.00571136	0.00418277	0.00555603	0.00231592	0.00530376	0.00500585	0.00612883	0.00706918	0.0119102	0.0111116	0.0203988	0.0227813	0.0297978	0.0339539	0.0436482	0.0431484	0.033479	0.0437762	0.0470042	0.0393495	0.0401552	0.0344577	0.0333026	0.040813	0.0551198	0.0902727	0.163813
