 	e	l	i	n	d	í	l	í	y	é	é	l	i	n	i	n	g	á	m	w	á	n	a	é	d	í	a	m	w	a	w	a	m	έ	n	d	e	</S>
la	0.0176479	0.0137023	0.0160829	0.0164421	0.0175452	0.0124561	0.0127654	0.0143295	0.0259054	0.0390775	0.0617136	0.0646186	0.0420823	0.0281057	0.0190559	0.0274435	0.0163212	0.0219712	0.0323743	0.0281844	0.0382924	0.0339711	0.0333033	0.0372834	0.029919	0.0291365	0.0182693	0.0283644	0.0224612	0.0142218	0.0139827	0.0189787	0.0292081	0.0210298	0.0200535	0.0241511	0.031411	0.0281378
manière	0.00642458	0.0109173	0.0260525	0.0247883	0.0328392	0.0632487	0.0637705	0.0646068	0.112452	0.0756865	0.110795	0.0555754	0.0186408	0.0145812	0.00886608	0.0239216	0.00859388	0.0144326	0.0270639	0.0298288	0.0374845	0.0245785	0.0204013	0.0162897	0.0293795	0.0110649	0.00334996	0.0185059	0.00620183	0.00784102	0.00170584	0.00746157	0.00846055	0.00412567	0.00278628	0.00269665	0.0025112	0.0020694
dont	0.0735923	0.0304077	0.0246383	0.01758	0.0192796	0.0222209	0.0141837	0.00730003	0.00772006	0.00696656	0.012452	0.00620019	0.0113728	0.0168964	0.0318817	0.0384392	0.0759787	0.0442011	0.0489803	0.0780873	0.0456449	0.0590474	0.0378385	0.0291264	0.0661467	0.0603479	0.028835	0.0144317	0.0118358	0.00801738	0.00866835	0.0046569	0.00437255	0.00350488	0.00500338	0.00531008	0.00985005	0.00898315
mon	0.0518512	0.0454581	0.0303146	0.0279427	0.0208167	0.0223357	0.0112832	0.0098675	0.00855779	0.00753776	0.0169067	0.0119811	0.00986574	0.0128751	0.0330351	0.0251259	0.0343087	0.0449778	0.0334761	0.0387421	0.0472911	0.0562662	0.0516436	0.0439777	0.0443149	0.0725254	0.0309639	0.0136501	0.0162331	0.0157183	0.0126441	0.0106344	0.0108429	0.0106179	0.00797053	0.0100914	0.0144013	0.0329535
enfant	0.0285957	0.0442689	0.0674286	0.0554353	0.112128	0.0698447	0.0309291	0.0232884	0.0162943	0.0122894	0.0191368	0.00898719	0.0167942	0.0298567	0.0375152	0.085614	0.0455925	0.0301303	0.037793	0.0276096	0.0204094	0.0213394	0.0174841	0.012362	0.011079	0.0191951	0.00760655	0.00774785	0.0159717	0.012391	0.0112909	0.00874064	0.00534798	0.00351051	0.00398259	0.00498373	0.00844643	0.00857907
s'	0.0142741	0.0323024	0.0387246	0.0410018	0.0465706	0.0376385	0.0205774	0.0103585	0.0105278	0.0119048	0.0105003	0.0107718	0.0083839	0.0194422	0.025507	0.0398745	0.068329	0.0489272	0.0364889	0.0530577	0.0236942	0.0314579	0.0263833	0.0160166	0.0228688	0.0651268	0.0219604	0.0256315	0.0165959	0.0185643	0.0254073	0.0160903	0.0150091	0.00722305	0.0157609	0.0103657	0.0278251	0.0288556
est	0.0371723	0.0440278	0.0379196	0.0294798	0.0469655	0.0287679	0.02352	0.0239577	0.0212517	0.0132575	0.0182281	0.0104192	0.011779	0.016934	0.0248092	0.0293033	0.0604382	0.0384504	0.0499375	0.0246218	0.0223851	0.0272262	0.0187459	0.0187905	0.0143925	0.0248592	0.0099589	0.0202547	0.00891522	0.0124009	0.0181659	0.0190759	0.0199577	0.0157155	0.0274423	0.0122181	0.0489301	0.0693246
noyé	0.0425502	0.0299656	0.0220134	0.0131274	0.00645782	0.00533222	0.0080015	0.00902558	0.00640622	0.00663796	0.00894479	0.00771345	0.00870322	0.0141131	0.0202279	0.0186005	0.0372551	0.0260251	0.0244281	0.0208357	0.0213173	0.0233641	0.0165685	0.0205521	0.0190842	0.015963	0.00445532	0.0459088	0.0205638	0.0308111	0.0470387	0.0394952	0.0566309	0.0262519	0.0664737	0.0372664	0.0751233	0.0967669
est	0.0560659	0.0638786	0.0537618	0.0596274	0.0661096	0.0830212	0.0507855	0.027723	0.0350193	0.0227742	0.0324038	0.0204018	0.0166614	0.0166494	0.0171832	0.0166429	0.035931	0.0387659	0.0239918	0.0166123	0.0149686	0.0127697	0.00727509	0.0101868	0.00527588	0.005336	0.00315592	0.0089311	0.00316829	0.005832	0.00760329	0.00625742	0.00900643	0.00889284	0.0153457	0.0107225	0.0185237	0.0927388
mystérieuse	0.0406176	0.0294482	0.0187176	0.0112331	0.00425606	0.00400509	0.00440494	0.00525239	0.0045668	0.00564155	0.00653536	0.00702457	0.00962555	0.0113459	0.0181258	0.0167048	0.0208781	0.0256941	0.0277841	0.011408	0.0242216	0.0141007	0.00928733	0.0125303	0.00769011	0.00287283	0.00179322	0.0186255	0.00690616	0.0128784	0.0296775	0.0294532	0.0532782	0.041743	0.085984	0.0592627	0.123278	0.183148
</S>	0.0470631	0.0480368	0.0389146	0.0266706	0.0213826	0.0160388	0.0172328	0.0128125	0.0109395	0.00810345	0.0103665	0.0103207	0.0112775	0.0208724	0.039938	0.0285079	0.0652406	0.0445944	0.0446858	0.0187554	0.0347401	0.0356647	0.017621	0.0187593	0.010906	0.00248024	0.00141045	0.0139951	0.00165915	0.0031659	0.0100637	0.0132717	0.0228067	0.0197048	0.0485955	0.0246965	0.0680063	0.110699
