 	l	y	ó	l	o	í	t	s	ω	w	a	l	á	a	t	u	ú	s	á	n	g	á	l	a	b	á	n	a	b	á	w	a	</S>
chaque	0.0297848	0.0459555	0.057515	0.0422027	0.0175275	0.0128972	0.0459533	0.0720101	0.0609015	0.0795791	0.0622394	0.0498727	0.0451389	0.0363713	0.0375999	0.0185506	0.0206791	0.018475	0.0160833	0.0167727	0.0179142	0.0227148	0.0171964	0.0160393	0.0144284	0.0116366	0.0101706	0.0184169	0.0191364	0.0252731	0.0131349	0.0164484	0.0113807
matin	0.0138952	0.0153155	0.0234836	0.0181456	0.0549738	0.0185146	0.0173656	0.0235018	0.0427495	0.0237626	0.0331859	0.0640118	0.136762	0.0843416	0.0578771	0.0365973	0.0553604	0.0578506	0.0502546	0.0694045	0.0271214	0.0242657	0.0080068	0.00435111	0.0075641	0.00492331	0.00501432	0.00534742	0.00567024	0.00448691	0.00405897	0.0011951	0.000640642
il	0.0430887	0.0386136	0.0494351	0.0339552	0.0428374	0.0210194	0.0290673	0.028274	0.0219528	0.0142998	0.0143814	0.00967611	0.0124323	0.00895985	0.0110116	0.0187208	0.0273647	0.0392832	0.0452381	0.0820846	0.0620936	0.0927362	0.0369335	0.0455227	0.0438929	0.0270628	0.0233266	0.00869475	0.0125345	0.00971885	0.0164932	0.0218016	0.00749279
me	0.0266461	0.0435593	0.0339506	0.0321324	0.0303666	0.0188617	0.0198139	0.0265611	0.0375609	0.0140206	0.0184805	0.0158628	0.0241005	0.017365	0.0129827	0.0188407	0.0183706	0.0238949	0.0269133	0.0207646	0.0396409	0.0467826	0.0843171	0.0493921	0.0345472	0.0556376	0.0412307	0.0193802	0.0262851	0.0211828	0.0270272	0.0399292	0.0335986
fait	0.0332003	0.022497	0.0226375	0.0224229	0.0312971	0.0258138	0.0226556	0.0177257	0.0178463	0.0212512	0.0280977	0.0233013	0.0203567	0.0202177	0.0144431	0.0197126	0.023292	0.0278809	0.0299155	0.0295389	0.0404491	0.0258622	0.0440927	0.0326858	0.0371189	0.0367129	0.0443905	0.028951	0.0353237	0.0452236	0.0463441	0.0494691	0.0592727
insulter	0.0470927	0.0213681	0.0246708	0.0266737	0.0476305	0.0481461	0.033405	0.0236929	0.0233289	0.0244233	0.0283782	0.0222577	0.0162599	0.0164876	0.0191471	0.0189383	0.0218595	0.0334819	0.0269852	0.0309428	0.0373227	0.0263519	0.0349185	0.0273319	0.029336	0.0294798	0.0343709	0.0237974	0.030231	0.04005	0.0382353	0.0388467	0.0545578
par	0.0471729	0.0272197	0.0303003	0.03852	0.0481166	0.0721361	0.0421196	0.0248509	0.0244392	0.0291653	0.0374643	0.0308558	0.0333741	0.0322349	0.0210231	0.0140301	0.0102514	0.00968443	0.0123492	0.00954447	0.0204337	0.00929015	0.034336	0.0135936	0.01711	0.0174	0.0209737	0.0160473	0.020059	0.026907	0.022792	0.0286129	0.157592
ses	0.0284118	0.0231153	0.0234958	0.0333012	0.0500853	0.110017	0.0638493	0.0479373	0.0387434	0.0310207	0.0468897	0.0315082	0.0259059	0.0288256	0.0209403	0.00948272	0.00782728	0.0157165	0.0160862	0.0135943	0.0257879	0.0105068	0.0292265	0.0234681	0.0230032	0.0248564	0.0225107	0.0227314	0.0241773	0.0232769	0.0241977	0.0240205	0.0554821
enfants	0.0465223	0.0390335	0.0395919	0.049288	0.028327	0.0352444	0.0186155	0.010555	0.00963026	0.0113772	0.016432	0.0154322	0.0220776	0.0276833	0.0244464	0.0218944	0.0192447	0.0271406	0.0316856	0.020565	0.0198125	0.015023	0.028904	0.0130426	0.00957726	0.0379974	0.0167127	0.0129265	0.0247221	0.014728	0.045625	0.0604544	0.185688
</S>	0.0265764	0.0189389	0.0173381	0.0174401	0.0188766	0.016884	0.0147917	0.00853347	0.00681769	0.00531424	0.00820402	0.00547244	0.0045591	0.00398587	0.00407288	0.00473251	0.00617538	0.010828	0.00866668	0.010709	0.0225686	0.0164209	0.055509	0.0421018	0.0462039	0.0617314	0.0916834	0.0430653	0.0437914	0.0496788	0.087999	0.11247	0.107859
